sample_id,source_present_volume_fraction,source_active_z_layers,source_active_z_layer_fraction,stack_z_layer_count,stack_unique_conductivity_triplets,stack_conductivity_transition_fraction,top_h_W_m2K,condition_category,log_s_phys_K,P_operator_W,log_P_operator_W,q_weighted_local_kz_W_mK,q_weighted_inverse_kz_mK_W,q_low_k_overlap_fraction,source_concentration,source_z_centroid_normalized,source_layer_kz_heterogeneity_cv,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,log_Lx_m,log_Ly_m,log_Lz_m,log_top_area_m2,log_top_h_W_m2K,T_bottom_K,T_inf_K,T_inf_minus_T_bottom_K,bc_top_cv_fraction,bc_bottom_cv_fraction,bc_side_cv_fraction,train_nn_distance_24d,train_nn_sample_id,deltaT_quartile,true_scale_cv_rms_K,V38_point_sse_K2,V38_shape_sse_K2,V38_scale_sse_K2,V38_cross_sse_K2,V38_sample_relative_rmse,V42_point_sse_K2,V42_shape_sse_K2,V42_scale_sse_K2,V42_cross_sse_K2,V42_sample_relative_rmse,V44_point_sse_K2,V44_shape_sse_K2,V44_scale_sse_K2,V44_cross_sse_K2,V44_sample_relative_rmse,V45_point_sse_K2,V45_shape_sse_K2,V45_scale_sse_K2,V45_cross_sse_K2,V45_sample_relative_rmse,V46_point_sse_K2,V46_shape_sse_K2,V46_scale_sse_K2,V46_cross_sse_K2,V46_sample_relative_rmse
sample_0085,0.18962962962962962,1,0.25,4,3,0.6666666666666666,874.0320272505919,h3_ahigh_z1,-1.667549741547659,3.3216821015742886,1.2004713117217143,265.72062139421604,0.01616437095858523,0.10721830108849559,3.0104672403842,0.6666666666666671,0.0,23.975754671521923,23.975754671521923,23.975754671521923,1.0,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,6.773117019435622,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.5941167326626915,sample_0396,Q2,0.35151646004990067,5.092178896700292,3.963973654961113,1.5379793782610576,-0.4097741365218768,0.2132244020290904,3.892875220909657,3.8569633900532123,0.004380176150156158,0.03153165470628848,0.1790291662416001,4.628028385590792,4.116293045541518,1.0275387942738428,-0.5158034542245684,0.20063811883777966,4.888377127251173,4.168615065418413,1.3704325244537774,-0.6506704626210151,0.2106471552103674,4.782593533139593,3.5604628148228197,1.8115118473202956,-0.5893811290035229,0.20280444128867328
sample_0108,0.5807407407407408,2,0.5,4,4,1.0,380.1393324769244,h3_ahigh_z2,-1.531565956405954,0.76438808902289,-0.2686796488634159,33.12320280873719,0.0474323751029032,0.6420096812101779,1.320183279534384,0.4999999999999985,0.0237428505429233,14.475282218444162,14.475282218444162,13.94392450557927,1.0381067548560152,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.940537849928422,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.0409239195535642,sample_0066,Q2,0.2914894514933416,0.7224508042274631,0.6415405093808606,0.10774863176845759,-0.026838336921855097,0.09333748416775614,0.8142444807201934,0.7942955096920694,0.04224111906657893,-0.022292148038454945,0.1019020592346234,0.784037448669243,0.7224534773355867,0.08361776791303573,-0.022033796579379445,0.09922395746723828,0.9053106705507385,0.6880011785916252,0.15460631529929775,0.06270317665981545,0.10553362429299298,0.883053611360449,0.8894743409253152,0.0010605761376392667,-0.007481305702505325,0.10345526314951267
sample_0130,0.06222222222222222,1,0.25,4,3,0.6666666666666666,1657.9923836660587,h3_ahigh_z1,-1.8120092798237373,0.4561463195884825,-0.7849416446470061,7.000000000000002,0.14285714285714285,0.9999999999999999,4.74953131719126,0.33333333333333337,0.0,38.608198284080075,38.608198284080075,14.658738366080666,2.6338008988151973,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.413362741997149,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.214289491017105,sample_0115,Q2,0.3034592316489574,1.5859073261038437,1.2690760570975494,0.25337815326722374,0.0634531157390702,0.14708282677994836,1.2774812961214361,0.9842740444588874,0.2900417878782251,0.003165463784323433,0.13263380253731916,0.7504734028653592,0.7208907041002235,0.03360871366774833,-0.004026014902612501,0.10093262697840787,0.689322777704407,0.6869006113207177,0.0004515942461549207,0.0019705721375345552,0.09421409472213754,1.3816431806661935,0.5701619160804086,0.8078209020962249,0.0036603624895597785,0.1395720820748109
sample_0153,0.20148148148148148,2,0.5,4,4,1.0,1757.9985358501383,h3_ahigh_z2,-1.0536714089257346,2.2724052797735133,0.820838865133056,73.56755685695857,0.03614716435267327,0.5859938376546361,3.3423179036038926,0.646300008803053,0.2324139002757289,10.83636309034931,10.83636309034931,10.81329971194686,1.002132871465402,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.471931245395025,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,2.0427070925596467,sample_0319,Q3,0.5671374625740733,67.61760699007881,5.9148326984325035,61.58843155231495,0.11434273933135763,0.5156359685276314,103.21620342407763,8.37171182578816,92.35840096718505,2.486090631104453,0.6309638194750586,18.76781235474718,8.139890080236608,9.737286970751155,0.8906353037594172,0.26915635029744356,25.425733978229108,8.002614021664481,16.45855416623501,0.9645657903296136,0.3151878560467971,17.589787627666205,6.094113991385551,10.504967768511918,0.9907058677687313,0.25992784822893716
sample_0155,0.5807407407407408,2,0.5,4,4,1.0,1443.7880192767648,h3_ahigh_z2,-1.6512101078020547,0.6541696288499962,-0.4243885898255973,36.89833346782242,0.04652015129044325,0.31565705118173293,1.3143871168255352,0.4999999999999985,0.13091387838948115,26.97726849294141,26.97726849294141,21.22856484529321,1.2708003903958114,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.27502550762157,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,0.9385643272195066,sample_1032,Q2,0.23407834265904284,0.5255824727978307,0.422576899451776,0.11995960118392486,-0.016954027837870256,0.10245729962995864,0.33848128500991237,0.319099357443262,0.016078032878130553,0.003303894688519795,0.08389901649040633,0.3247783857468303,0.2743748871055758,0.04895808054638204,0.001445418094872468,0.08166366864649163,0.27204016699078204,0.19758107485367804,0.06738742888587038,0.0070716632512335745,0.07298221775285703,0.2600095166683923,0.24079105032490167,0.024101664275934645,-0.004883197932444065,0.07478251936415488
sample_0162,0.5392592592592592,2,0.5,4,3,0.6666666666666666,1647.6959254531084,h3_ahigh_z2,-2.2913806200686695,0.4141624405834521,-0.8814970135541732,38.75359478347108,0.030353168486562592,0.8710991402408295,1.4104805021666098,0.5,0.07989428106322768,32.36022970177015,32.509041424296555,32.182561547098615,1.007829975591124,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.40713318219094,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.0634435188762303,sample_0495,Q1,0.104607551461206,0.02659115573448283,0.02628545941475903,0.00011247989867357404,0.00019321642105022237,0.050167109754256756,0.081535033122483,0.03771889318312787,0.04322556654688915,0.0005905733924659903,0.09009766476416431,0.019342017960481697,0.01867106094100104,0.00045602647069095117,0.00021493054878970585,0.04039186949914145,0.0334118848175478,0.022951763499588336,0.008304595216735558,0.002155526101223911,0.05485399394036459,0.03134427224633836,0.030856288962878887,0.0001004479198819567,0.00038753536357751537,0.0529719480542005
sample_0169,0.4266666666666667,2,0.5,4,4,1.0,341.64200405563565,h3_ahigh_z2,-0.5283447494281991,0.9069508309957184,-0.09766704092551216,5.030238299737986,0.29810829449408915,0.8459328565072884,1.5584542008297289,0.47489858695513926,0.019010770669075423,7.897218272730097,13.361224807107007,4.5280095283714745,2.2685736032305988,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.8337634170472645,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.8263362157619982,sample_0363,Q4,1.3291137206236883,10.282855279932289,7.554816832331333,2.700404628836687,0.027633818764266183,0.08111552821006092,11.12253081094602,6.000413980824206,5.06893974743265,0.05317708268916577,0.08735227811811895,7.499996776309278,5.753494301535371,1.6955511658058167,0.05095130896808864,0.07087368963640746,7.839988847975838,7.770706685564444,0.06047912398641281,0.008803038424979925,0.07296685809688792,7.257749451048918,7.140805158002473,0.05969497654615526,0.0572493165002894,0.06912626332084423
sample_0171,0.0725925925925926,1,0.25,4,4,1.0,2797.846689678329,h3_ahigh_z1,-3.403433932620628,0.08925043216177896,-2.416309016185328,9.178785954217487,0.14073915173609866,0.8136367457102489,4.226671407072149,0.33333333333333326,1.1178924992959143e-16,6.1868308256615965,5.992255546414507,5.866595494476339,1.037870430941033,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.936605360900202,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.3600194401113992,sample_0421,Q1,0.07917458795069666,0.11631416690264704,0.10615242183270199,0.006558055609183423,0.0036036894607616417,0.15565369329539377,0.09880431714301646,0.08297972315253106,0.023502549859425043,-0.0076779558689396565,0.14391384724073034,0.138910183701016,0.07686873463150279,0.07408746575118398,-0.012046016681670798,0.17342513658873115,0.1088745314050754,0.09712146045624806,0.019623249632442743,-0.007870178683615408,0.15392969456331418,0.1145727348980384,0.11313462661375176,0.000660718258567761,0.0007773900257188903,0.1579129377898346
sample_0194,0.2518518518518518,2,0.5,4,1,0.0,2085.176438936991,h3_ahigh_z2,-0.4451773459675683,5.267275463145131,1.6615132389523717,77.77228337140588,0.017520530824304558,0.3243322536962597,2.9200087973231432,0.5438356626651281,8.993826891012335e-17,52.332163941113926,55.74327978079814,47.957916565958314,1.1262123817516447,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,7.642608753643941,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.496410821041621,sample_1042,Q4,0.9539930273758233,20.479010486633616,10.858115691245603,9.537969441491127,0.08292535389689082,0.14844235356148,25.659562750301394,24.918754496194264,1.0691361089849987,-0.3283278548778714,0.16408041595270245,9.17635918359031,9.227587873634032,0.14803846563327272,-0.19926715567699588,0.10332139687606605,8.582043703151518,8.581548133887177,0.03004996827136845,-0.029554399007026694,0.0951894605915276,10.293133183530655,10.2926991850428,0.0021396953315177625,-0.0017056968436640202,0.10512781388024008
sample_0195,0.044444444444444446,1,0.25,4,4,1.0,339.0550520807529,h3_ahigh_z1,-1.2143944946131295,0.5286219583743985,-0.6374817370496916,18.935266053394418,0.05562602576705639,0.8223287993996586,5.614209458246381,0.6666666666666667,0.0,4.951124567949389,6.3454938316093195,3.4781948418862894,1.6115015701177682,-4.605170185988091,-4.605170185988091,-6.214608098422191,-9.210340371976182,5.826162489714171,300.0,300.0,0.0,0.16666666666666666,0.16666666666666666,0.08592592592592599,1.6599712671746807,sample_0179,Q3,0.47324039844335775,3.6013721849523277,1.855018753994031,1.6422696856949994,0.10408374526329689,0.13367958690826923,3.448204199258128,1.9661497607045832,1.4938567568650438,-0.011802318311499235,0.13269354207220418,2.617334385156322,1.9124330233725728,0.5842420376514076,0.1206593241323409,0.10889876725390044,3.599205899738143,1.208492819206307,2.205927228457441,0.1847858520743951,0.13140782944409596,6.9235542891121655,1.5993183772339354,4.807715728155714,0.5165201837225151,0.1807407650674987
