pair,sample_id,deltaT_quartile,generator_condition_category,is_nominal_to_hard,true_scale_cv_rms_K,point_true_squared_sum_K2,cv_volume_m3,left_sample_point_relative_rmse_pct,right_sample_point_relative_rmse_pct,delta_sample_point_relative_rmse_pct,left_sample_first_cv_relative_rmse_pct,right_sample_first_cv_relative_rmse_pct,delta_sample_first_cv_relative_rmse_pct,left_raw_cv_rmse_K,right_raw_cv_rmse_K,delta_raw_cv_rmse_K,left_shape_cv_rmse,right_shape_cv_rmse,delta_shape_cv_rmse,left_absolute_scale_log_error,right_absolute_scale_log_error,delta_absolute_scale_log_error,left_signed_scale_log_error,right_signed_scale_log_error,delta_signed_scale_log_error,left_point_sse_K2,right_point_sse_K2,delta_point_sse_K2,left_raw_cv_sse_K2_m3,right_raw_cv_sse_K2_m3,delta_raw_cv_sse_K2_m3
Dual_minus_V32,sample_0740,Q4,low,False,0.9467577459326376,763.9214445395008,2.0000000000000004e-07,21.147564027430736,22.860079374534976,1.7125153471042402,20.483967121412594,22.190431791501357,1.7064646700887636,0.19393354539626848,0.21008963184193766,0.016156086445669182,0.18988919321903514,0.1593184300419279,-0.030570763177107246,0.05909759068496601,0.13303802378351484,0.07394043309854884,0.05909759068496601,0.13303802378351484,0.07394043309854884,34.164053918986994,39.921253519746614,5.75719960075962,7.522044005993308e-09,8.827530681496184e-09,1.3054866755028762e-09
Dual_minus_V32,sample_0746,Q1,low_to_nominal,False,0.031153507794917278,0.830572872197068,2.0000000000000004e-07,19.22371746486781,23.351814069728423,4.1280966048606125,18.852301543555892,22.76107438697239,3.9087728434164966,0.005873153230892996,0.007090873083352364,0.0012177198524593686,0.17586746400211425,0.1740107011866323,-0.0018567628154819438,0.052765508999444266,0.12430374899066574,0.07153823999122147,0.052765508999444266,0.12430374899066574,0.07153823999122147,0.030693929560302733,0.04529173842335454,0.014597808863051804,6.898785774709767e-12,1.0056096216842215e-11,3.157310442132448e-12
Dual_minus_V32,sample_0748,Q3,nominal_to_hard,True,0.37768429755399546,139.56944545709112,2.0000000000000004e-07,29.54100911800253,23.409108852074098,-6.131900265928433,27.749063459607616,22.712235546341937,-5.036827913265679,0.10480385540523145,0.08578054728201041,-0.019023308123221033,0.18537707060685055,0.21307726693763848,0.027700196330787935,0.2540949079121251,0.11042010029020193,-0.14367480762192314,-0.2540949079121251,-0.11042010029020193,0.14367480762192314,12.179823820127528,7.648215479057912,-4.5316083410696155,2.196769621560133e-09,1.471660458400245e-09,-7.25109163159888e-10
Dual_minus_V32,sample_0752,Q4,nominal_to_hard,True,0.8682062442779067,660.5855874799705,2.0000000000000004e-07,23.87414625595564,30.24117897493924,6.367032718983598,22.29243504042144,28.887403551913,6.594968511491558,0.19354431302253505,0.2508022414474665,0.05725792842493144,0.1846433167885291,0.19499533134938832,0.010352014560859213,0.10347644017508113,0.17811785204133754,0.0746414118662564,0.10347644017508113,0.17811785204133754,0.0746414118662564,37.65171773790943,60.412461450154694,22.760743712245265,7.491880220673007e-09,1.2580352863014661e-08,5.088472642341654e-09
Dual_minus_V32,sample_0768,Q1,low,False,0.09950632540401465,8.807839282096783,2.0000000000000004e-07,17.651783289620592,17.065301870379795,-0.5864814192407977,18.14603909173814,17.074848358536205,-1.0711907332019344,0.018056456706564656,0.01699055416988709,-0.0010659025366775675,0.15269575767042778,0.15942140273420174,0.006725645063773961,0.08348866141161979,0.04855503837634185,-0.03493362303527794,0.08348866141161979,0.04855503837634185,-0.03493362303527794,0.2744394595338515,0.25650588369871796,-0.017933575835133553,6.520712575920877e-11,5.773578619997352e-11,-7.471339559235246e-12
Dual_minus_V32,sample_0773,Q2,nominal_to_hard,True,0.18970871213666388,28.75067815647249,2.0000000000000004e-07,53.752578059804435,50.86702952072787,-2.8855485390765665,52.871698211011186,50.00879875993313,-2.862899451078057,0.10030221776089288,0.09487104808248506,-0.005431169678407816,0.1923009398810958,0.18044331062099697,-0.01185762926009884,0.3882260056191596,0.3718416839252323,-0.016384321693927284,0.3882260056191596,0.3718416839252323,-0.016384321693927284,8.307047430655043,7.439107710169659,-0.867939720485384,2.0121069775507155e-09,1.8001031528538387e-09,-2.1200382469687684e-10
Dual_minus_V32,sample_0777,Q4,nominal_to_hard,True,1.3618774105837694,1576.4216734970103,2.0000000000000004e-07,11.020504169271236,10.623588505524435,-0.39691566374680143,11.210019692989261,10.167097485218479,-1.0429222077707827,0.1526667259208128,0.13846340396322096,-0.01420332195759183,0.0880367500704854,0.08843247471872513,0.00039572464823972586,0.07621241933666267,0.055754677583787174,-0.0204577417528755,-0.07621241933666267,-0.055754677583787174,0.0204577417528755,19.145879602424465,17.791594752758435,-1.3542848496660298,4.661425840676116e-09,3.8344228474164235e-09,-8.270029932596922e-10
Dual_minus_V32,sample_0783,Q2,nominal_to_hard,True,0.19290908591257305,32.025566742118315,2.0000000000000004e-07,45.46743418147183,52.745951956934356,7.278517775462525,44.050494834589614,50.00685904887284,5.9563642142832265,0.08497740692537203,0.09646777468476941,0.01149036775939738,0.368979822427337,0.4579106743814493,0.08893085195411227,0.16720099744368327,0.1149578982170956,-0.05224309922658768,0.16720099744368327,0.1149578982170956,-0.05224309922658768,6.620605608170047,8.909946447051649,2.2893408388816017,1.4442319375520537e-09,1.8612063105262882e-09,4.169743729742345e-10
Dual_minus_V32,sample_0787,Q4,nominal_to_hard,True,1.4901649789785576,1587.4717887141826,2.0000000000000004e-07,41.376892656329794,44.6288042342684,3.251911577938607,41.150400712585224,45.044604926801604,3.89420421421638,0.6132088601282878,0.6712389275384474,0.05803006741015959,0.3179671191928505,0.2980665286343934,-0.019900590558457054,0.38069181570995025,0.48622323030644704,0.10553141459649679,-0.38069181570995025,-0.48622323030644704,-0.10553141459649679,271.78267038016463,316.1815451447764,44.398874764611776,7.520502122796682e-08,9.011233956859301e-08,1.490731834062619e-08
Dual_minus_V32,sample_0788,Q2,low_to_nominal,False,0.1904758375061115,27.580652577101496,2.0000000000000004e-07,10.281433861560295,10.837381565109123,0.5559477035488278,10.117517836443804,10.500626224852798,0.38310838840899386,0.019271426833796547,0.020001155745174744,0.0007297289113781975,0.08076327904938514,0.10460465882394282,0.023841379774557678,0.0664483681432458,0.016285326926653354,-0.050163041216592444,-0.0664483681432458,-0.016285326926653354,0.050163041216592444,0.29154923749884376,0.3239315629221666,0.032382325423322866,7.427757844207472e-11,8.000924622854735e-11,5.731667786472627e-12
