model,checkpoint,stratum,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,signed_scale_error_mean,signed_scale_error_median
O075,sample_first_best,scale_signed_central_p10_p90,102,16.482257137874193,16.075647682533674,0.11156857603294985,0.9809664957691727,0.9811827556440739,0.21114956567019078,0.3165058663016644,0.24801309088924745,0.00448928126097885,0.015846353219848883,0.432044615710163,0.14195884003964357,0.08440742870351074,0.015719675963051898,-0.022497849239622343,-0.01952571484576662
O075,sample_first_best,scale_signed_high_p90,13,27.25948667193582,29.626454156313343,0.14953587192539272,1.225711640551148,0.9784980675755468,0.32931175060075113,0.4541730105655744,0.31427366024533904,0.01640393713247087,0.03246615014265056,0.49822605417810323,0.16366835296978685,0.21127063876693714,0.02856960527095526,0.2014350547188203,0.17878202758547324
O075,sample_first_best,scale_abs_error_top10pct,13,38.99972945268878,38.40328084507345,0.4191799602380767,0.7779188379078897,0.9761979827274916,1.075064149827639,1.917730262216741,1.5247906776353821,0.0026050854795650314,0.02728276629168119,0.4156328891259239,0.19146098737207656,0.40899116019039433,0.22812956523316424,-0.2966008732722517,-0.39060688173744845
O075,legacy_best,Q1,32,18.070937402683356,17.895389332415842,0.018105552317554986,0.990301040647726,0.9771625214109855,0.03369998151130446,0.04754118273406781,0.026575970328293508,0.002279984044091816,0.005319556372163617,0.48634596941988234,0.14840389685706906,0.1128249573656216,0.0004470661958457205,-0.016009148242181276,-0.014619424172784883
O075,legacy_best,Q2,32,27.27890521285693,22.278238372629527,0.06823274064875087,0.9962202970611491,0.9779671505779486,0.15541468303590433,0.26313191072746833,0.1632259017180226,0.005319011185088234,0.013453697360633026,0.4419803015793048,0.16023194518089742,0.19655628218676738,0.0058593927934446465,-0.022321265320968085,0.005126514526624328
O075,legacy_best,Q3,32,20.700849980913087,18.827978282819537,0.11235733966241199,1.0421991818240832,0.9842365845752736,0.28127349744584995,0.4115017914036412,0.29324973791450404,0.007262207014708115,0.018495363645353438,0.46250122973346075,0.14024439134841873,0.12814722609669355,0.016118972422377854,0.033750730851548574,0.03202868601765904
O075,legacy_best,Q4,32,23.757844214376362,20.37813353203187,0.3069221673086689,0.968732030628158,0.9811760511886984,0.7452956657612897,1.1677910751730012,0.9937680947436015,0.010280154182069045,0.04104218945179096,0.40564595553061306,0.15163183944836486,0.17662613581991443,0.12049656597867059,-0.04578666454891579,-0.01222385852509628
O075,legacy_best,nominal_to_hard,81,21.230788571390207,21.496801857106068,0.15745679406685936,1.0061260487351977,0.981487323126483,0.35393237831672636,0.5744912941596302,0.4670015039489538,0.007210784637285086,0.018393758521116105,0.47565070674527776,0.15686487242840547,0.17293670458540403,0.031124048100462556,-0.008425408139719169,-0.0012416266400683128
O075,legacy_best,Q2_intersection_nominal_to_hard,21,31.469039890179147,25.956208910945122,0.07847379952452273,0.9906273034084081,0.9790588218666382,0.19892206867308662,0.3558985413954877,0.2141116137490918,0.005482368915923059,0.010298521961342703,0.487470017832054,0.16843997303788538,0.24032724491735796,0.007696728684854713,-0.037066287963768055,-0.0012416266400683128
O075,legacy_best,scale_signed_low_p10,13,37.29333119069614,33.4861754658791,0.3581277927364079,0.7116284232780479,0.9751287629208799,0.8191151358559231,1.4481571785258052,1.1113123616011449,0.0013000040852260177,0.0173475037789925,0.4367009412567686,0.19162115764452667,0.3567872816574576,0.16572315818190902,-0.34450101207731854,-0.37444803945265415
