group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g005,q,5,18,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,6,16,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,q,7,18,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,k,0,38,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,k,1,78,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g005,k,2,25,1164cc429c543125455f268ef619b54ff812ebb7d12e3145f64678989ebb1007,d4f305ac88c1bece3c1f8edab8bf2767408a1a556bcf9688323eeee17246b69a,240825
rb_g006,q,0,8,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,1,5,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,2,5,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
rb_g006,q,3,9,21bdb6e24f9cbd1e664fd3ba94feedc2619db3b399b586065384a3357495fb23,7551430d919caa4df9204e9a3c9508aad5daacde12a346303a268dd932edcbed,240825
