system,policy,resolution,measurement_domain,sample_count,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,regional_nodes,p2r_edges,r2r_edges,process_cold_median_s,process_cold_p95_s,fresh_topology_median_s,fresh_topology_p95_s,warm_resident_median_s,warm_resident_p95_s,neural_forward_median_s,neural_forward_p95_s,peak_vram_bytes,process_cold_speedup_vs_fvm,fresh_topology_speedup_vs_fvm,warm_resident_speedup_vs_fvm,timing_protocol,provenance,status
GPU_RIGNO,E,1024,reconstructed_full_240825,32,3.071967625386462,,2.930196006566672,2.9627762630847885,2.6755216248449316,1.4165821789031567,256.0,2594.8125,4119.25,,,1.7770571205182932,1.9087410156964324,0.010156094445846975,0.012516494310693814,,,139176192,,,,historical_mixed_protocol_not_pooled,exact_policy_alias,historical_reuse
GPU_RIGNO,E,4096,reconstructed_full_240825,32,2.78584094575648,,2.5999888472290746,3.5992641344927407,3.635362770116775,0.6138855987439292,256.0,20746.0,3621.6875,,,0.4021484674885869,0.41481964928098025,0.0016566845588386059,0.007719611702486873,,,168614912,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
GPU_RIGNO,E,8192,reconstructed_full_240825,32,2.758323270681768,,2.42978259041746,3.7290300180299774,3.433107511805672,0.453002118041612,256.0,53547.03125,3548.6875,,,0.3961342030670494,0.40764049511635675,0.0024698920315131545,0.0027098333695903427,,,232680704,,,,historical_mixed_protocol_not_pooled,historical_reuse,historical_reuse
GPU_RIGNO,E,16384,reconstructed_full_240825,32,2.7022718511135237,,2.2848017567439847,3.872171969669102,4.017883445902608,0.38572251781135125,256.0,89133.65625,3522.0625,,,0.486140901572071,0.5011816544574685,0.006150820991024375,0.006484616920351985,,,337585408,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
GPU_RIGNO,E,32768,reconstructed_full_240825,32,2.6724606376756133,,2.2087146445648043,3.903574068592729,4.051528852456719,0.3844841081111273,256.0,155037.5,3530.125,,,0.5640492564998567,0.5775734907248988,0.008730652974918485,0.009644364123232663,,,504221440,,,,historical_mixed_protocol_not_pooled,new_execution,historical_reuse
GPU_RIGNO,B,240825,direct_full_grid_240825,32,3.5665320627738217,3.7002718639538297,2.920099323733057,3.974425098137447,3.517548747747391,0.6562215722995057,30103.0,598497.0,501480.0,13.625646177912131,13.694262893311679,3.2197206770069897,3.2982760112150573,0.08623344299849123,0.08688304928364232,0.08601961540989578,0.08647761574247852,2422518272,0.17157970238769935,not_comparable_no_fvm_unseen_topology_state,18.79430301849583,new_matched_B1_GPU_sync_valid32_plus_independent_process_cold,new:configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/B_240825.json,new_full_grid_valid32
GPU_RIGNO,E,240825,direct_full_grid_240825,32,3.0670995080019767,3.039451135063054,2.4883791404679236,4.734622141047968,7.2073060430370885,0.4743557545331674,256.0,2002580.0,3570.0,10.899459723965265,11.064614169322885,1.5714656750205904,1.6313549989252352,0.09336033603176475,0.09401383431395516,0.09335699095390737,0.0939658944029361,5283384320,0.21449543144838792,not_comparable_no_fvm_unseen_topology_state,17.359593237650824,new_matched_B1_GPU_sync_valid32_plus_independent_process_cold,new:configs/heat3d_v6_p1i/v6_p1i_full_grid_raw/E_240825.json,new_full_grid_valid32
CPU_FVM,FVM,4096,structured_4096_vs_240825_reference,32,1.190491,1.962932,1.518489,,,,,,,,,0.007612361980136484,0.008467424922855571,0.006257976056076586,0.006970357499085367,,,0,,1.0,1.0,historical_legal_structured_FVM_mesh_sensitivity,historical_unified_CPU,historical_reuse
CPU_FVM,FVM,8192,structured_8192_vs_240825_reference,32,1.191106,1.963303,1.518798,,,,,,,,,0.013810068019665778,0.015848647366510704,0.012109270493965596,0.013702150568133219,,,0,,1.0,1.0,historical_legal_structured_FVM_mesh_sensitivity,historical_unified_CPU,historical_reuse
CPU_FVM,FVM,16384,structured_16384_vs_240825_reference,32,1.191235,1.963571,1.519003,,,,,,,,,0.027973538439255208,0.032268789276713505,0.02524459850974381,0.029029177268967032,,,0,,1.0,1.0,historical_legal_structured_FVM_mesh_sensitivity,historical_unified_CPU,historical_reuse
CPU_FVM,FVM,32768,structured_32768_vs_240825_reference,32,1.191553,1.963771,1.519157,,,,,,,,,0.06723233603406698,0.07633275625412352,0.06294126802822575,0.06950772100244648,,,0,,1.0,1.0,historical_legal_structured_FVM_mesh_sensitivity,historical_unified_CPU,historical_reuse
CPU_FVM,FVM,240825,full_240825_reference,32,0.069648,0.045814,0.036553,,,,,,,2.3378843160462566,2.670287739956984,not_available,not_available,1.6206974580418319,1.898054601694457,,,0,1.0,1.0,1.0,historical_legal_structured_FVM_mesh_sensitivity,historical_unified_CPU,historical_reuse
