route,sample_id,adaptive_full_rmse_K,fixed_full_rmse_K,delta_full_rmse_K,adaptive_source_rmse_K,fixed_source_rmse_K,delta_source_rmse_K,adaptive_peak_rmse_K,fixed_peak_rmse_K,delta_peak_rmse_K,adaptive_interface_rmse_K,fixed_interface_rmse_K,delta_interface_rmse_K
B8192_recon,v6p1if1_0991,2.753214493211552,3.1181843000159977,0.3649698068044458,2.8083919336500798,8.95055485153809,6.14216291788801,1.4820556640625,7.924705505371094,6.442649841308594,0.4645528218893649,0.5244941169238998,0.05994129503453488
B8192_recon,v6p1if1_0109,1.3462506978611584,2.426825507129777,1.0805748092686185,2.0697641259479167,5.692897530923614,3.623133404975697,4.485931396484375,7.027809143066406,2.5418777465820312,0.28431722623782946,0.2338498060643111,-0.05046742017351835
B8192_recon,v6p1if1_0365,0.7535449725145825,0.9345425894929088,0.18099761697832628,0.8148202323872951,2.818383857919678,2.003563625532383,0.6490745544433594,0.7856292724609375,0.13655471801757812,0.32019191428720056,0.29882848643023036,-0.021363427856970207
B8192_recon,v6p1if1_0091,2.1294764108249016,1.9415428840136066,-0.18793352681129494,7.352230668374088,8.491064777464965,1.138834109090877,2.5420684814453125,6.1919708251953125,3.64990234375,0.8720002762927184,0.4408113938758212,-0.4311888824168972
B8192_recon,v6p1if1_0930,1.2539581611728885,1.4073374644431793,0.1533793032702908,2.756239503589433,5.345020541789547,2.588781038200114,0.8468170166015625,4.320625305175781,3.4738082885742188,0.21995060473888733,0.4086652495792907,0.18871464484040334
B8192_recon,v6p1if1_0175,5.845753596727629,5.967490327568626,0.1217367308409969,7.16977849671237,9.135374442426674,1.9655959457143037,6.76531982421875,6.3368682861328125,-0.4284515380859375,0.687281955065724,0.8371909890617704,0.14990903399604638
B8192_recon,v6p1if1_0915,0.6531895341498898,0.6741685825885665,0.020979048438676706,0.9590697510191962,1.6410846236892598,0.6820148726700636,0.11724472045898438,0.7994880676269531,0.6822433471679688,0.20873194066871315,0.1619888807613987,-0.04674305990731445
B8192_recon,v6p1if1_0869,1.5741205914660763,1.4191662605917883,-0.154954330874288,2.6488314448848054,4.422460124922864,1.7736286800380587,0.43341064453125,1.8114776611328125,1.3780670166015625,0.6500344014172013,0.43417792018178875,-0.2158564812354125
B8192_recon,v6p1if1_0522,3.628578813841522,3.7712973072196805,0.14271849337815867,6.486908452648959,7.668693628326531,1.1817851756775717,7.410774230957031,7.1622161865234375,-0.24855804443359375,0.46569221380212694,0.5724414231783482,0.10674920937622129
B8192_recon,v6p1if1_0118,2.8566658521818784,2.9710717257978443,0.11440587361596588,1.1988451041230912,6.6915269936253585,5.4926818895022675,1.1781692504882812,3.7559661865234375,2.5777969360351562,0.2865472300535149,0.39508848289356624,0.10854125284005134
B8192_recon,v6p1if1_0708,2.513488712069814,3.1788052208028685,0.6653165087330546,2.840832859753021,8.031865616902408,5.191032757149387,3.0964126586914062,3.1986618041992188,0.1022491455078125,0.6329848972981463,0.8928807838642993,0.2598958865661529
B8192_recon,v6p1if1_0817,0.7612251456265717,0.9882142202942273,0.2269890746676556,1.5282291870778337,2.4488415691753755,0.9206123820975418,0.782012939453125,0.790557861328125,0.008544921875,0.4224114216682385,0.20561674613745234,-0.21679467553078613
B8192_recon,v6p1if1_1003,2.0457461547800717,2.278701196723122,0.2329550419430504,2.021025781808095,4.234911985850032,2.213886204041937,0.883087158203125,2.1532135009765625,1.2701263427734375,0.3825714332187515,0.41858200899764636,0.03601057577889488
