system,resolution,semantic,batch_or_processes,point_global_pct,sample_first_pct,raw_cv_rmse_K,source_rmse_K,peak_rmse_K,interface_rmse_K,b1_e2e_median_s,b1_e2e_p95_s,batch_wall_s,samples_per_s,average_per_case_s,marginal_per_case_s,peak_vram_bytes,provenance
U1-32768,32768,resident_prepared_group_inference,1,2.7485266028206388,2.781828389030688,2.3043929973791526,3.8141658352076715,3.5801797850985495,0.4321318608025194,0.7780116985086352,0.851240134483669,0.006439198856242001,155.29882246618686,0.006439198856242001,,1187791872,U3_new_valid32
U1-32768,32768,resident_prepared_group_inference,4,2.7485266028206388,2.781828389030688,2.3043929973791526,3.8141658352076715,3.5801797850985495,0.4321318608025194,0.7780116985086352,0.851240134483669,0.02365243900567293,169.11575161617023,0.005913109751418233,0.005737746716476977,2364255744,U3_new_valid32
U1-32768,32768,resident_prepared_group_inference,8,2.7485266028206388,2.781828389030688,2.3043929973791526,3.8141658352076715,3.5801797850985495,0.4321318608025194,0.7780116985086352,0.851240134483669,0.04595772596076131,174.07301672912183,0.005744715745095164,0.005645503872074187,3905691648,U3_new_valid32
U1-32768,32768,resident_prepared_group_inference,16,2.7485266028206388,2.781828389030688,2.3043929973791526,3.8141658352076715,3.5801797850985495,0.4321318608025194,0.7780116985086352,0.851240134483669,0.09145276551134884,174.95370326460468,0.005715797844459303,0.005667571110340456,6903814656,U3_new_valid32
U-direct240825,240825,resident_direct_full_grid_inference,1,2.81883819247057,2.8003378207527323,2.3181042894333412,3.8560478024823293,3.622499693755831,0.43634269313387125,0.5915188755607232,0.6135738163604401,0.058324072510004044,17.145579123070924,0.058324072510004044,,6098135808,U3_new_valid32
E16384,16384,fresh_distinct_case_batch,1,,,,,,,,,0.753846479812637,1.3265300386473153,0.753846479812637,,305492480,P7_new_valid32
E16384,16384,fresh_distinct_case_batch,2,,,,,,,,,1.2776220091618598,1.565408223760979,0.6388110045809299,0.5237755293492228,591471616,P7_new_valid32
E16384,16384,fresh_distinct_case_batch,4,,,,,,,,,2.3601891300641,1.6947794348545977,0.590047282516025,0.5354475500838211,1078650368,P7_new_valid32
E16384,16384,fresh_distinct_case_batch,8,,,,,,,,,4.498713673092425,1.7782861016137494,0.5623392091365531,0.5349810276113983,2075323392,P7_new_valid32
E16384,16384,fresh_distinct_case_batch,16,,,,,,,,,9.035548671148717,1.7707834446279254,0.5647217919467948,0.5521134794224054,4380571136,P7_new_valid32
E16384,16384,fresh_distinct_case_batch,32,,,,,,,,,17.5238754900638,1.8260800824648802,0.5476211090644938,0.5409686777500375,8734850560,P7_new_valid32
FVM,240825,parallel_independent_known_topology_new_physics,1,,,,,,,,,100.2667207790073,0.319148763930652,3.133335024343978,,,P7_new_valid32
FVM,240825,parallel_independent_known_topology_new_physics,2,,,,,,,,,63.0559575620573,0.5074857513424771,1.9704986738142907,,,P7_new_valid32
FVM,240825,parallel_independent_known_topology_new_physics,4,,,,,,,,,58.857231861911714,0.5436884982133888,1.839288495684741,,,P7_new_valid32
FVM,240825,parallel_independent_known_topology_new_physics,8,,,,,,,,,61.76258315797895,0.5181130445620943,1.9300807236868422,,,P7_new_valid32
