comparison,sample_id,deltaT_quartile,point_sse_delta_K2,outcome,P_operator_W,source_concentration,q_weighted_inverse_kz_mK_W,anisotropy_xy_over_z,log_top_h_W_m2K
shape_V32+scale_O075_minus_V32,sample_0971,Q4,48.541594466812,loss,0.40562152448592437,6.920470819411879,0.4892546570831422,1.0,5.300468943296884
shape_V32+scale_O075_minus_V32,sample_0997,Q1,-0.04856513638513093,win,0.15232027310914506,4.280795626216026,0.027350748914248456,1.0,5.479696724364766
shape_V32+scale_O075_minus_V32,sample_1008,Q2,0.0935085722568696,loss,1.3814209524905445,3.303551726011682,0.02529091791243738,1.0,7.52541235469836
shape_V32+scale_O075_minus_V32,sample_1049,Q4,164.6182684626488,loss,1.380722279234906,4.4594961198541085,0.03574924869079871,1.009105719427855,7.527642631528082
shape_V32+scale_O075_minus_V32,sample_1050,Q4,16.37375532631369,loss,1.0323556670498957,5.316359012416025,0.11047480552818462,0.8342291746152546,5.899001290280526
shape_V32+scale_O075_minus_V32,sample_1051,Q1,0.002025743443764213,loss,0.3558456293488097,4.363974417456897,0.005332179210934551,0.6827716252222424,8.002722009323868
shape_V32+scale_O075_minus_V32,sample_1052,Q1,-1.5229602981610468,win,0.7924222533046933,7.689213184379584,0.010281375534231831,2.176502075629403,6.847218886651461
shape_V32+scale_O075_minus_V32,sample_1053,Q3,3.2376508552216308,loss,1.113558440827124,6.076241025842034,0.02863631411925354,1.0,7.449435954600533
shape_V32+scale_O075_minus_V32,sample_1054,Q1,-0.012311647867024225,win,0.10391923499618447,2.4778069426997615,0.1224642284101252,1.2006827447559507,6.149328374065024
shape_V32+scale_O075_minus_V32,sample_1055,Q4,96.53586025365587,loss,1.0657627512342596,3.4525733776915937,0.06932266808938282,1.37307647659387,7.564409400712817
shape_V32+scale_O075_minus_V32,sample_1056,Q1,0.9713752481450009,loss,0.43213055366890624,5.184673382225866,0.005964889556187774,1.0,5.942189484748137
shape_V32+scale_O075_minus_V32,sample_1057,Q1,0.06014346928530098,loss,0.39408765855612404,1.379041235870479,0.11472705055290669,1.5064150678594914,7.633319311384248
shape_V32+scale_O075_minus_V32,sample_1058,Q1,-0.05309020121584396,win,1.8025483923702867,5.566703295068974,0.002193158405908904,1.87984149783218,7.43252546817937
shape_V32+scale_O075_minus_V32,sample_1059,Q4,36.04404087299162,loss,0.6425629791438385,5.777982256229645,0.12634023779962283,1.9421347601766825,5.468868675685229
shape_V32+scale_O075_minus_V32,sample_1060,Q1,-0.04529912453047033,win,0.7140338937827706,1.3131621745733735,0.061536580750167554,1.9954643644071297,7.007040917381699
shape_O075+scale_V32_minus_V32,sample_0014,Q4,1.2163385406713303,loss,1.4152010381866746,4.260259628488802,0.1661538199456739,1.3930286851466738,7.924990017151651
shape_O075+scale_V32_minus_V32,sample_0023,Q2,0.42292249234524504,loss,0.4648959858257915,2.7512598557253845,0.13091247094509895,1.2373449193649162,7.780352022378894
shape_O075+scale_V32_minus_V32,sample_0027,Q3,0.11313399496573417,loss,0.7282132765770551,6.055776970950946,0.02931186123869092,1.438564185454907,5.523439112437897
shape_O075+scale_V32_minus_V32,sample_0037,Q2,0.44484826787664566,loss,0.8964694359693468,4.030060933212591,0.06878508785006869,4.6871102347720415,6.264021684613268
shape_O075+scale_V32_minus_V32,sample_0053,Q3,4.446913966592746,loss,1.2023210060093878,5.870525555588475,0.016987060677941188,1.008283355911156,7.5104648774335985
shape_O075+scale_V32_minus_V32,sample_0059,Q3,-0.4157359800178404,win,0.8617255690152267,1.4502456667974144,0.1566749154602221,1.1355224911203625,7.314091614089314
shape_O075+scale_V32_minus_V32,sample_0061,Q1,0.02310633914717565,loss,0.317940960587773,3.85634915015144,0.04472198983289229,1.0784817951149852,6.447299621364552
shape_O075+scale_V32_minus_V32,sample_0075,Q2,0.023639323470968865,loss,0.8805630931734794,3.5209962324553086,0.022238888292977488,1.6215638522643634,5.7805367632232825
shape_O075+scale_V32_minus_V32,sample_0077,Q3,1.3280425582467723,loss,1.8535252654421974,3.3731991786842275,0.027687064537294966,1.0142842802548435,7.548007622307141
shape_O075+scale_V32_minus_V32,sample_0084,Q1,-0.015172634926557405,win,1.7108204773726943,4.3190755184628795,0.005993259095147739,1.0759581077806453,5.887308749297235
shape_O075+scale_V32_minus_V32,sample_0085,Q2,1.9070555990784808,loss,3.3216821015742886,3.0104672403842,0.01616437095858523,1.0,6.773117019435622
shape_O075+scale_V32_minus_V32,sample_0108,Q2,0.2826868532772402,loss,0.76438808902289,1.320183279534384,0.0474323751029032,1.0381067548560152,5.940537849928422
shape_O075+scale_V32_minus_V32,sample_0130,Q2,-0.21139114427139405,win,0.4561463195884825,4.74953131719126,0.14285714285714285,2.6338008988151973,7.413362741997149
shape_O075+scale_V32_minus_V32,sample_0153,Q3,-3.457329791550464,win,2.2724052797735133,3.3423179036038926,0.03614716435267327,1.002132871465402,7.471931245395025
shape_O075+scale_V32_minus_V32,sample_0155,Q2,0.01766045917603659,loss,0.6541696288499962,1.3143871168255352,0.04652015129044325,1.2708003903958114,7.27502550762157
shape_O075+scale_V32_minus_V32,sample_0162,Q1,0.00029569620577277883,loss,0.4141624405834521,1.4104805021666098,0.030353168486562592,1.007829975591124,7.40713318219094
shape_O075+scale_V32_minus_V32,sample_0169,Q4,-0.5636673541370811,win,0.9069508309957184,1.5584542008297289,0.29810829449408915,2.2685736032305988,5.8337634170472645
shape_O075+scale_V32_minus_V32,sample_0171,Q1,-0.03775285722474081,win,0.08925043216177896,4.226671407072149,0.14073915173609866,1.037870430941033,7.936605360900202
