parameter,metric,pearson_r,pearson_p,spearman_rho,spearman_p
background_kz_bump_underfill_under_interposer_W_mK,deltaT_mean_K,-0.009897581153591947,0.9117094638728079,-0.007353277787950924,0.9343462522267452
background_kz_bump_underfill_under_interposer_W_mK,deltaT_cv_rms_K,-0.009609666171455367,0.9142678496161033,-0.005499221754257462,0.9508760233471962
background_kz_pcb_fr4_equivalent_W_mK,deltaT_max_K,0.0020262316501574295,0.9818901065924224,-0.003885506317524263,0.9652803146993899
background_kz_pcb_fr4_equivalent_W_mK,deltaT_mean_K,0.0011184371523118401,0.9900031308989795,-0.006723814319721662,0.9399554312851842
background_kz_pcb_fr4_equivalent_W_mK,deltaT_cv_rms_K,-0.0006431353352306275,0.9942513971406649,-0.004806811939205274,0.9570549180279135
background_kz_silicon_die_lower_W_mK,deltaT_max_K,-0.02357728563483219,0.7916515964222732,-0.024863806995055852,0.7805629973179395
background_kz_silicon_die_lower_W_mK,deltaT_mean_K,0.0029895391461415375,0.9732830005452472,-0.012074253799670389,0.8923988377706059
background_kz_silicon_die_lower_W_mK,deltaT_cv_rms_K,0.002432601272119329,0.9782589023222152,-0.011107169016663615,0.9009713574918453
background_kz_silicon_die_upper_W_mK,deltaT_max_K,0.01088690735036791,0.9029254536952478,0.004137291704815967,0.9630319811305854
background_kz_silicon_die_upper_W_mK,deltaT_mean_K,0.0051259490073290205,0.9542066783762773,-0.0007095770005493499,0.9936575265356724
background_kz_silicon_die_upper_W_mK,deltaT_cv_rms_K,0.0050538083359865146,0.9548504713486677,0.000984251968503937,0.9912024601068894
background_kz_silicon_interposer_tsv_0p1_W_mK,deltaT_max_K,-0.018356732291872308,0.8370543808520188,-0.01186252517853873,0.8942746348762743
background_kz_silicon_interposer_tsv_0p1_W_mK,deltaT_mean_K,-0.014096282296784755,0.874516219219619,-0.013687969236403589,0.8781224998786867
background_kz_silicon_interposer_tsv_0p1_W_mK,deltaT_cv_rms_K,-0.013353009024906713,0.8810827878199464,-0.011908304339864494,0.8938690072553659
background_kz_spreader_W_mK,deltaT_max_K,-0.007253869244056045,0.9352318795244126,-0.010746658121223218,0.9041700068657247
background_kz_spreader_W_mK,deltaT_mean_K,-0.012299349205467578,0.8904052707860809,-0.011667963742904228,0.8959988557937241
background_kz_spreader_W_mK,deltaT_cv_rms_K,-0.012138532031430357,0.8918294857971822,-0.010162973814319722,0.9093520094337114
background_kz_tim_between_dies_W_mK,deltaT_max_K,-0.036274255461167915,0.6843721075659439,-0.0424658945248123,0.6341110882886022
background_kz_tim_between_dies_W_mK,deltaT_mean_K,-0.011031822725629274,0.9016397413250861,-0.006512085698590002,0.9418428306069002
background_kz_tim_between_dies_W_mK,deltaT_cv_rms_K,-0.010755599397120834,0.9040906561872607,-0.008085744369163156,0.9278232780252822
