discretization_seed,full_point_global_pct,global_context_z_l2_drift_mean,global_context_z_max_abs_drift_mean,graph_hash_equal_fraction,log_s_phys_drift_mean,oracle_point_global_pct,p2r_edge_count_delta_mean,p2r_edge_length_mean_delta_mean,p2r_in_degree_mean_delta_mean,predicted_log_scale_drift_mean,prediction_drift_max_abs_K,prediction_drift_point_global_true_rms_pct,prediction_drift_raw_cv_rmse_K,prediction_drift_sample_first_cv_pct,qk_summary_l2_drift_mean,r2p_edge_count_delta_mean,r2p_edge_length_mean_delta_mean,r2p_in_degree_mean_delta_mean,r2r_edge_count_delta_mean,r2r_edge_length_mean_delta_mean,r2r_in_degree_mean_delta_mean,reference_label,regional_mode,regional_nodes_delta_mean,resolution,support_mode,support_point_global_pct,support_raw_cv_rmse_K,support_sample_first_pct,worker_wall_seconds
2,23.154039902833652,10.07881550479949,8.977939655189402,0.0,-0.09199170768260956,2.613273908884715,4356.96875,0.025380410719662905,17.0194091796875,0.1613521078049665,54.777992248535156,22.18989140757364,19.20784434316945,15.671061844596686,0.31185086010410756,4356.96875,0.025380410719662905,0.8603668212890625,27.5625,-0.012742768973112106,0.107666015625,R2+_N2048,fixed_training_nr,0.0,2048,measure_conservative_full_graph_rediscretization,22.84076952134662,19.554524780970684,15.714456726677973,68.30999841995072
2,32.66379625470551,11.202099527838044,9.855348114972003,0.0,-0.09213022887706757,2.313895983416647,13702.59375,0.03655641200020909,53.5257568359375,0.23802142948718785,75.74278259277344,31.670296866457665,27.310362071009134,24.81204396741608,0.27301579039911184,13702.59375,0.03655641200020909,1.4447708129882812,38.6875,0.003050505183637142,0.151123046875,R2+_N4096,fixed_training_nr,0.0,4096,measure_conservative_full_graph_rediscretization,32.42223562584451,27.710791839975577,24.953813255498915,68.41193328704685
2,46.72752065411162,12.512168442106757,10.693834846024401,0.0,-0.09214206039905548,2.077790028344182,35479.25,0.04912967560812831,138.5908203125,0.326023233227973,96.0160903930664,45.77114110550629,39.27558186785843,36.49343006106209,0.28997930367424546,35479.25,0.04912967560812831,2.1136093139648438,18.1875,-0.001283363439142704,0.071044921875,R2+_N8192,fixed_training_nr,0.0,8192,measure_conservative_full_graph_rediscretization,46.509512200254854,39.66661084860545,36.69908037043772,68.63051745097619
2,70.12438902521005,14.166582089342036,11.68262783170212,0.0,-0.092079296708107,1.8049058530708662,76757.96875,0.05928255524486303,299.8358154296875,0.4596030256177841,144.39056396484375,69.1847732613912,59.15797231388159,56.402757443180604,0.2849998481648111,76757.96875,0.05928255524486303,2.3091983795166016,20.75,0.010407896712422371,0.0810546875,R2+_N16384,fixed_training_nr,0.0,16384,measure_conservative_full_graph_rediscretization,69.94198179429516,59.54910989637629,56.672470764311576,73.5890261150198
3,11.747483430891425,9.644337004465335,7.650163438753225,0.0,-0.09252987802028656,3.2207133683798945,-1567.78125,0.01914270967245102,-6.108410883884805,0.07752351293413869,47.69642639160156,10.772854342904328,10.168072118745489,8.562590966452653,0.8378071551113931,-1567.78125,0.01914270967245102,-0.5279541015625,-19.4375,-0.0318671902641654,-0.013124234068627727,R2+_N512,fixed_training_nr,-1.0,512,measure_conservative_full_graph_rediscretization,12.067550217537377,10.64108876522227,8.535117621000044,71.83700289297849
3,14.411789043603326,9.322277440222454,8.069615279440768,0.0,-0.0925101786851883,2.9557380990153796,-80.28125,-0.0011906824074685574,-0.3135986328125,0.10615176021091802,37.40440368652344,13.460991633494707,11.879085546673528,10.257866909066653,0.23644984153980075,-80.28125,-0.0011906824074685574,-0.078399658203125,33.0625,0.003910086117684841,0.129150390625,R1,fixed_training_nr,0.0,1024,measure_conservative_full_graph_rediscretization,14.070912410785668,12.183235897349553,10.112667506221605,64.297986689955
3,21.13963282491277,9.924990193456962,8.917026599054225,0.0,-0.09220299124717712,2.6166773933723557,4550.78125,0.027672598138451576,17.7764892578125,0.15586997490224255,51.13469696044922,20.254165176142656,17.516648770732246,15.207251360989241,0.3111361291449444,4550.78125,0.027672598138451576,0.9550018310546875,8.125,-0.011741521768271923,0.03173828125,R2+_N2048,fixed_training_nr,0.0,2048,measure_conservative_full_graph_rediscretization,20.761356920072906,17.797864921254302,15.085540469827535,65.07564170192927
3,30.520504545394278,11.134597958816766,9.861430798773654,0.0,-0.09210266172885895,2.3178524342904336,13772.28125,0.03870011866092682,53.7979736328125,0.23419111307319868,62.25160217285156,29.608999740431823,25.601334268896974,24.23336918511349,0.25890358614673226,13772.28125,0.03870011866092682,1.4617843627929688,30.4375,0.00030621327459812164,0.118896484375,R2+_N4096,fixed_training_nr,0.0,4096,measure_conservative_full_graph_rediscretization,30.2864657862491,25.931545154086717,24.354869985069815,69.50134329800494
3,44.1301628650636,12.485369249058984,10.667176877264865,0.0,-0.09215591847896576,2.080573285731311,35501.0,0.04834825545549393,138.67578125,0.3273885363682893,86.64364624023438,43.2022724713847,37.13461322104897,36.5265571240071,0.29293909822501196,35501.0,0.04834825545549393,2.1162643432617188,11.375,-0.00017289631068706512,0.04443359375,R2+_N8192,fixed_training_nr,0.0,8192,measure_conservative_full_graph_rediscretization,43.901664444606695,37.48768438114544,36.72958026490238,70.90577503491659
3,67.92475182821074,14.128690241805451,11.640012209420092,0.0,-0.09210820496082306,1.8068985777650308,75195.65625,0.055993220303207636,293.7330322265625,0.4598666335189762,126.2380599975586,66.9760387192373,57.324742973224225,56.29063814845909,0.2859336417818722,75195.65625,0.055993220303207636,2.2138423919677734,17.5625,0.011008460074663162,0.068603515625,R2+_N16384,fixed_training_nr,0.0,16384,measure_conservative_full_graph_rediscretization,67.75850891325929,57.7186508113323,56.558434899182785,73.69436915009283
