continuous_wall_mean_s,continuous_wall_median_s,continuous_wall_p95_s,continuous_wall_std_s,failed_group_id,family,fvm_assembly_s_mean,fvm_assembly_s_median,fvm_assembly_s_p95,fvm_solve_s_mean,fvm_solve_s_median,fvm_solve_s_p95,graph_s_mean,graph_s_median,graph_s_p95,jit_forward_s_mean,jit_forward_s_median,jit_forward_s_p95,load_s_mean,load_s_median,load_s_p95,map_apply_s_mean,map_apply_s_median,map_apply_s_p95,map_build_s_mean,map_build_s_median,map_build_s_p95,output_s_mean,output_s_median,output_s_p95,peak_device_bytes,peak_ram_bytes,reason,resolution,route,sample_count,state,status
1.3212544402776984,1.3243914524791762,1.3671557757479604,0.03664276407250792,,randomblock,0.0308527049201075,0.030529448529705405,0.03299383806879632,1.286903737938701,1.2886501365574077,1.3334657942643389,,,,,,,0.0032063352700788528,0.0031147589907050133,0.0035369515942875293,,,,,,,0.0002874843448807951,0.00027810694882646203,0.00034682785626500846,0,641429504,,240825,fvm,32,known_topology_new_physics,passed
1.2759139292575128,1.2875476574990898,1.3144561336783227,0.03322136951745552,,randomblock,7.316302799154073e-07,6.559421308338642e-07,1.0172778274863957e-06,1.2756182142293255,1.2872464449610561,1.3141346407821402,,,,,,,1.6698177205398679e-06,1.608976162970066e-06,2.4414912331849337e-06,,,,,,,0.0002904810207837727,0.0002857120125554502,0.00033462559222243723,0,1390284800,,240825,fvm,32,fully_cached,passed
10.358730851450673,10.330396088538691,10.741103493474657,0.2588303258206819,,randomblock,,,,,,,4.486822476428642,4.459847639023792,4.617230042762822,3.965213400810171,3.9693112964741886,4.270695890753996,0.005934030719799921,0.006563117494806647,0.006999540672404691,0.0,0.0,0.0,0.0,0.0,0.0,0.00011329547487548552,0.00010849250247702003,0.0001466185552999377,190682368,1859411968,,1024,model_support,32,process_cold,passed
,,,,,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,unseen random-block topology changes raw edge shapes and fixed padding failed equivalence,1024,model_support,32,jit_cached_new_topology,not_applicable_under_frozen_numerical_contract
0.084385237092647,0.0887849249993451,0.09538418364827521,0.018594853281243072,,randomblock,,,,,,,0.08133193431785912,0.08582585299154744,0.09219431622186676,0.002475828991009621,0.002204404503572732,0.0031343457056209447,0.0004866435338044539,0.0004633209900930524,0.0006226269120816142,0.0,0.0,0.0,0.0,0.0,0.0,6.229570499272086e-05,6.0978520195931196e-05,6.6772400168702e-05,139137024,3569618944,,1024,model_support,32,known_topology_new_physics,passed
0.004139099964959314,0.004109701490961015,0.006018170184688643,0.0010762919386023374,,randomblock,,,,,,,6.130976544227451e-07,5.695037543773651e-07,8.918519597500561e-07,0.0037123409638297744,0.0036659964825958014,0.005612732766894623,0.00037033981061540544,0.00036008248571306467,0.00048792031011544166,0.0,0.0,0.0,0.0,0.0,0.0,3.9094811654649675e-05,3.412750083953142e-05,6.243603420443832e-05,139137024,3562160128,,1024,model_support,32,fully_cached,passed
10.523989563760551,10.520540460012853,10.708711781230523,0.13790952761691347,,randomblock,,,,,,,4.489452644807898,4.494251440570224,4.5818100772448815,3.959446358931018,3.9522673955070786,4.176998514315346,0.000597264282987453,0.0005894704954698682,0.0007006900501437485,0.016883391625015065,0.01697330246679485,0.017546109354589133,0.1491529658123909,0.14887559198541567,0.1579418638255447,0.00030587660512537695,0.0003164379741065204,0.00032842368236742916,139172864,1932750848,,1024,production_reconstruction,32,process_cold,passed
,,,,,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,unseen random-block topology changes raw edge shapes and fixed padding failed equivalence,1024,production_reconstruction,32,jit_cached_new_topology,not_applicable_under_frozen_numerical_contract
0.22429790987371234,0.22645956848282367,0.23511551447445528,0.01236041845670135,,randomblock,,,,,,,0.08443011109557119,0.08816055953502655,0.09267100116121582,0.0027503638339112513,0.002699373522773385,0.0042914356337860225,0.0007438531756633893,0.0007568399887531996,0.0008152572612743825,0.007574334580567665,0.006785687466617674,0.011161819903645665,0.12849348633608315,0.1270341900526546,0.1345191546715796,0.0002492348867235705,0.000244753435254097,0.00030843667336739595,139137024,3874881536,,1024,production_reconstruction,32,known_topology_new_physics,passed
0.011567235305847134,0.010617502499371767,0.016722187527921047,0.003273636947582566,,randomblock,,,,,,,1.6533340385649353e-06,1.6339472495019436e-06,2.280093031004071e-06,0.003228912770282477,0.0029707845533266664,0.004537397500826046,0.0010252832471451256,0.0007476434693671763,0.0016757454723119736,0.007071000221912982,0.006692996539641172,0.011280148581136011,1.8982464098371565e-06,1.7265556380152702e-06,2.7357658836990594e-06,0.0002048920541710686,0.0001872275024652481,0.0002591631782706827,139137024,4236173312,,1024,production_reconstruction,32,fully_cached,passed
