cg_iterations_median,cg_iterations_p95,continuous_wall_mean_s,continuous_wall_median_s,continuous_wall_p95_s,continuous_wall_std_s,failed_group_id,family,fvm_assembly_s_mean,fvm_assembly_s_median,fvm_assembly_s_p95,fvm_solve_s_mean,fvm_solve_s_median,fvm_solve_s_p95,gpu_model_over_cpu_fvm_speedup,graph_s_mean,graph_s_median,graph_s_p95,jit_forward_s_mean,jit_forward_s_median,jit_forward_s_p95,load_s_mean,load_s_median,load_s_p95,map_apply_s_mean,map_apply_s_median,map_apply_s_p95,map_build_s_mean,map_build_s_median,map_build_s_p95,output_s_mean,output_s_median,output_s_p95,peak_device_bytes,peak_ram_bytes,reason,resolution,route,sample_count,state,status
,,10.069186630022159,10.076137175434269,10.275272729375866,0.1394968471012047,,p1i,,,,,,,0.0812883639557319,4.787473776610568,4.766229294997174,4.878216821508249,3.98052534674207,3.9883327150018886,4.184957625414245,0.0006436631192627829,0.0006357419770210981,0.0007192134857177734,0.0016864696444827132,0.0017064209678210318,0.0019186484743840993,0.10901498849489144,0.10901404346805066,0.11427876580855809,0.00011143384472234175,0.00011026451829820871,0.0001226287509780377,190683136,1914093568,,65536,production_reconstruction,32,process_cold,passed
,,1.6332987984678766,1.7910992294782773,1.9287009171908722,0.2876444398443018,,p1i,,,,,,,,1.518435725087329,1.6756274024373852,1.8096607899700756,0.003250616540753981,0.003013978071976453,0.004055623296881095,0.0007087543999659829,0.0007016825256869197,0.0008603043388575315,0.0014680579952255357,0.0014095589867793024,0.001808289042674005,0.10930436651688069,0.11089872446609661,0.11390233496786095,9.996668813982978e-05,9.981897892430425e-05,0.0001068631827365607,139173376,3873792000,,65536,production_reconstruction,32,new_topology,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,65536,production_reconstruction,32,known_topology_new_physics,not_applicable_under_frozen_contract
,,0.006496912086731754,0.006358433980494738,0.008236883959034458,0.0008448141957040735,,p1i,,,,,,,24.705688300081004,1.615993824088946e-06,1.5869736671447754e-06,2.3013039026409387e-06,0.003024153997102985,0.0029002585215494037,0.004174557427177206,0.0006805775010434445,0.0006739950040355325,0.0007592879934236407,0.0026583722974464763,0.00278437597444281,0.0033360050583723933,2.4844848667271435e-06,2.374988980591297e-06,3.161968197673559e-06,9.747138028615154e-05,9.611999848857522e-05,0.00010957816848531366,139176192,4079697920,,65536,production_reconstruction,32,fully_cached,passed
1525.0,1733.3999999999999,2.355179667360062,2.305626776011195,2.5546151523361913,0.1352708026222018,,p1i,0.03477951283639413,0.0323568094172515,0.04808895089663565,1.6545134962216252,1.6126121149864048,1.8518350112310145,0.22707847820477156,,,,,,,0.026087557555001695,0.026423958537634462,0.03057877962710336,,,,,,,0.00032414710585726425,0.0003208119887858629,0.00038283157045952975,0,413134848,,240825,fvm,32,process_cold,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,240825,fvm,32,new_topology,not_applicable_under_frozen_contract
1525.0,1733.3999999999999,1.7115169520075142,1.6972032985067926,1.9520894957415293,0.13028838251957878,,p1i,0.025153412472718628,0.024713214545045048,0.029367152601480484,1.6709258067421615,1.6578294314676896,1.908075061935233,,,,,,,,0.015181418599240715,0.014681716507766396,0.019023416988784448,,,,,,,0.0002518461005820427,0.0002539880224503577,0.0002957476768642664,0,925069312,,240825,fvm,32,known_topology_new_physics,passed
1525.0,1733.3999999999999,1.6613902141289145,1.6696731349802576,1.8672795885591766,0.11890601592920931,,p1i,2.456217771396041e-07,1.8702121451497078e-07,5.702429916709662e-07,1.6611343225158635,1.6694343900308013,1.8670277065830305,128.73073342282433,,,,,,,2.317861799383536e-06,2.2589811123907566e-06,2.906116424128413e-06,,,,,,,0.0002503389951016288,0.0002454264904372394,0.00029005180695094166,0,1881219072,,240825,fvm,32,fully_cached,passed
,,10.143306661997485,10.153435914486181,10.490585675055627,0.22035303396808179,,p1i,,,,,,,0.22707847820477156,4.797128797072219,4.817310484999325,4.902331025892636,3.9666296674295154,3.9679582085227594,4.293155341333477,0.0006773919885745272,0.0006359175313264132,0.0008153957256581633,0.017701045402645832,0.01815571845509112,0.01889554297667928,0.17577526172317448,0.17714117199648172,0.18342090882943013,0.0002793762178043835,0.00026789598632603884,0.0003330054110847413,190705408,1945182208,,240825,production_reconstruction,32,process_cold,passed
,,1.6925393401179463,1.8477550075040199,2.0005189911229535,0.29003976600946196,,p1i,,,,,,,,1.505886747745535,1.6688248745631427,1.8111103782546707,0.0031433459589607082,0.002915605960879475,0.004146392655093223,0.0007160183668020181,0.0007100389921106398,0.0008513976295944303,0.014594174666854087,0.014533062058035284,0.015506545995594933,0.167891055563814,0.16890130704268813,0.17782828061608597,0.0002739587871474214,0.000269836513325572,0.00032875710749067364,139173376,4219420672,,240825,production_reconstruction,32,new_topology,passed
,,,,,,,p1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,240825,production_reconstruction,32,known_topology_new_physics,not_applicable_under_frozen_contract
,,0.01390666892984882,0.01297027594409883,0.016596667154226453,0.0028695402875077705,,p1i,,,,,,,128.73073342282433,1.9490653357934207e-06,2.022541593760252e-06,2.5806308258324862e-06,0.003192271771695232,0.002928522473666817,0.004287805833155289,0.0007047602266538888,0.0006944555207155645,0.0008066702517680824,0.009713837043818785,0.008972447481937706,0.012275531480554491,3.6103592719882727e-06,2.705492079257965e-06,3.550085239112377e-06,0.0002566790317359846,0.00025289697805419564,0.00028970682178623973,139176192,5021618176,,240825,production_reconstruction,32,fully_cached,passed
,,,,,,rb_g000,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb_g000: underresolved k block,4096,fvm,32,process_cold,not_run_resolution_infeasible
,,,,,,rb_g000,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb_g000: underresolved k block,4096,fvm,32,new_topology,not_run_resolution_infeasible
,,,,,,rb_g000,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb_g000: underresolved k block,4096,fvm,32,known_topology_new_physics,not_run_resolution_infeasible
,,,,,,rb_g000,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb_g000: underresolved k block,4096,fvm,32,fully_cached,not_run_resolution_infeasible
,,11.214695799219044,11.223958139424212,11.444745271338615,0.19207357362760585,,randomblock,,,,,,,,4.583696951591264,4.587986675440334,4.644976894877618,3.9776765794340463,3.977229109965265,4.197899466427043,0.0007258728437591344,0.0007043594960123301,0.000826015620259568,9.06359709915705e-05,8.718098979443312e-05,0.00010902038193307816,0.056447281524015125,0.056471208459697664,0.05780205107294023,8.167219493770972e-05,8.168845670297742e-05,8.647312060929834e-05,190685952,1879367680,,4096,production_reconstruction,32,process_cold,passed
,,,,,,,randomblock,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable_under_frozen_contract,4096,production_reconstruction,32,new_topology,not_applicable_under_frozen_contract
