sample_id,sobol_index,sobol_dimensions_consumed,continuous_severity,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,upper_source_count,cross_family_overlap_pair_count,power_base_W,power_top_h_factor,power_independent_latent,power_independent_multiplier,total_source_area_fraction,mean_source_area_fraction,source_area_cv,mean_source_aspect_ratio,source_centroid_spread,source_upper_fraction,cross_family_overlap_fraction,q_proxy_mean_W_m3,q_proxy_max_W_m3,mean_local_k_W_mK,local_k_log_std,background_kz_pcb_fr4_equivalent_W_mK,background_kz_bt_substrate_with_vias_W_mK,background_kz_silicon_interposer_tsv_0p1_W_mK,background_kz_bump_underfill_under_interposer_W_mK,background_kz_silicon_die_lower_W_mK,background_kz_tim_between_dies_W_mK,background_kz_silicon_die_upper_W_mK,background_kz_tim_to_spreader_W_mK,background_kz_spreader_W_mK,split_role
v6p1if1_0862,862,77,0.2736327173188329,5.920859221701069,1138.9042283321783,176.39318270283522,4,6,2,0,5.9072113010723415,1.1956964253062516,0.3314637681469321,0.8382649322997356,0.055397933747523914,0.013849483436880979,0.10900399923355056,1.2482344753285657,0.3616712767535334,0.5,0.0,7101277051.959922,7727734204.64524,65.82647837176563,0.6571989240582795,0.30181881346271944,0.4774868384295725,146.5616239560768,5.151748739737919,135.7795401941985,4.850747521097236,127.19299052841961,2.7275284323664866,396.96713167708367,train
v6p1if1_0863,863,123,0.8842525007203221,8.681767603539694,835.04630244115,24.602806414834284,10,6,4,4,9.431769730372832,0.9504577992886053,0.5391180710867047,0.9684609820814754,0.1250477252304544,0.012504772523045441,0.15566320936185787,1.2350460589165149,0.3756896337426412,0.4,0.06666666666666667,4662760425.105608,5580067966.530192,113.67443200749234,0.9998966456140387,0.24658131428727922,0.5346695366734738,136.96337500121444,4.399746149408693,124.62958921678364,2.2456560198426803,105.95736051909626,3.920550941709678,389.80669813696295,train
v6p1if1_0864,864,141,0.43995339423418045,9.00832375625201,1091.5840995658423,56.15064876109523,6,8,1,0,9.031799703022525,1.1587482831348692,0.36954741552472115,0.8607570426932352,0.07060428230203455,0.011767380383672426,0.2026607416182842,1.3405632086547101,0.2933057925395989,0.16666666666666666,0.0,8480984249.195292,10726410047.637857,171.19425260841112,0.4136205708631809,0.24431258718754012,0.4072852312147772,121.11304628662765,4.033640149817728,147.9915474075824,3.111556077925997,131.02062582038343,4.706426621788012,395.01779401674867,test_iid
v6p1if1_0865,865,123,0.8318231776356697,8.34866583273126,824.5407248412904,78.33791276589815,8,8,5,2,9.400879202770998,0.9415987873853174,0.5010340046137571,0.9431542267591901,0.09968577902093398,0.012460722377616747,0.159269423672224,1.2792257144538497,0.3385226486117926,0.625,0.03125,5671623646.647426,7690805754.390188,80.95479808748705,0.661665534382293,0.3035602871403526,0.5700759456535424,144.94292807765305,5.622440664063648,111.83924856595695,3.5141873819568636,102.22878814674914,2.2641901148298516,388.0939263943583,train
v6p1if1_0866,866,71,0.5928664710372686,4.78978414989499,561.6705604684361,133.03498660887234,4,5,1,0,9.15255620273162,0.7088315507149539,0.14881385676562786,0.7382959702246455,0.04491880061652008,0.01122970015413002,0.13731356737902325,1.2811474285639584,0.3326019347522659,0.25,0.0,7086661063.159255,8001041166.360561,86.74901827675224,0.522976500507564,0.3597969854790834,0.48504955292765645,134.84370123129338,4.739463892373624,119.84499511308968,5.7107506466826115,146.64802439510822,1.8491423633045792,389.05986784026027,train
v6p1if1_0867,867,95,0.20148544572293758,7.389349481049979,1360.6615788941563,32.991315296176346,10,3,3,1,4.1412939607609305,1.3638567551059506,0.9717064686119556,1.3082820686439403,0.12284291721513507,0.012284291721513508,0.17685264231910822,1.1979943135714746,0.34817858697406645,0.3,0.03333333333333333,4024367965.1321573,4827449239.439103,127.53162799334821,0.23469161961282733,0.28605375598964733,0.5412456913108676,148.8169483607635,5.349890118823087,133.72931736521423,1.7156360120568248,124.10618169233203,5.0492691341859,397.8604552615434,train
v6p1if1_0868,868,81,0.04634467884898186,2.336996602463842,721.0837011441818,196.91294960836686,7,2,4,0,4.017714150833531,0.8527043436481756,0.03505284059792757,0.6821510800285926,0.07596127584909916,0.010851610835585595,0.22296427368825644,1.3039142038614795,0.2777856537475999,0.5714285714285714,0.0,2029497473.1602738,2470910621.829679,186.25301322011384,1.2184443750062033,0.27952827280618164,0.4436997126827469,138.3905715541914,5.007967274938066,130.3932333830744,2.2099849470503403,143.28693766146898,1.505194584043727,390.6250334577635,train
v6p1if1_0869,869,95,0.6857859306037426,11.84014803353632,985.5399465003235,25.564972091843927,5,8,3,0,9.254244058874805,1.0743877834950546,0.8364306977018714,1.1908446831669979,0.0643679477242518,0.01287358954485036,0.15892098700212914,1.1663922052672677,0.26118009483933846,0.6,0.0,12149377401.665064,16079745418.481424,97.92193812805107,0.8036131901906982,0.35190039565959363,0.49359724823547135,127.77120469603688,4.522645349627223,116.1556703504175,4.646077774290822,114.08311696723104,6.3726657010420675,399.89514307584614,valid_iid
v6p1if1_0870,870,125,0.9247426558285952,11.910338553138038,1401.4964130111048,46.65361893807098,9,4,4,0,9.455625889109712,1.3940145258928425,0.43938040640205145,0.9035798266149587,0.10598986719335057,0.011776651910372285,0.24848606613204782,1.2296350938729612,0.3244967498570329,0.4444444444444444,0.0,7384193965.739919,9523801307.025984,110.15322812606254,1.009329910666254,0.329042044741672,0.42089974458064194,150.92707412317395,5.956529923844436,102.28368216194212,6.093668901848602,133.91431416384876,3.7550309061204805,393.4195549460128,train
v6p1if1_0871,871,59,0.2848126459866762,4.90409432971092,597.1802679785625,107.66459952541024,3,4,1,0,6.180857545223762,0.7417122170723259,0.6821642266586423,1.069731164912398,0.03330163922024286,0.01110054640674762,0.17528362536810826,1.228207827764871,0.4259575086322614,0.3333333333333333,0.0,9645726757.422075,11191899745.961725,169.02814922942216,1.1226477366989538,0.26551101143591926,0.591447762535818,132.63002663850784,4.251211742128603,138.00949803553522,1.51488594689584,110.96048508770764,2.7620420172152533,386.0263938969001,test_iid
