variable,split_role,count,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
total_source_area_fraction,valid_iid,128,0.07878892747707915,0.02839218449059017,0.0285476285577212,0.02956055056856703,0.03389890220326021,0.038748161798759805,0.05508309439901805,0.08016110330861115,0.10029124145384,0.1164717171815939,0.12298695693320748,0.12981671780219,0.13312952011433588
total_source_area_fraction,test_iid,128,0.07743121801684871,0.028268274050536047,0.02909562525836986,0.030078658631892668,0.034650671361325956,0.03863451932214012,0.05410091216785182,0.07823602302713444,0.10218267022658267,0.1153368396065405,0.12209534158889356,0.12531834377522957,0.12758549386926088
mean_q_W_m3,train,768,7641474965.39919,5080971589.103544,1200551641.5955374,1543392155.2487202,2300139992.4170513,2889529865.825827,4221392702.5182896,6385825236.850725,9687789641.149866,13727052737.776098,17545030071.530605,26026429004.433666,45392515952.52296
mean_q_W_m3,valid_iid,128,7553073131.659391,5008986569.297114,1113663519.193053,1765964574.8780792,2278135268.2593193,2782857408.375015,3927423760.347477,5829821003.256479,9545758306.121359,14638536068.44033,19589315060.174507,22391277327.17727,25477886003.273453
mean_q_W_m3,test_iid,128,7615769950.472315,4948033855.868106,1561856967.673885,1680371934.5691357,1994463203.3062074,3080532049.3925343,4204156294.93428,6253752030.809216,9691488450.571878,14088950381.481915,17592925255.31076,23761638750.981125,26800804444.834442
mean_local_k_W_mK,train,768,129.20953841751432,50.87922082540544,22.32125590671862,32.373793694814985,54.190173201302144,69.09490025099129,93.35743632017464,124.17569140083658,158.3585522532141,195.69167464175084,223.13558003630303,268.6549126341851,317.3966356340973
mean_local_k_W_mK,valid_iid,128,120.90184927460692,43.834808316696936,33.19018593641726,42.46117292690912,50.9099034275938,63.97979870478401,89.2046302131975,117.94865527294468,152.9134297958256,189.83545803881125,195.06899170848214,208.23170192985881,217.2781152958076
mean_local_k_W_mK,test_iid,128,120.34608101494155,50.30355509047698,27.963809166376826,30.038731590390015,41.403595103836885,53.015044118284834,87.44917874747469,115.2124958144048,153.97014168642605,195.2412657916181,206.55631819731465,240.33058276732166,262.057995647839
effective_background_kz_W_mK,train,768,0.5612423646179513,0.05592894402882163,0.4509767789801387,0.4632434447712545,0.4777574555368204,0.48927125035722435,0.5148276007637225,0.5587178933760073,0.6038983913213882,0.6386111982066884,0.6556687679160679,0.6811943918979324,0.6984513346018041
effective_background_kz_W_mK,valid_iid,128,0.5677994908679806,0.053818712748632425,0.47281258925247294,0.477738949615729,0.4891150559228133,0.49581150062087265,0.5266755612556568,0.5601143931827779,0.6101976876440007,0.6395291216230576,0.6569481690546805,0.683569650943913,0.6865742609854283
