population,sample_id,split_role,true_peak_deltaT_K,total_power_W,continuous_severity,absolute_peak_error_K,sample_peak_relative_error_pct,peak_error_sse_K2,peak_error_sse_rank,is_top5_sse,is_top10_sse
valid32,v6p1if1_0109,valid_iid,103.47586272179257,6.257435501427002,0.5623327884823084,3.4955520629882812,3.3781328041559777,12.218884225061629,15,False,False
valid32,v6p1if1_0511,valid_iid,81.99947644647523,5.794942290774134,0.35499008279293776,0.6824111938476562,0.8322140865046826,0.4656850374885835,27,False,False
valid32,v6p1if1_0697,valid_iid,86.40490215060004,9.488757683673832,0.8282865015789866,7.2342529296875,8.372502890031063,52.33441545069218,2,True,True
valid32,v6p1if1_0928,valid_iid,140.29790093070517,7.138077140691364,0.8179553803056479,3.9909210205078125,2.844604939940603,15.92745059193112,12,False,False
valid32,v6p1if1_1017,valid_iid,44.37562146625436,3.9177920997654496,0.20716622192412615,2.1015625,4.735849167990002,4.41656494140625,20,False,False
test128,v6p1if1_0874,test_iid,125.49807319568191,9.497610312949044,0.5491361059248447,1.4293899536132812,1.1389736250249165,2.0431556394905783,106,False,False
test128,v6p1if1_0346,test_iid,81.03268216503511,8.986521027563281,0.8066771002486348,7.5935516357421875,9.37097407225987,57.66202644468285,22,False,False
test128,v6p1if1_0490,test_iid,91.45145330671869,6.365793226637216,0.9667316675186157,4.27069091796875,4.6698994532599665,18.238800916820765,46,False,False
test128,v6p1if1_0141,test_iid,171.5794908306557,12.804346565753601,0.9272641520947218,16.499038696289062,9.615973690336432,272.2182779016439,4,True,True
test128,v6p1if1_0057,test_iid,122.77990031431602,13.64147304550805,0.6870880490168929,1.1987152099609375,0.9763122521619839,1.4369181545916945,113,False,False
test128,v6p1if1_0360,test_iid,144.66574828128478,9.567892627542019,0.5937748979777098,2.4156036376953125,1.6697827000476075,5.835140934446827,81,False,False
test128,v6p1if1_0813,test_iid,79.75937094680381,9.452725407445225,0.6133437156677246,2.4919357299804688,3.1243171810400643,6.209743682353292,78,False,False
test128,v6p1if1_0485,test_iid,89.70723012366187,9.408410360055122,0.8295936360955238,1.289337158203125,1.4372722872234125,1.6623903075233102,110,False,False
test128,v6p1if1_0555,test_iid,78.87678237191409,9.073593234951044,0.7881616894155741,5.6374969482421875,7.14721972514126,31.781371841439977,29,False,False
test128,v6p1if1_0704,test_iid,125.93520475093254,7.9935266432165655,0.9500522930175066,7.058380126953125,5.60477123208938,49.82073001656681,23,False,False
test128,v6p1if1_0946,test_iid,53.08746189689299,4.787942640214529,0.26842017378658056,1.4169120788574219,2.669014543602335,2.007639839212061,107,False,False
test128,v6p1if1_0129,test_iid,93.91923211651891,4.95552505987954,0.5519856587052345,3.7216796875,3.962638539125593,13.850899696350098,54,False,False
