discretization_seed,global_context_z_l2_drift,global_context_z_max_abs_drift,log_s_phys_drift,predicted_log_scale_drift,qk_summary_l2_drift,resolution,sample_id,suite
0,6.3950207281623435,5.410381555557251,0.003257274627685547,0.5323183454292071,0.3541713033590329,16384,v6p1if1_0029,main
0,9.414825228356115,8.365837454795837,-0.0037279129028320312,0.21211098226305847,0.2585966416497735,16384,v6p1if1_0991,main
0,7.637242310464324,6.711796164512634,0.0014109611511230469,0.5335697993964335,0.21335194925897275,16384,v6p1if1_0109,main
0,6.079841310601092,5.072193622589111,-0.0029125213623046875,0.41896198987205313,0.18358462043369736,16384,v6p1if1_0365,main
0,13.396457301951102,12.684650897979736,-0.0027370452880859375,0.5141063267198165,0.23010028327148813,16384,v6p1if1_0091,main
0,6.976127587578586,5.287031173706055,0.0014934539794921875,0.3087664410900266,0.1688971606379351,16384,v6p1if1_0930,main
0,9.03919906049958,7.291069619357586,0.002391815185546875,0.3754850019009375,0.3049440203729266,16384,v6p1if1_0175,main
0,10.47322190134612,8.8760826587677,-0.0012211799621582031,0.2635407507637022,0.28867439783817833,16384,v6p1if1_0915,main
0,9.309806776404663,9.25682806968689,-0.003798961639404297,0.34047360910150726,0.2078040865448689,16384,v6p1if1_0869,main
0,8.444605177201725,7.819585382938385,0.0003895759582519531,0.51679950233612,0.3105559068144991,16384,v6p1if1_0522,main
0,7.560825326979944,5.755565524101257,-0.0003638267517089844,0.44605303702184873,0.2050591405285693,16384,v6p1if1_0118,main
0,6.656893139392478,4.3395349979400635,-0.004058837890625,0.31848858182103346,0.17871153737050785,16384,v6p1if1_0708,main
0,15.45342575477579,15.153390407562256,0.0018210411071777344,0.44492774784395195,0.4115529235666628,16384,v6p1if1_0817,main
0,8.465061972113467,6.5772165060043335,0.0006837844848632812,0.47169353465226393,0.22152638156250312,16384,v6p1if1_1003,main
0,7.4482280437678074,7.044770270586014,0.00010156631469726562,0.26252884963649414,0.24797426931166863,16384,v6p1if1_0697,main
0,9.577893110184098,8.739987254142761,-0.00188446044921875,0.4729289382050874,0.18512349090894295,16384,v6p1if1_0907,main
0,5.177532508492658,3.9401988983154297,0.0006470680236816406,0.2558812596592208,0.21087093423338374,16384,v6p1if1_0203,main
1,6.228429735070183,5.418670058250427,-0.0009937286376953125,0.12776750046573682,0.7751709771286647,512,v6p1if1_0308,main
1,5.6797783330799225,3.938201427459717,0.001007080078125,-0.08005380545793539,0.590403039500291,512,v6p1if1_0511,main
1,7.309294662798688,6.0777552127838135,0.0019359588623046875,0.028557735548558227,0.7043721307580066,512,v6p1if1_0041,main
1,3.6950308216162218,3.4752554893493652,-0.0004105567932128906,-0.02202264473555804,0.7135518999080189,512,v6p1if1_0846,main
1,3.938237653794027,3.7896835803985596,-0.0008530616760253906,-0.017757442738619567,0.4963284821618749,512,v6p1if1_0572,main
1,9.187068077115867,8.85366702079773,-0.0024161338806152344,-0.01388981058768124,0.62761754632939,512,v6p1if1_0347,main
1,3.0848642166948466,2.8597965240478516,-0.00034999847412109375,-0.1603684314998297,0.6343823839106705,512,v6p1if1_0286,main
1,6.466788065005619,6.142817445099354,0.0016355514526367188,0.03696160888239408,0.7814181746714989,512,v6p1if1_0124,main
1,7.319811353206577,7.281354904174805,0.0025925636291503906,-0.019587477301916678,0.6871106840925876,512,v6p1if1_1017,main
1,4.583818652434915,3.936666965484619,-0.0009937286376953125,-0.011857065909490316,0.515890809081169,512,v6p1if1_0854,main
1,4.445274722106863,3.945955514907837,-0.005214691162109375,0.029363730840319846,0.561633606065943,512,v6p1if1_0928,main
1,5.207669601736504,4.463820934295654,0.0014743804931640625,-0.09591111616566428,0.838073504689532,512,v6p1if1_0543,main
1,2.932069688992994,2.7583097219467163,-0.0032901763916015625,0.03929425848014123,0.6575659949677932,512,v6p1if1_0632,main
1,4.307820327045055,3.2169508934020996,-0.0021605491638183594,-0.025326918407903687,0.6996246811499731,512,v6p1if1_0599,main
1,2.3600943513401926,1.5930790305137634,-0.0014324188232421875,0.002795305561916983,0.7834494768200004,512,v6p1if1_0003,main
1,2.2634880773575983,1.4129907488822937,0.0007052421569824219,0.009170434534774063,0.878060865998001,512,v6p1if1_0029,main
1,7.8820277675137955,7.559650421142578,0.0009655952453613281,-0.015882487521240662,0.5544601484780436,512,v6p1if1_0991,main
1,5.5325032441274296,3.877026081085205,-0.002429485321044922,0.030305505274818678,0.7545376028457327,512,v6p1if1_0109,main
1,4.372427400852454,3.7279090881347656,-0.0021495819091796875,-0.05151366167665872,0.6995510582572706,512,v6p1if1_0365,main
1,3.8984489737453014,2.5374889373779297,-0.0013442039489746094,-0.09382534229982653,0.6515508881790056,512,v6p1if1_0091,main
1,7.140373884556334,5.145302712917328,0.0014395713806152344,0.17842961053672246,0.88442487700602,512,v6p1if1_0930,main
