machine,route,stage,median_s,p95_s,median_share_fresh_pct,p95_share_fresh_pct,devbox_over_wsl2_median_ratio,devbox_vs_wsl2_change_pct,model_seed_label,anomaly_note
devbox,U_v2_16384_reconstruction,graph,0.0733032317366451,0.08911696705035865,9.179909326155833,11.262459633918114,0.914899665881652,-8.510033411834804,model_seed0,
devbox,U_v2_16384_reconstruction,packing,0.2459271119441837,0.2607410066993907,30.154657203906954,31.53060059501887,0.8946571983069374,-10.534280169306264,model_seed0,
devbox,U_v2_16384_reconstruction,reconstruction_map,0.14288157713599503,0.14684159809257835,17.59483155845544,19.013378589060736,0.9477069738373403,-5.229302616265974,model_seed0,
devbox,U_v2_16384_reconstruction,h2d,0.008008248638361692,0.008957549929618835,0.9969715131554622,1.1279714444171955,0.845026541002077,-15.497345899792304,model_seed0,
devbox,U_v2_16384_reconstruction,nn_reconstruction,0.005429148208349943,0.005733528058044612,0.6637031651079022,0.7537068368984852,0.7463340737563774,-25.366592624362262,model_seed0,
devbox,U_v2_16384_reconstruction,other_measured,0.0005924911238253117,0.0008783835219219327,0.07372406629838925,0.10814798017556404,0.667866416743521,-33.2133583256479,model_seed0,
devbox,U_v2_direct240825,input_support,0.08029513829387724,0.08361938840243965,6.835133037931255,7.49344061330183,0.931868849024392,-6.813115097560796,model_seed0,
devbox,U_v2_direct240825,graph,0.749195059761405,0.927721900283359,63.10636019182509,70.42715060719092,0.8948283252265291,-10.517167477347089,model_seed0,
devbox,U_v2_direct240825,packing,0.2927743287291378,0.3091822200221941,24.966863196537904,27.554584621939544,0.8500291866934468,-14.997081330655316,model_seed0,
devbox,U_v2_direct240825,reconstruction_map,1.041940413415432e-05,1.4219316653907299e-05,0.0008638680844832453,0.0012455860514467127,0.8542223409941208,-14.577765900587924,model_seed0,
devbox,U_v2_direct240825,h2d,0.008058642270043492,0.008993070805445313,0.6790895994936159,0.7770461034315004,0.8472246686675353,-15.277533133246468,model_seed0,
devbox,U_v2_direct240825,nn_reconstruction,0.055267247604206204,0.056100814254023135,4.6666852835146955,5.134328257395094,0.9166894634439258,-8.331053655607423,model_seed0,
devbox,U_v2_direct240825,other_measured,0.000677409814670682,0.0009181497152894735,0.05609845092036429,0.07838892491976414,0.7546492931549259,-24.53507068450741,model_seed0,
devbox,E240825_direct_control,input_support,0.05384788499213755,0.06596583488862962,4.600528323743136,5.545855394039379,0.942909056183382,-5.709094381661794,model_seed0,
devbox,E240825_direct_control,graph,0.5720862161833793,0.6337857972830534,48.94147071430701,52.85774199978554,0.924338339753911,-7.566166024608901,model_seed0,
devbox,E240825_direct_control,packing,0.4493927815929055,0.5288827186450362,37.79318207801329,42.6389408969225,0.8811601779277964,-11.883982207220356,model_seed0,
devbox,E240825_direct_control,reconstruction_map,1.0740943253040314e-05,1.5172990970313549e-05,0.0009092442956171128,0.0012763667084234546,0.8420091990946923,-15.79908009053077,model_seed0,
devbox,E240825_direct_control,h2d,0.01296521839685738,0.01445226522628218,1.093469307118868,1.264670469089292,0.8222055155104037,-17.779448448959634,model_seed0,
devbox,E240825_direct_control,nn_reconstruction,0.08706302591599524,0.08806150418240577,7.371233155783763,7.793669742507591,0.9187616445388231,-8.123835546117686,model_seed0,
devbox,E240825_direct_control,other_measured,0.00019247154705226421,0.0002594717079773545,0.016285482627286338,0.02128765100449868,0.7548921574804875,-24.510784251951247,model_seed0,
