discretization_seed,factor_cell,p2r_edge_count,p2r_edge_length_max_normalized,p2r_edge_length_mean_normalized,p2r_edge_length_median_normalized,p2r_edge_length_p95_normalized,p2r_in_degree_max,p2r_in_degree_mean,p2r_in_degree_median,p2r_in_degree_min,p2r_in_degree_p05,p2r_in_degree_p95,p2r_in_degree_zero_count,p2r_out_degree_max,p2r_out_degree_mean,p2r_out_degree_median,p2r_out_degree_min,p2r_out_degree_p05,p2r_out_degree_p95,p2r_out_degree_zero_count,r2p_edge_count,r2p_edge_length_max_normalized,r2p_edge_length_mean_normalized,r2p_edge_length_median_normalized,r2p_edge_length_p95_normalized,r2p_in_degree_max,r2p_in_degree_mean,r2p_in_degree_median,r2p_in_degree_min,r2p_in_degree_p05,r2p_in_degree_p95,r2p_in_degree_zero_count,r2p_out_degree_max,r2p_out_degree_mean,r2p_out_degree_median,r2p_out_degree_min,r2p_out_degree_p05,r2p_out_degree_p95,r2p_out_degree_zero_count,r2r_edge_count,r2r_edge_length_max_normalized,r2r_edge_length_mean_normalized,r2r_edge_length_median_normalized,r2r_edge_length_p95_normalized,r2r_in_degree_max,r2r_in_degree_mean,r2r_in_degree_median,r2r_in_degree_min,r2r_in_degree_p05,r2r_in_degree_p95,r2r_in_degree_zero_count,r2r_isolated_node_count,r2r_out_degree_max,r2r_out_degree_mean,r2r_out_degree_median,r2r_out_degree_min,r2r_out_degree_p05,r2r_out_degree_p95,r2r_out_degree_zero_count,r2r_weakly_connected_components,regional_mode,regional_nodes,resolution,sample_id,suite,support_mode
0,B,9438,0.28811076283454895,0.10295337438583374,0.10352222621440887,0.20963142812252045,108,9.216796875,6.0,1,1.0,28.0,0,9,2.30419921875,2.0,1,1.0,5.0,0,9438,0.28811076283454895,0.10295337438583374,0.10352222621440887,0.20963142812252045,9,2.30419921875,2.0,1,1.0,5.0,0,108,9.216796875,6.0,1,1.0,28.0,0,17818,2.3901312351226807,0.3283345401287079,0.2898768484592438,0.7457947731018066,57,17.400390625,15.0,6,9.0,32.0,0,0,57,17.400390625,15.0,6,9.0,32.0,0,1,growing_nr,1024,4096,v6p1if1_0697,factor,source_aware
0,B,9738,0.3268570005893707,0.10644656419754028,0.10551013052463531,0.2155982106924057,99,9.509765625,6.0,1,1.0,28.0,0,10,2.37744140625,2.0,1,1.0,5.0,0,9738,0.3268570005893707,0.10644656419754028,0.10551013052463531,0.2155982106924057,10,2.37744140625,2.0,1,1.0,5.0,0,99,9.509765625,6.0,1,1.0,28.0,0,17874,2.1971442699432373,0.32681596279144287,0.2892467677593231,0.7609270811080933,49,17.455078125,16.0,5,9.0,32.0,0,0,49,17.455078125,16.0,5,9.0,32.0,0,1,growing_nr,1024,4096,v6p1if1_0907,factor,source_aware
0,B,10113,0.32834747433662415,0.10630177706480026,0.10813603550195694,0.2180158942937851,184,9.8759765625,6.0,1,1.0,28.0,0,9,2.468994140625,2.0,1,1.0,6.0,0,10113,0.32834747433662415,0.10630177706480026,0.10813603550195694,0.2180158942937851,9,2.468994140625,2.0,1,1.0,6.0,0,184,9.8759765625,6.0,1,1.0,28.0,0,17882,1.885116696357727,0.32492196559906006,0.290802925825119,0.7346553802490234,52,17.462890625,16.0,6,9.0,33.0,0,0,52,17.462890625,16.0,6,9.0,33.0,0,1,growing_nr,1024,4096,v6p1if1_0203,factor,source_aware
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0308,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0511,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0041,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0846,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0572,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0347,factor,structured
0,C,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,340,59.625,43.0,6,10.0,161.75,0,11,3.7265625,4.0,1,1.0,7.0,0,15264,0.7893208265304565,0.2585398852825165,0.23002202808856964,0.5497474670410156,11,3.7265625,4.0,1,1.0,7.0,0,340,59.625,43.0,6,10.0,161.75,0,4080,2.403700828552246,0.5070596933364868,0.4306947886943817,1.1340136528015137,38,15.9375,15.0,5,9.0,27.25,0,0,38,15.9375,15.0,5,9.0,27.25,0,1,fixed_training_nr,256,4096,v6p1if1_0286,factor,structured
