comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0518,Q2,0.30127662022507934,28.579641708446353,14.772334705660487,-13.807307002785866,1.6218070662198945,3.7288036221901675,2.106996555970273,25.355110858971674,9.816843017901839,-15.538267841069835,1.6027237832547816,1.2266880655684786,-0.37603571768630295
V42_minus_V38,objective,V38,V42,sample_0531,Q3,0.6941838932469186,11.563594060563297,7.726437058928697,-3.8371570016345995,8.613855554624896,5.414780862477777,-3.1990746921471196,3.069099904038618,2.5366750099896924,-0.5324248940489258,-0.11936139810022106,-0.22501881353877162,-0.10565741543855056
V42_minus_V38,objective,V38,V42,sample_0534,Q3,0.5440257418572824,20.73188255847758,8.202557636978199,-12.52932492149938,6.319099029632956,6.326506973960019,0.007407944327062488,12.452501553785153,1.3180227017473316,-11.134478852037821,1.9602819750594775,0.5580279612708496,-1.402254013788628
V42_minus_V38,objective,V38,V42,sample_0545,Q2,0.1781799768004829,0.9277876454591825,1.1896218160766878,0.26183417061750536,0.819698085737816,0.8004289610769386,-0.01926912466087738,0.05270896661378715,0.27425250629774756,0.2215435396839604,0.055380593107579215,0.1149403487020015,0.05955975559442228
V42_minus_V38,objective,V38,V42,sample_0561,Q1,0.15197174668891367,3.1443903202536214,1.3235236696573853,-1.820866650596236,1.8675783485706843,1.3349921918788912,-0.5325861566917931,0.8841729710826913,0.0008431280727073092,-0.8833298430099841,0.3926390006002461,-0.01231165029421305,-0.40495065089445914
V42_minus_V38,objective,V38,V42,sample_0562,Q3,0.5364410717359955,6.7574151852391156,7.545631419242948,0.7882162340038326,5.2250840522232735,7.530691697857121,2.305607645633847,1.7674794751542742,0.2051764760874404,-1.5623029990668338,-0.2351483421384344,-0.190236754701614,0.044911587436820416
V42_minus_V38,objective,V38,V42,sample_0587,Q4,0.9443167116507968,20.88029040998041,16.240660153809323,-4.639630256171088,20.854890941774592,15.745417155325285,-5.109473786449307,0.0013954343012200548,0.32899709751034706,0.327601663209127,0.02400403390459893,0.16624590097369218,0.14224186706909325
V42_minus_V38,objective,V38,V42,sample_0588,Q2,0.31733188376254684,4.214321107288205,2.1695977915504043,-2.0447233157378006,1.2739900929024988,1.5117607098131027,0.23777061691060397,2.593464943938571,0.5621295027045575,-2.031335441234013,0.3468660704471346,0.09570757903274424,-0.25115849141439034
V42_minus_V38,objective,V38,V42,sample_0594,Q3,0.35887469769471425,2.918106058388411,1.4743421903271405,-1.4437638680612703,0.8096327095638325,0.9336890667399086,0.1240563571760761,1.9426990013097385,0.46333166952851335,-1.479367331781225,0.16577434751483994,0.07732145405871896,-0.08845289345612098
V42_minus_V38,objective,V38,V42,sample_0599,Q3,0.5728209870138453,13.717067697422904,8.895227406801313,-4.821840290621591,5.887029041418521,5.624244960739782,-0.26278408067873915,7.927815859165129,3.732006029232288,-4.195809829932841,-0.09777720316074627,-0.46102358317075726,-0.36324638001001097
