physical_field,train_quartile,field,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K
harmonic_kz_W_mK,Q2,e231_oracle_scale,40,18.99100910082188,15.128952496891312,0.13222216212935448
harmonic_kz_W_mK,Q2,e543_oracle_scale,40,17.6325636210744,14.087975171290951,0.12423242054254398
harmonic_kz_W_mK,Q2,v39_e24_oracle_scale,40,17.63245142979549,14.087579598561101,0.12423288769261254
harmonic_kz_W_mK,Q2,ridge_physics_24,40,40.31580072773521,44.877910143817374,0.28960584880353313
harmonic_kz_W_mK,Q2,ridge_pooled_latent_96,40,23.136352291886713,19.805163129038068,0.16803168297053667
harmonic_kz_W_mK,Q2,ridge_combined_120,40,23.050631554451435,20.160519950511098,0.16717872489580612
harmonic_kz_W_mK,Q3,e543,33,17.843995724515917,19.567915746373433,0.10470040225300305
harmonic_kz_W_mK,Q3,e231_oracle_scale,33,13.892510705896438,14.96654033227354,0.08054334858211856
harmonic_kz_W_mK,Q3,e543_oracle_scale,33,13.908348934652725,14.277700144594082,0.08136528056841313
harmonic_kz_W_mK,Q3,v39_e24_oracle_scale,33,13.908021814932217,14.27779493828091,0.08136303279558513
harmonic_kz_W_mK,Q3,ridge_physics_24,33,23.784061298004374,38.54317181581524,0.13995557188106592
harmonic_kz_W_mK,Q3,ridge_pooled_latent_96,33,19.59222097877581,20.753559066616646,0.1163381883713227
harmonic_kz_W_mK,Q3,ridge_combined_120,33,19.22198238943296,20.66554003619911,0.11429058344680391
harmonic_kz_W_mK,Q4,e543,24,17.67746921908071,15.968703279923012,0.09005324821748502
harmonic_kz_W_mK,Q4,e231_oracle_scale,24,12.919183191908528,12.940424935148856,0.0684952274062446
harmonic_kz_W_mK,Q4,e543_oracle_scale,24,12.632375721207096,11.550497492611496,0.06629579085244833
harmonic_kz_W_mK,Q4,v39_e24_oracle_scale,24,12.632055216586584,11.550367494081097,0.06629070555745387
harmonic_kz_W_mK,Q4,ridge_physics_24,24,20.79961985435769,27.526062134014957,0.10886141662713189
harmonic_kz_W_mK,Q4,ridge_pooled_latent_96,24,21.082629309314875,18.40534006981449,0.10703703229932111
harmonic_kz_W_mK,Q4,ridge_combined_120,24,20.46850163649013,18.523615479824,0.10381117255761202
anisotropy_xy_over_z,Q1,e543,54,21.828194503460182,18.9074217885103,0.15237460489619556
anisotropy_xy_over_z,Q1,e231_oracle_scale,54,17.44312492398519,14.441729620093213,0.11581601808307383
anisotropy_xy_over_z,Q1,e543_oracle_scale,54,16.838786861872595,13.37531288068445,0.1134344471684254
anisotropy_xy_over_z,Q1,v39_e24_oracle_scale,54,16.838465966446766,13.375420422922296,0.11343325628118522
anisotropy_xy_over_z,Q1,ridge_physics_24,54,37.23258077786548,40.4987230787319,0.2578731052944267
anisotropy_xy_over_z,Q1,ridge_pooled_latent_96,54,23.403496946383225,20.277651971127604,0.16324185056044335
anisotropy_xy_over_z,Q1,ridge_combined_120,54,23.21243886606899,20.460642077733727,0.16168989038941298
anisotropy_xy_over_z,Q2,e543,7,26.160560005841383,21.245822184201362,0.2515604883410076
anisotropy_xy_over_z,Q2,e231_oracle_scale,7,18.717509741894727,14.285101530903473,0.17669009103876318
anisotropy_xy_over_z,Q2,e543_oracle_scale,7,18.941958634805086,14.381208160747772,0.1802671749157817
anisotropy_xy_over_z,Q2,v39_e24_oracle_scale,7,18.941533681988385,14.379918830417123,0.18026474510211596
anisotropy_xy_over_z,Q2,ridge_physics_24,7,47.235539361250716,40.629884428817995,0.452161899645193
anisotropy_xy_over_z,Q2,ridge_pooled_latent_96,7,24.185171623798517,21.31632162572803,0.23236552496084634
anisotropy_xy_over_z,Q2,ridge_combined_120,7,23.325097004492623,22.01027128316881,0.22472663244883828
anisotropy_xy_over_z,Q3,e543,25,25.3446272501069,18.46671841587885,0.16960287624059747
anisotropy_xy_over_z,Q3,e231_oracle_scale,25,13.479352536498013,14.17384343986529,0.09085332199342397
anisotropy_xy_over_z,Q3,e543_oracle_scale,25,13.909870867291394,13.317838632731545,0.09376690142983544
anisotropy_xy_over_z,Q3,v39_e24_oracle_scale,25,13.909381882699048,13.316952778440594,0.09376423129266807
anisotropy_xy_over_z,Q3,ridge_physics_24,25,39.5473273732249,36.0047696026908,0.26963420883506845
anisotropy_xy_over_z,Q3,ridge_pooled_latent_96,25,29.96736426189674,19.940903434228947,0.2009694852594612
anisotropy_xy_over_z,Q3,ridge_combined_120,25,29.9059412710551,19.80869964728945,0.2006202901356053
anisotropy_xy_over_z,Q4,e543,42,20.933685113170057,21.931841236780127,0.15394393745651822
anisotropy_xy_over_z,Q4,e231_oracle_scale,42,16.429818076730264,15.848850080989202,0.12013342089274694
anisotropy_xy_over_z,Q4,e543_oracle_scale,42,16.33485320119091,15.098631982547161,0.1193416866137047
anisotropy_xy_over_z,Q4,v39_e24_oracle_scale,42,16.334555808821403,15.099071374763692,0.1193381447257307
anisotropy_xy_over_z,Q4,ridge_physics_24,42,49.16464209172998,41.28249085969416,0.3660093412911932
anisotropy_xy_over_z,Q4,ridge_pooled_latent_96,42,22.082267409351118,22.71172187167083,0.16325863325761236
anisotropy_xy_over_z,Q4,ridge_combined_120,42,21.04605929055657,22.84185674182057,0.1555476339762934
