sweep,route,mode,stage,median_s,p95_s,share_of_elapsed_median,measurement_count,execution_commit
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,h2d_enqueue,0.009268876630812883,0.010361300664953887,0.034426127261054935,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,h2d_sync,0.0014630609657615423,0.0016996491933241485,0.005434048267569999,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,neural_forward,0.004986595595255494,0.0056217204779386515,0.01852103349730594,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,query_group_pack,0.027710612630471587,0.029641817882657052,0.10292175793203408,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,reconstruction_apply,0.0013036711607128382,0.0013717141700908542,0.004842048402723357,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,graph_only_reuse,reconstruction_map,0.19981881882995367,0.20595955620519818,0.7421598495901414,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,anchor_dynamic_pack,0.01302533969283104,0.016756713553331793,0.20168873707290094,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,dynamic_anchor_assembly,0.00017548701725900173,0.0003172130323946475,0.002717299949047674,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,dynamic_query_assembly,0.007072855951264501,0.007617572252638638,0.10951847843893256,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,h2d_enqueue,0.008676936384290457,0.009338294621556997,0.13435659892790688,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,h2d_sync,0.001525685889646411,0.0017409239895641803,0.023624233034175005,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,neural_forward,0.00500863092020154,0.00528704326134175,0.07755532435869764,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,query_dynamic_pack,0.02393744047731161,0.026782353105954827,0.3706553727181435,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,reconstruction_apply,0.001319589326158166,0.001368499593809247,0.020432964584732018,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_plus_Q_scale,E16384_reconstruction,full_static_reuse,reconstruction_map_cache_lookup,0.0,0.0,0.0,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,anchor_graph,0.019304682034999132,0.020218855491839348,0.03581404727319863,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,anchor_group_pack,0.01667190995067358,0.018625596491619944,0.030929728343902303,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,dynamic_anchor_assembly,0.00016933935694396496,0.00020444928668439388,0.0003141583851942729,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
K_only,U_v2_16384_reconstruction,fresh_new_case,dynamic_query_assembly,0.00705266953445971,0.007658395660109818,0.013084112944800398,48,ebc7179f3187b639aafe2c106626e3b591d6bcc3
