sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_04,silicon_die_upper,4.000000000000001e-06,0.225,56249.99999999999,5.639648437500002e-10,398961038.9610388,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_05,silicon_die_upper,3.999999999999999e-06,0.225,56250.000000000015,5.639648437500002e-10,398961038.9610388,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_06,silicon_die_upper,3.999999999999995e-06,0.225,56250.00000000007,5.639648437500001e-10,398961038.9610389,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_07,silicon_die_upper,4.000000000000003e-06,0.225,56249.999999999956,5.6396484375e-10,398961038.961039,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_00,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.3945312499999905e-10,512000000.00000113,480,8,20,3,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_01,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.3945312499999895e-10,512000000.00000125,480,8,20,3,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_02,silicon_die_lower,3.999999999999997e-06,0.225,56250.00000000004,4.3945312499999895e-10,512000000.00000125,480,8,20,3,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_03,silicon_die_lower,4.000000000000002e-06,0.225,56249.99999999997,4.394531249999988e-10,512000000.00000143,480,8,20,3,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_04,silicon_die_upper,4e-06,0.225,56250.00000000001,5.371093750000001e-10,418909090.9090908,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l05,src_05,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
