sample_id,path,topology,package_total_power_W,interface_index,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,1,tim_between_dies,silicon_die_upper,0.0,-0.07543218846592481
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,2,silicon_die_upper,tim_to_spreader,0.0,-0.31347359550670717
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,3,tim_to_spreader,spreader,0.0,-0.0682338135820828
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,0,silicon_die_lower,tim_between_dies,0.0,-0.039132598404250984
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,1,tim_between_dies,silicon_die_upper,0.0,-0.009743138841997734
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,2,silicon_die_upper,tim_to_spreader,0.0,-0.07816375050401803
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,3,tim_to_spreader,spreader,0.0,-0.017014048928899683
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,0,silicon_die_lower,tim_between_dies,0.0,-0.15653039361268384
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,1,tim_between_dies,silicon_die_upper,0.0,-0.038972555366967754
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,2,silicon_die_upper,tim_to_spreader,0.0,-0.3126550020077161
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,3,tim_to_spreader,spreader,0.0,-0.06805619571389343
