sample_id,source_id,topology,power_provenance,active_layer,declared_source_area_m2,source_area_fraction,source_power_W,surface_power_density_W_m2,geometric_source_volume_m3,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,physical_layer_z_interval_count,active_layer_power_W,package_total_power_W
p1b_dm_p0p5,src_04,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.062500000000000014,7812.5000000000036,1.1999999999999996e-09,1.0910034179687496e-09,57286713.286713317,1300,13,25,4,12,24,4,0.25,0.5
p1b_dm_p0p5,src_05,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.062499999999999986,7812.5000000000036,1.1999999999999992e-09,1.0910034179687496e-09,57286713.286713295,1300,13,25,4,12,24,4,0.25,0.5
p1b_dm_p0p5,src_06,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.062499999999999986,7812.5000000000036,1.1999999999999992e-09,1.0910034179687496e-09,57286713.286713295,1300,13,25,4,12,24,4,0.25,0.5
p1b_dm_p0p5,src_07,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.062500000000000014,7812.5000000000036,1.1999999999999996e-09,1.0910034179687494e-09,57286713.286713332,1300,13,25,4,12,24,4,0.25,0.5
p1b_dm_p1,src_00,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,8.9263916015625019e-10,140034188.03418803,975,13,25,3,12,24,4,0.5,1
p1b_dm_p1,src_01,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,8.9263916015624998e-10,140034188.034188,975,13,25,3,12,24,4,0.5,1
p1b_dm_p1,src_02,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,8.9263916015624998e-10,140034188.034188,975,13,25,3,12,24,4,0.5,1
p1b_dm_p1,src_03,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,8.9263916015624978e-10,140034188.03418809,975,13,25,3,12,24,4,0.5,1
p1b_dm_p1,src_04,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999979e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,1.0910034179687496e-09,114573426.57342663,1300,13,25,4,12,24,4,0.5,1
p1b_dm_p1,src_05,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_upper,7.9999999999999946e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,1.0910034179687496e-09,114573426.57342659,1300,13,25,4,12,24,4,0.5,1
