sample_id,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,0,pcb_fr4_equivalent,360.25714878616526,360.5674357695842,0.3102869834189619,0.3102869834189619,360.4089294079343,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,1,bt_substrate_with_vias,360.5674357695842,360.6791613304751,0.11172556089087493,0.11172556089087493,360.6244020377642,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,2,silicon_interposer_tsv_0p1,360.6791613304751,360.6789408125585,-0.00022051791660260278,0.00022051791660260278,360.6878703556943,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,3,bump_underfill_under_interposer,360.6789408125585,360.67789153214807,-0.0010492804104274,0.0010492804104274,360.6883810582497,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,4,silicon_die_lower,360.67789153214807,360.60143773701617,-0.0764537951318971,0.0764537951318971,360.6872242291989,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,5,tim_between_dies,360.60143773701617,360.4386258154138,-0.16281192160238334,0.16281192160238334,360.55584135952364,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,6,silicon_die_upper,360.4386258154138,360.27545501846845,-0.16317079694533732,0.16317079694533732,360.43725496271907,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,7,tim_to_spreader,360.27545501846845,359.9520516137366,-0.3234034047318346,0.3234034047318346,360.16999115690436,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,8,spreader,359.9520516137366,359.877671235008,-0.07438037872861969,0.07438037872861969,359.91713923475834,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,0,pcb_fr4_equivalent,360.25738384471754,360.5679733874195,0.3105895427019618,0.3105895427019618,360.4089294079301,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,1,bt_substrate_with_vias,360.5679733874195,360.67977799019985,0.11180460278035298,0.11180460278035298,360.6244020377622,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,2,silicon_interposer_tsv_0p1,360.67977799019985,360.67950936101806,-0.0002686291817894926,0.0002686291817894926,360.68787035569284,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,3,bump_underfill_under_interposer,360.67950936101806,360.67824149768643,-0.0012678633316340893,0.0012678633316340893,360.6883810582486,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,4,silicon_die_lower,360.67824149768643,360.60171616609784,-0.07652533158858432,0.07652533158858432,360.6872242291978,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,5,tim_between_dies,360.60171616609784,360.438773442705,-0.16294272339285953,0.16294272339285953,360.55584135952205,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,6,silicon_die_upper,360.438773442705,360.2756115039232,-0.16316193878179774,0.16316193878179774,360.43725496271736,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,7,tim_to_spreader,360.2756115039232,359.95223997851383,-0.32337152540935676,0.32337152540935676,360.16999115690277,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,8,spreader,359.95223997851383,359.8778608263411,-0.07437915217275304,0.07437915217275304,359.917139234757,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,0,pcb_fr4_equivalent,372.30926892737267,372.68290941558405,0.37364048821137885,0.37364048821137885,372.49071528786095,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,1,bt_substrate_with_vias,372.68290941558405,372.8180274611331,0.13511804554906348,0.13511804554906348,372.74928244364884,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,2,silicon_interposer_tsv_0p1,372.8180274611331,372.81772484109666,-0.0003026200364502074,0.0003026200364502074,372.82544442516195,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,3,bump_underfill_under_interposer,372.81772484109666,372.81629206035495,-0.0014327807417089389,0.0014327807417089389,372.8260572682284,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,4,silicon_die_lower,372.81629206035495,372.72430002674406,-0.09199203361089303,0.09199203361089303,372.8246690733672,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,5,tim_between_dies,372.72430002674406,372.52842058308016,-0.1958794436638982,0.1958794436638982,372.6670096297566,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,6,silicon_die_upper,372.52842058308016,372.33219143514356,-0.19622914793660584,0.19622914793660584,372.5247059535912,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,7,tim_to_spreader,372.33219143514356,371.943273174157,-0.3889182609865429,0.3889182609865429,372.20398938661333,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,8,spreader,371.943273174157,371.8539084361994,-0.08936473795762367,0.08936473795762367,371.9005670800382,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,0,pcb_fr4_equivalent,372.30970742872546,372.68430054875466,0.3745931200292034,0.3745931200292034,372.49071528785737,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,1,bt_substrate_with_vias,372.68430054875466,372.8205785954498,0.1362780466951108,0.1362780466951108,372.7492824436475,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,2,silicon_interposer_tsv_0p1,372.8205785954498,372.82040778795016,-0.00017080749961451147,0.00017080749961451147,372.82544442516183,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,3,bump_underfill_under_interposer,372.82040778795016,372.81957226378415,-0.0008355241660069623,0.0008355241660069623,372.8260572682282,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,4,silicon_die_lower,372.81957226378415,372.7272843521565,-0.09228791162763628,0.09228791162763628,372.82466907336703,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,5,tim_between_dies,372.7272843521565,372.5307268346249,-0.1965575175316303,0.1965575175316303,372.6670096297565,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,6,silicon_die_upper,372.5307268346249,372.33390902412225,-0.1968178105026368,0.1968178105026368,372.52470595359097,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,7,tim_to_spreader,372.33390902412225,371.94383125259714,-0.3900777715251138,0.3900777715251138,372.20398938661305,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,8,spreader,371.94383125259714,371.8543374297119,-0.08949382288523111,0.08949382288523111,371.90056708003806,f00_near_adiabatic,q4_67p5_80
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,0,pcb_fr4_equivalent,330.83120617030784,334.0384724567395,3.2072662864316612,3.2072662864316612,332.3668491767011,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,1,bt_substrate_with_vias,334.0384724567395,335.21653187481746,1.1780594180779644,1.1780594180779644,334.57182374897957,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,2,silicon_interposer_tsv_0p1,335.21653187481746,335.2182058632982,0.0016739884807179806,0.0016739884807179806,335.221307756714,f01_low_low,q1_30_42p5
p1d64b_f01_low_low_q1_30_42p5_a32_l0,1.8,3,bump_underfill_under_interposer,335.2182058632982,335.2253463105463,0.00714044724810492,0.00714044724810492,335.22653387823675,f01_low_low,q1_30_42p5
