sample_id,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K,family_id,selection_bin
p1d_f03_low,4.0,4,silicon_die_lower,338.7251003729869,338.6357686928056,-0.0893316801813171,0.0893316801813171,338.7386296726605,f03_1000_100,low
p1d_f03_low,4.0,5,tim_between_dies,338.6357686928056,338.4426502767635,-0.19311841604206847,0.19311841604206847,338.58314598621746,f03_1000_100,low
p1d_f03_low,4.0,6,silicon_die_upper,338.4426502767635,338.23769612822593,-0.2049541485375812,0.2049541485375812,338.4419324448266,f03_1000_100,low
p1d_f03_low,4.0,7,tim_to_spreader,338.23769612822593,337.83037661752985,-0.40731951069608385,0.40731951069608385,338.10524939740867,f03_1000_100,low
p1d_f03_low,4.0,8,spreader,337.83037661752985,337.73665579197456,-0.0937208255552946,0.0937208255552946,337.7865293894227,f03_1000_100,low
p1d_f03_high,7.0,0,pcb_fr4_equivalent,339.56422067747627,360.14913346643146,20.584912788955194,20.584912788955194,349.41404401548,f03_1000_100,high
p1d_f03_high,7.0,1,bt_substrate_with_vias,360.14913346643146,367.714433440121,7.565299973689548,7.565299973689548,363.56211196393946,f03_1000_100,high
p1d_f03_high,7.0,2,silicon_interposer_tsv_0p1,367.714433440121,367.7257910670219,0.011357626900860396,0.011357626900860396,367.7294815057131,f03_1000_100,high
p1d_f03_high,7.0,3,bump_underfill_under_interposer,367.7257910670219,367.7744108497722,0.04861978275033607,0.04861978275033607,367.76301455563294,f03_1000_100,high
p1d_f03_high,7.0,4,silicon_die_lower,367.7744108497722,367.61759910413076,-0.1568117456414484,0.1568117456414484,367.7926019241799,f03_1000_100,high
p1d_f03_high,7.0,5,tim_between_dies,367.61759910413076,367.2786594641307,-0.33893964000003507,0.33893964000003507,367.5205054729017,f03_1000_100,high
p1d_f03_high,7.0,6,silicon_die_upper,367.2786594641307,366.91916467873267,-0.3594947853980557,0.3594947853980557,367.2733817754655,f03_1000_100,high
p1d_f03_high,7.0,7,tim_to_spreader,366.91916467873267,366.20473311121737,-0.7144315675153052,0.7144315675153052,366.6841864424822,f03_1000_100,high
p1d_f03_high,7.0,8,spreader,366.20473311121737,366.0405102423084,-0.16422286890895066,0.16422286890895066,366.1264264285059,f03_1000_100,high
p1d_f04_low,6.0,0,pcb_fr4_equivalent,316.2098844865835,333.0759436283497,16.866059141766186,16.866059141766186,324.28214655340776,f04_1500_200,low
p1d_f04_low,6.0,1,bt_substrate_with_vias,333.0759436283497,339.2735229403155,6.1975793119657965,6.1975793119657965,335.876331660309,f04_1500_200,low
p1d_f04_low,6.0,2,silicon_interposer_tsv_0p1,339.2735229403155,339.28285503029116,0.00933208997565771,0.00933208997565771,339.29144487945683,f04_1500_200,low
p1d_f04_low,6.0,3,bump_underfill_under_interposer,339.28285503029116,339.3228118162289,0.0399567859377612,0.0399567859377612,339.318924842755,f04_1500_200,low
p1d_f04_low,6.0,4,silicon_die_lower,339.3228118162289,339.18795331211334,-0.1348585041155843,0.1348585041155843,339.3430249319078,f04_1500_200,low
p1d_f04_low,6.0,5,tim_between_dies,339.18795331211334,338.8966390894237,-0.2913142226896639,0.2913142226896639,339.10845389913777,f04_1500_200,low
p1d_f04_low,6.0,6,silicon_die_upper,338.8966390894237,338.5883471707984,-0.3082919186252866,0.3082919186252866,338.8954788273872,f04_1500_200,low
p1d_f04_low,6.0,7,tim_to_spreader,338.5883471707984,337.9757372895053,-0.6126098812931104,0.6126098812931104,338.38911044614434,f04_1500_200,low
p1d_f04_low,6.0,8,spreader,337.9757372895053,337.83478589126975,-0.14095139823552927,0.14095139823552927,337.90977221858304,f04_1500_200,low
p1d_f04_high,10.0,0,pcb_fr4_equivalent,327.01767483082733,355.13198411965766,28.114309288830327,28.114309288830327,340.4702442545633,f04_1500_200,high
p1d_f04_high,10.0,1,bt_substrate_with_vias,355.13198411965766,365.46429238297145,10.332308263313791,10.332308263313791,359.793886098867,f04_1500_200,high
p1d_f04_high,10.0,2,silicon_interposer_tsv_0p1,365.46429238297145,365.47974029375484,0.015447910783393581,0.015447910783393581,365.4857414639569,f04_1500_200,high
