sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_g000_t1_b1_p0,p1g_g000,train,spreader,193,71825,0.42952202552891094,-0.6473162503110075
p1g_g000_t1_b1_p1,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.4697840939587081,-2.905137910249209
p1g_g000_t1_b1_p1,p1g_g000,train,bt_substrate_with_vias,146,33800,0.10187639734073173,0.1211965784906397
p1g_g000_t1_b1_p1,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.15603063508677906,0.0822304634503439
p1g_g000_t1_b1_p1,p1g_g000,train,bump_underfill_under_interposer,24,16900,-0.09857317593400694,0.007347093098132973
p1g_g000_t1_b1_p1,p1g_g000,train,silicon_die_lower,160,16900,-0.0814868844315697,0.14792078900273964
p1g_g000_t1_b1_p1,p1g_g000,train,tim_between_dies,25,16900,0.14236267924036383,0.2654251004339585
p1g_g000_t1_b1_p1,p1g_g000,train,silicon_die_upper,159,16900,0.3167284277296858,0.24999622376492425
p1g_g000_t1_b1_p1,p1g_g000,train,tim_to_spreader,18,16900,0.7755743285896415,0.5872937400764044
p1g_g000_t1_b1_p1,p1g_g000,train,spreader,193,71825,0.6442830382949865,-0.9709743754706892
p1g_g001_t0_b0_p0,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.07735497057143448,-0.8983608911111673
p1g_g001_t0_b0_p0,p1g_g001,train,bt_substrate_with_vias,131,33800,0.04433997938548373,0.08824511018173098
p1g_g001_t0_b0_p0,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.052354879376537156,-0.00033983519267621887
p1g_g001_t0_b0_p0,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.06176790760679296,-0.01741641008817396
p1g_g001_t0_b0_p0,p1g_g001,train,silicon_die_lower,156,16900,-0.09039886395447638,0.044646942215251784
p1g_g001_t0_b0_p0,p1g_g001,train,tim_between_dies,22,16900,0.03248721006741562,0.17838079730194067
p1g_g001_t0_b0_p0,p1g_g001,train,silicon_die_upper,158,16900,0.1337879055018334,0.1355746253410075
p1g_g001_t0_b0_p0,p1g_g001,train,tim_to_spreader,22,16900,0.42858587044867136,0.39327796026725537
p1g_g001_t0_b0_p0,p1g_g001,train,spreader,195,71825,0.37920323767781383,-0.5579927522476282
p1g_g001_t0_b0_p1,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.11603245585314426,-1.347541336619372
p1g_g001_t0_b0_p1,p1g_g001,train,bt_substrate_with_vias,131,33800,0.06650996907825402,0.13236766526807742
p1g_g001_t0_b0_p1,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.0785323190614804,-0.0005097527904922572
p1g_g001_t0_b0_p1,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.09265186140783044,-0.026124615132289364
p1g_g001_t0_b0_p1,p1g_g001,train,silicon_die_lower,156,16900,-0.135598295929924,0.06697041332171239
p1g_g001_t0_b0_p1,p1g_g001,train,tim_between_dies,22,16900,0.048730815102771885,0.2675711959536784
p1g_g001_t0_b0_p1,p1g_g001,train,silicon_die_upper,158,16900,0.2006818582545975,0.20336193801114177
p1g_g001_t0_b0_p1,p1g_g001,train,tim_to_spreader,22,16900,0.6428788056748544,0.5899169404014515
p1g_g001_t0_b0_p1,p1g_g001,train,spreader,195,71825,0.5688048565178292,-0.836989128374114
p1g_g001_t0_b1_p0,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.2535399549499857,-3.1760694005795926
p1g_g001_t0_b1_p0,p1g_g001,train,bt_substrate_with_vias,131,33800,0.024010365785784415,0.22860946345554112
p1g_g001_t0_b1_p0,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.2610660131713871,0.08216666409595064
p1g_g001_t0_b1_p0,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.20446634712567402,0.005392977456551762
p1g_g001_t0_b1_p0,p1g_g001,train,silicon_die_lower,156,16900,-0.19433391747179485,0.09657875441826036
p1g_g001_t0_b1_p0,p1g_g001,train,tim_between_dies,22,16900,-0.04831747823993737,0.1735472083988725
p1g_g001_t0_b1_p0,p1g_g001,train,silicon_die_upper,158,16900,0.06440866297640468,0.16310841152852618
p1g_g001_t0_b1_p0,p1g_g001,train,tim_to_spreader,22,16900,0.3676954679490336,0.3849898020466185
p1g_g001_t0_b1_p0,p1g_g001,train,spreader,195,71825,0.35616145374240205,-0.4955509769324635
p1g_g001_t0_b1_p1,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.3803099324125583,-4.7641041007067315
p1g_g001_t0_b1_p1,p1g_g001,train,bt_substrate_with_vias,131,33800,0.03601554867992718,0.34291419517160193
p1g_g001_t0_b1_p1,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.391599019743353,0.12324999613832688
p1g_g001_t0_b1_p1,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.3066995206789329,0.008089466184060257
p1g_g001_t0_b1_p1,p1g_g001,train,silicon_die_lower,156,16900,-0.2915008762002458,0.1448681316238094
p1g_g001_t0_b1_p1,p1g_g001,train,tim_between_dies,22,16900,-0.07247621735376697,0.2603208125993888
p1g_g001_t0_b1_p1,p1g_g001,train,silicon_die_upper,158,16900,0.09661299447026295,0.24466261729065764
p1g_g001_t0_b1_p1,p1g_g001,train,tim_to_spreader,22,16900,0.5515432019285527,0.577484703070354
p1g_g001_t0_b1_p1,p1g_g001,train,spreader,195,71825,0.5342421806154789,-0.7433264654043228
p1g_g001_t1_b0_p0,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.05833132325864199,-0.6507373576301916
p1g_g001_t1_b0_p0,p1g_g001,train,bt_substrate_with_vias,131,33800,0.04655961955188559,0.0729936706790113
p1g_g001_t1_b0_p0,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.02963848260310442,-0.009322517120494922
p1g_g001_t1_b0_p0,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.04623915992209504,-0.019902651362656343
p1g_g001_t1_b0_p0,p1g_g001,train,silicon_die_lower,156,16900,-0.07909198154914066,0.03899085318954576
p1g_g001_t1_b0_p0,p1g_g001,train,tim_between_dies,22,16900,0.04127424065922014,0.1789040554730832
p1g_g001_t1_b0_p0,p1g_g001,train,silicon_die_upper,158,16900,0.1413298315155771,0.13257623516142303
p1g_g001_t1_b0_p0,p1g_g001,train,tim_to_spreader,22,16900,0.435203376633126,0.3941772800521903
p1g_g001_t1_b0_p0,p1g_g001,train,spreader,195,71825,0.3817010025700256,-0.5647971709332182
p1g_g001_t1_b0_p1,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.08749698488185231,-0.9761060364047012
p1g_g001_t1_b0_p1,p1g_g001,train,bt_substrate_with_vias,131,33800,0.06983942932657783,0.10949050601601584
p1g_g001_t1_b0_p1,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.044457723899881785,-0.013983775682788746
p1g_g001_t1_b0_p1,p1g_g001,train,bump_underfill_under_interposer,38,16900,-0.06935873988032881,-0.029853977045377178
p1g_g001_t1_b0_p1,p1g_g001,train,silicon_die_lower,156,16900,-0.11863797232263096,0.05848627978298282
p1g_g001_t1_b0_p1,p1g_g001,train,tim_between_dies,22,16900,0.06191136098931338,0.2683560832097669
p1g_g001_t1_b0_p1,p1g_g001,train,silicon_die_upper,158,16900,0.21199474727393408,0.19886435274241876
p1g_g001_t1_b0_p1,p1g_g001,train,tim_to_spreader,22,16900,0.6528050649512807,0.5912659200793655
p1g_g001_t1_b0_p1,p1g_g001,train,spreader,195,71825,0.5725515038563458,-0.8471957564024706
p1g_g001_t1_b1_p0,p1g_g001,train,pcb_fr4_equivalent,269,33800,0.1887263603468341,-2.332357438915949
p1g_g001_t1_b1_p0,p1g_g001,train,bt_substrate_with_vias,131,33800,0.03159162725296483,0.17668527931175504
p1g_g001_t1_b1_p0,p1g_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.1836224953525516,0.0515590284929317
