sample_id,family_id,selection_bin,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,layout_seed,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_cv_mean_minus_projected_unweighted_mean_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1d64b_f02_750_50_q1_30_42p5_a48_l0,f02_750_50,q1_30_42p5,750.0,50.0,2.8,48.0,0,36.92360247231403,33.49591269120596,13.187000882969297,2.666365499467797,0.13363450101431046,0.9522733926670705,0.04772660750511088,-1.7218137629956435e-10,6.781333837301455e-11,336.45787865374393,335.5503984521936,326.7259074113331,13.67324872041019,272.8178604852933,0.34034351319482953,72.82528964109865,13.33290520721536,199.99257084419463,13.02067094776569,13.020670945523776,-1.7218122683578072e-10,True,0.008033194402628396,-0.6889326776593663,720,7,True,True
p1d64b_f02_750_50_q1_30_42p5_a64_l1,f02_750_50,q1_30_42p5,750.0,50.0,2.8,64.0,1,36.73412527458311,33.49591269120167,13.119330455208253,2.666365499467804,0.13363450101427057,0.9522733926670729,0.047726607505096635,-1.7216951079098867e-10,6.885350778413074e-11,336.35428658452133,335.5507316022634,326.72620385779754,13.634397306662386,272.0426709315069,0.3013671540598324,72.0478817494565,13.333030152602554,199.9947891820504,12.98367378018619,12.983673777950798,-1.7216947633945948e-10,True,0.0110958627831792,-0.7851645139476631,984,7,True,True
p1d64b_f02_750_50_q2_42p5_55_a16_l0,f02_750_50,q2_42p5_55,750.0,50.0,3.7,16.0,0,49.8552801419541,44.26245605461556,13.474400038365971,3.5234115527373486,0.176588447762479,0.9522733926317158,0.0477266075033727,-1.3508850194621824e-10,6.873364561027306e-11,349.01655254239023,346.9765908831553,335.31575947133877,13.911673901480265,277.57508015654645,0.5789734263799109,77.5860099833924,13.332700475100355,199.98907017315406,13.24771690334871,13.247716901559098,-1.3508833463096448e-10,True,0.018968959578785416,-1.1677195953983102,240,7,True,True
p1d64b_f02_750_50_q2_42p5_55_a32_l1,f02_750_50,q2_42p5_55,750.0,50.0,3.7,32.0,1,48.96932590664335,44.262456054605096,13.234952947741444,3.5234115527373535,0.1765884477623414,0.9522733926317172,0.04772660750333551,-1.3505262974011176e-10,6.962181790978638e-11,348.42675591518866,346.976824314309,335.31601166827403,13.744280277893086,274.23512992403107,0.4115135513344183,74.24463158858224,13.332766726558669,199.99049833544882,13.088312409510449,13.088312407742837,-1.3505269276698127e-10,True,0.005662875089967656,-0.9749807765732044,504,7,True,True
p1d64b_f02_750_50_q3_55_67p5_a48_l0,f02_750_50,q3_55_67p5,750.0,50.0,4.6,48.0,0,60.66020405818489,55.02899941802783,13.187000882214107,4.380457606006878,0.21954239451066446,0.952273392610191,0.047726607502318365,-1.1250936776433085e-10,6.875823624659789e-11,359.89508635623366,358.40422602511524,343.90684788747785,13.673248720430514,272.8178604853661,0.3403435132151546,72.82528964117301,13.33290520721536,199.9925708441931,13.02067094700732,13.02067094554237,-1.1250949024959545e-10,True,0.09060210916828737,-1.1884383120374125,720,7,True,True
p1d64b_f02_750_50_q3_55_67p5_a64_l1,f02_750_50,q3_55_67p5,750.0,50.0,4.6,64.0,1,60.34892009046774,55.0289994180254,13.11933045444951,4.380457606006766,0.21954239451066573,0.9522733926101666,0.04772660750231864,-1.1248531695467783e-10,6.916678207938174e-11,359.72489938536756,358.40477334308554,343.90733490668345,13.634397306680683,272.0426709314498,0.30136715407810016,72.04788174939796,13.333030152602582,199.99478918205182,12.983673779427733,12.983673777967262,-1.1248517793765413e-10,True,0.002816853061517577,-1.2055790710718455,984,7,True,True
p1d64b_f02_750_50_q4_67p5_80_a16_l0,f02_750_50,q4_67p5_80,750.0,50.0,5.5,16.0,0,74.10920020838495,65.79554278143587,13.474400037888172,5.23750365927628,0.2624963412588262,0.9522733925956873,0.04772660750160476,-9.729204310880071e-11,6.926309194872849e-11,372.86244296577576,369.83006752637266,352.49639921220756,13.911673901502136,277.5750801567632,0.5789734264017892,77.58600998360926,13.332700475100346,199.98907017315398,13.24771690286832,13.24771690157942,-9.729220990478782e-11,True,0.05625382123344025,-1.6123487396816927,240,7,True,True
p1d64b_f02_750_50_q4_67p5_80_a32_l1,f02_750_50,q4_67p5_80,750.0,50.0,5.5,32.0,1,72.7922412099528,65.79554278143013,13.234952947264146,5.237503659276424,0.26249634125872867,0.9522733925957134,0.04772660750158703,-9.730047071085127e-11,6.972042907034866e-11,371.98571824966706,369.83041451863005,352.49677409956536,13.744280277908597,274.2351299240189,0.4115135513499135,74.2446315885694,13.332766726558683,199.9904983354495,13.088312409030374,13.088312407756877,-9.730031066801037e-11,True,0.013604520145179322,-1.3940137017049352,504,7,True,True
p1d64b_f03_1000_100_q1_30_42p5_a64_l0,f03_1000_100,q1_30_42p5,1000.0,100.0,3.7,64.0,0,36.43287452725758,31.553637907123814,9.846722845204752,3.490863286467764,0.20913671400630607,0.9434765639102064,0.05652343621792055,-1.2812693848838928e-10,6.756329623465422e-11,335.92757390586667,334.90779402901967,320.9129987092717,10.291887982304814,171.78989388148915,0.2921282769222574,71.79311039639964,9.999759705382557,99.99678348508952,9.710155109693693,9.71015510844956,-1.2812688309834334e-10,True,0.02890265729723751,-0.9537803209454339,984,7,True,True
p1d64b_f03_1000_100_q1_30_42p5_a16_l1,f03_1000_100,q1_30_42p5,1000.0,100.0,3.7,16.0,1,37.66759890648865,31.553637907121477,10.180432136888824,3.4908632864676794,0.2091367140062312,0.9434765639101835,0.056523436217900326,-1.280839023431712e-10,6.931146472285588e-11,336.9511343303921,334.9063536654739,320.9119710812444,10.58509924282428,176.68411070708106,0.585752146996076,76.69224088827276,9.999347095828202,99.99186981880831,9.986793062268136,9.986793060988989,-1.2808390507835867e-10,True,0.02082127665431699,-1.2779737848749875,264,7,True,True
