platform,mode,batch_size,resolution,sample_count,model_core_seconds,full_field_production_seconds,evaluation_seconds,model_core_seconds_per_sample,production_seconds_per_sample,evaluation_seconds_per_sample,production_samples_per_second,input_seconds,graph_load_or_build_seconds,batch_prepare_seconds,full_field_reconstruction_seconds,serialization_seconds,label_read_seconds,metrics_diagnostics_seconds,process_peak_ram_GB,device_peak_memory_GB,direct_single_cycle_measurements,cross_run_phase_addition
cpu,persistent,8,8192,128,30.04847191668038,33.356080722316015,35.864360555657186,0.23475368684906547,0.26059438064309387,0.28019031684107176,3.837381287855109,1.265409875001448,0.02414102799957618,1.0739005689974874,0.7310583613580093,0.05587336098930488,0.9495969166552337,1.5455169723330375,2.55172608,N/A,True,False
gpu,persistent,8,8192,128,10.81225399999918,16.043554132678157,17.882403726670116,0.0844707343749936,0.1253402666615481,0.13970627911461028,7.978282052808015,0.9440077959928507,0.07594170566881076,2.8859181170118973,1.0078938706525757,0.06351504066454557,0.9469088176750423,0.8560800723401675,3.352276992,1.685836032,True,False
cpu,cold,8,16384,128,65.0261874999851,73.7593469999847,76.25281541701406,0.5080170898436336,0.5762448984373805,0.5957251204454224,1.7353732808945088,1.1066558749880642,2.6814583750092424,3.5719664999633096,0.8821026670048013,0.066521916014608,0.9611847919877619,1.5097242500050925,2.746826752,N/A,True,False
gpu,cold,8,16384,128,31.804660056019202,49.09447059800732,51.02880466898205,0.24847390668765001,0.3835505515469322,0.39866253647642225,2.6072182557600563,1.0161880030063912,7.35807867400581,7.319642716000089,1.019569653988583,0.06544092300464399,0.9784356480231509,0.9124543969810475,3.735949312,3.121364224,True,False
cpu,cached,8,16384,128,63.52690175001044,70.77626766700996,73.25493358401582,0.49630391992195655,0.5529395911485153,0.5723041686251236,1.808515823442651,1.145153500023298,1.1096803330001421,3.7690186660038307,0.9345987089909613,0.07679416699102148,0.9706565419910476,1.491590291960165,3.252912128,N/A,True,False
gpu,cached,8,16384,128,31.47493768701679,43.30048744301894,45.15651014802279,0.24589795067981868,0.33828505814858545,0.35278523553142804,2.9560868146909653,1.0068949520064052,2.2547475680185016,7.114936759026023,1.0676415100169834,0.06544388897600584,0.9342377610155381,0.8851146170054562,3.554881536,3.118202624,True,False
cpu,persistent,8,16384,128,55.625504527318604,59.56769891665317,62.10305630567018,0.4345742541196766,0.4653726477863529,0.4851801273880483,2.148815588446634,1.2074681110292051,0.02662158365516613,1.5211491250277807,0.9457819170008103,0.06837745835461344,0.949664652987849,1.5745978886649634,3.178840064,N/A,True,False
gpu,persistent,8,16384,128,10.890656319990134,16.76763193801162,18.65049516534782,0.08508325249992292,0.13099712451571577,0.14570699347927984,7.633755349187299,0.9571989663236309,0.08243250466572742,3.46997281833319,1.045198666319872,0.06028832634910941,0.9350511416657051,0.9105551643200064,3.561713664,3.12813824,True,False
cpu,cold,8,32768,128,112.16122695902595,122.67487350001466,124.91587687499123,0.8762595856173903,0.9583974492188645,0.975905288085869,1.0434084531579706,1.213731083960738,3.1608149169478565,4.909021000028588,0.6960089999483898,0.04471454198937863,0.923240749980323,1.3074620420229621,4.248076288,N/A,True,False
gpu,cold,8,32768,128,32.66175504901912,50.97500923197367,52.97866791699198,0.2551699613204619,0.3982422596247943,0.41389584310149985,2.5110343662225962,1.105038373003481,7.283720086008543,8.266479953017551,1.04978902899893,0.05986259301425889,1.0732205449894536,0.8932779830065556,4.055908352,5.917542656,True,False
