sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1g_g114_t0_b1_p0,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.4488487984603816,150577.7261205585,15.057772612055851,4.061889648437501e-10,1105024600.1464899,484,11,11,4,10,10,p1g_g114,test
p1g_g114_t0_b1_p1,src_00,silicon_die_lower,0,3.7882335829429044e-06,0.1726519606178859,1.0359117637073154,273455.09220225096,27.345509220225097,4.394531249999991e-10,2357274768.96954,480,10,16,3,9,15,p1g_g114,test
p1g_g114_t0_b1_p1,src_01,silicon_die_lower,3,3.111612033484157e-06,0.14331204500176983,0.8598722700106189,276343.0211599344,27.63430211599344,3.3233642578124925e-10,2587354870.863914,363,11,11,3,10,10,p1g_g114,test
p1g_g114_t0_b1_p1,src_02,silicon_die_lower,8,2.522851855882451e-06,0.12564670034436617,0.753880202066197,298820.6383614635,29.88206383614635,2.719116210937493e-10,2772519243.6930647,297,9,11,3,8,10,p1g_g114,test
p1g_g114_t0_b1_p1,src_03,silicon_die_upper,11,2.462725705469674e-06,0.10064742744016024,0.6038845646409614,245209.83530554926,24.520983530554926,3.3569335937499994e-10,1798917219.468639,400,10,10,4,9,9,p1g_g114,test
p1g_g114_t0_b1_p1,src_04,silicon_die_upper,4,4.60893008304236e-06,0.20085236649041238,1.2051141989424743,261473.74276221977,26.147374276221978,6.109619140625003e-10,1972486616.9304187,728,13,14,4,12,13,p1g_g114,test
p1g_g114_t0_b1_p1,src_05,silicon_die_upper,7,3.978806470967338e-06,0.14467730049031,0.8680638029418599,218171.90890684712,21.817190890684714,5.169677734375001e-10,1679144905.2419634,616,11,14,4,10,13,p1g_g114,test
p1g_g114_t0_b1_p1,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.6732731976905724,225866.58918083773,22.586658918083774,4.061889648437501e-10,1657536900.219735,484,11,11,4,10,10,p1g_g114,test
p1g_g114_t1_b0_p0,src_00,silicon_die_lower,0,3.7882335829429044e-06,0.1726519606178859,0.6906078424715436,182303.39480150063,18.230339480150064,4.394531249999991e-10,1571516512.6463602,480,10,16,3,9,15,p1g_g114,test
p1g_g114_t1_b0_p0,src_01,silicon_die_lower,3,3.111612033484157e-06,0.14331204500176983,0.5732481800070793,184228.6807732896,18.42286807732896,3.3233642578124925e-10,1724903247.2426095,363,11,11,3,10,10,p1g_g114,test
p1g_g114_t1_b0_p0,src_02,silicon_die_lower,8,2.522851855882451e-06,0.12564670034436617,0.5025868013774647,199213.75890764236,19.921375890764235,2.719116210937493e-10,1848346162.4620433,297,9,11,3,8,10,p1g_g114,test
p1g_g114_t1_b0_p0,src_03,silicon_die_upper,11,2.462725705469674e-06,0.10064742744016024,0.40258970976064096,163473.22353703287,16.347322353703287,3.3569335937499994e-10,1199278146.3124259,400,10,10,4,9,9,p1g_g114,test
p1g_g114_t1_b0_p0,src_04,silicon_die_upper,4,4.60893008304236e-06,0.20085236649041238,0.8034094659616495,174315.82850814651,17.431582850814653,6.109619140625003e-10,1314991077.9536123,728,13,14,4,12,13,p1g_g114,test
p1g_g114_t1_b0_p0,src_05,silicon_die_upper,7,3.978806470967338e-06,0.14467730049031,0.57870920196124,145447.93927123144,14.544793927123145,5.169677734375001e-10,1119429936.8279757,616,11,14,4,10,13,p1g_g114,test
p1g_g114_t1_b0_p0,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.4488487984603816,150577.7261205585,15.057772612055851,4.061889648437501e-10,1105024600.1464899,484,11,11,4,10,10,p1g_g114,test
p1g_g114_t1_b0_p1,src_00,silicon_die_lower,0,3.7882335829429044e-06,0.1726519606178859,1.0359117637073154,273455.09220225096,27.345509220225097,4.394531249999991e-10,2357274768.96954,480,10,16,3,9,15,p1g_g114,test
p1g_g114_t1_b0_p1,src_01,silicon_die_lower,3,3.111612033484157e-06,0.14331204500176983,0.8598722700106189,276343.0211599344,27.63430211599344,3.3233642578124925e-10,2587354870.863914,363,11,11,3,10,10,p1g_g114,test
p1g_g114_t1_b0_p1,src_02,silicon_die_lower,8,2.522851855882451e-06,0.12564670034436617,0.753880202066197,298820.6383614635,29.88206383614635,2.719116210937493e-10,2772519243.6930647,297,9,11,3,8,10,p1g_g114,test
p1g_g114_t1_b0_p1,src_03,silicon_die_upper,11,2.462725705469674e-06,0.10064742744016024,0.6038845646409614,245209.83530554926,24.520983530554926,3.3569335937499994e-10,1798917219.468639,400,10,10,4,9,9,p1g_g114,test
p1g_g114_t1_b0_p1,src_04,silicon_die_upper,4,4.60893008304236e-06,0.20085236649041238,1.2051141989424743,261473.74276221977,26.147374276221978,6.109619140625003e-10,1972486616.9304187,728,13,14,4,12,13,p1g_g114,test
p1g_g114_t1_b0_p1,src_05,silicon_die_upper,7,3.978806470967338e-06,0.14467730049031,0.8680638029418599,218171.90890684712,21.817190890684714,5.169677734375001e-10,1679144905.2419634,616,11,14,4,10,13,p1g_g114,test
p1g_g114_t1_b0_p1,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.6732731976905724,225866.58918083773,22.586658918083774,4.061889648437501e-10,1657536900.219735,484,11,11,4,10,10,p1g_g114,test
p1g_g114_t1_b1_p0,src_00,silicon_die_lower,0,3.7882335829429044e-06,0.1726519606178859,0.6906078424715436,182303.39480150063,18.230339480150064,4.394531249999991e-10,1571516512.6463602,480,10,16,3,9,15,p1g_g114,test
p1g_g114_t1_b1_p0,src_01,silicon_die_lower,3,3.111612033484157e-06,0.14331204500176983,0.5732481800070793,184228.6807732896,18.42286807732896,3.3233642578124925e-10,1724903247.2426095,363,11,11,3,10,10,p1g_g114,test
p1g_g114_t1_b1_p0,src_02,silicon_die_lower,8,2.522851855882451e-06,0.12564670034436617,0.5025868013774647,199213.75890764236,19.921375890764235,2.719116210937493e-10,1848346162.4620433,297,9,11,3,8,10,p1g_g114,test
p1g_g114_t1_b1_p0,src_03,silicon_die_upper,11,2.462725705469674e-06,0.10064742744016024,0.40258970976064096,163473.22353703287,16.347322353703287,3.3569335937499994e-10,1199278146.3124259,400,10,10,4,9,9,p1g_g114,test
p1g_g114_t1_b1_p0,src_04,silicon_die_upper,4,4.60893008304236e-06,0.20085236649041238,0.8034094659616495,174315.82850814651,17.431582850814653,6.109619140625003e-10,1314991077.9536123,728,13,14,4,12,13,p1g_g114,test
p1g_g114_t1_b1_p0,src_05,silicon_die_upper,7,3.978806470967338e-06,0.14467730049031,0.57870920196124,145447.93927123144,14.544793927123145,5.169677734375001e-10,1119429936.8279757,616,11,14,4,10,13,p1g_g114,test
p1g_g114_t1_b1_p0,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.4488487984603816,150577.7261205585,15.057772612055851,4.061889648437501e-10,1105024600.1464899,484,11,11,4,10,10,p1g_g114,test
p1g_g114_t1_b1_p1,src_00,silicon_die_lower,0,3.7882335829429044e-06,0.1726519606178859,1.0359117637073154,273455.09220225096,27.345509220225097,4.394531249999991e-10,2357274768.96954,480,10,16,3,9,15,p1g_g114,test
p1g_g114_t1_b1_p1,src_01,silicon_die_lower,3,3.111612033484157e-06,0.14331204500176983,0.8598722700106189,276343.0211599344,27.63430211599344,3.3233642578124925e-10,2587354870.863914,363,11,11,3,10,10,p1g_g114,test
p1g_g114_t1_b1_p1,src_02,silicon_die_lower,8,2.522851855882451e-06,0.12564670034436617,0.753880202066197,298820.6383614635,29.88206383614635,2.719116210937493e-10,2772519243.6930647,297,9,11,3,8,10,p1g_g114,test
p1g_g114_t1_b1_p1,src_03,silicon_die_upper,11,2.462725705469674e-06,0.10064742744016024,0.6038845646409614,245209.83530554926,24.520983530554926,3.3569335937499994e-10,1798917219.468639,400,10,10,4,9,9,p1g_g114,test
p1g_g114_t1_b1_p1,src_04,silicon_die_upper,4,4.60893008304236e-06,0.20085236649041238,1.2051141989424743,261473.74276221977,26.147374276221978,6.109619140625003e-10,1972486616.9304187,728,13,14,4,12,13,p1g_g114,test
p1g_g114_t1_b1_p1,src_05,silicon_die_upper,7,3.978806470967338e-06,0.14467730049031,0.8680638029418599,218171.90890684712,21.817190890684714,5.169677734375001e-10,1679144905.2419634,616,11,14,4,10,13,p1g_g114,test
p1g_g114_t1_b1_p1,src_06,silicon_die_upper,1,2.9808445779093214e-06,0.1122121996150954,0.6732731976905724,225866.58918083773,22.586658918083774,4.061889648437501e-10,1657536900.219735,484,11,11,4,10,10,p1g_g114,test
p1g_g115_t0_b0_p0,src_00,silicon_die_lower,5,4.275916630070253e-06,0.1344959990970662,0.5379839963882648,125817.23240460506,12.581723240460507,4.39453124999999e-10,1224212471.7812986,480,10,16,3,9,15,p1g_g115,test
p1g_g115_t0_b0_p0,src_01,silicon_die_lower,6,4.659332509950516e-06,0.13433086176638864,0.5373234470655546,115321.97925733811,11.532197925733811,5.273437499999989e-10,1018924462.5835723,576,12,16,3,11,15,p1g_g115,test
p1g_g115_t0_b0_p0,src_02,silicon_die_lower,1,3.5669757394386437e-06,0.10484621650366775,0.419384866014671,117574.35335982188,11.757435335982187,3.84521484374999e-10,1090666927.7435536,420,10,14,3,9,13,p1g_g115,test
