sample_id,group_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_g008_t0_b0_p0,p1g_g008,train,0.5090052816432391,0.01314335948735989,3.6766449844483873,0.5370599319614939,0.7187530239650073
p1g_g008_t0_b0_p1,p1g_g008,train,0.7635079224563056,0.013143359487663975,5.514967476672041,0.8055898979438325,1.0781295359121827
p1g_g008_t0_b1_p0,p1g_g008,train,1.0999530042616408,0.03248179499443381,6.594289613431215,0.4936942050940729,2.5096151388686394
p1g_g008_t0_b1_p1,p1g_g008,train,1.649929506344736,0.03248179499461284,9.891434419834923,0.74054130764506,3.7644227081764257
p1g_g008_t1_b0_p0,p1g_g008,train,0.4677872496631908,0.016699318082186342,3.683353760017326,0.54177815038787,0.669177607531708
p1g_g008_t1_b0_p1,p1g_g008,train,0.7016808744894233,0.016699318082638626,5.525030640024681,0.8126672255833682,1.0037664113007168
p1g_g008_t1_b1_p0,p1g_g008,train,0.8575154415905971,0.034589302836552656,4.9377389171301616,0.5097767328599616,1.846565737085541
p1g_g008_t1_b1_p1,p1g_g008,train,1.2862731623523318,0.03458930283685964,7.406608375460792,0.7646650992930972,2.769848605533582
p1g_g009_t0_b0_p0,p1g_g009,train,0.4618521478025095,0.011929801303458845,2.9281507918378225,0.5030304227373108,0.6548775901179056
p1g_g009_t0_b0_p1,p1g_g009,train,0.6927782216965039,0.011929801303745002,4.392226187763754,0.7545456341081831,0.9823163851438608
p1g_g009_t0_b1_p0,p1g_g009,train,1.0158237182946483,0.03000630904647373,5.793891460400516,0.4558849879535387,2.308311400694322
p1g_g009_t0_b1_p1,p1g_g009,train,1.5237355773969679,0.030006309046622097,8.69083719031039,0.6838274819350545,3.4624671009233907
p1g_g009_t1_b0_p0,p1g_g009,train,0.4235580226578391,0.015127489994135124,2.9345210938146806,0.5081623063687175,0.6173936117320409
p1g_g009_t1_b0_p1,p1g_g009,train,0.6353370339826574,0.015127489994566484,4.401781640722675,0.7622434595554637,0.9260904176017561
p1g_g009_t1_b1_p0,p1g_g009,train,0.7882911508300385,0.03181022011860156,4.237225401174555,0.4734068014280979,1.6940457191503242
p1g_g009_t1_b1_p1,p1g_g009,train,1.182436726213561,0.03181022011886646,6.355838101539234,0.7101102021463817,2.5410685786384306
p1g_g010_t0_b0_p0,p1g_g010,train,0.47318503892467134,0.012213949311830334,2.4961384329596967,0.5281788113371704,0.7333759835204887
p1g_g010_t0_b0_p1,p1g_g010,train,0.7097775583761637,0.012213949312063214,3.744207649449777,0.7922682170072903,1.100063975243529
p1g_g010_t0_b1_p0,p1g_g010,train,1.1638917048127861,0.03435905205635914,8.229753397974775,0.49121146731533827,2.5750381838956855
p1g_g010_t0_b1_p1,p1g_g010,train,1.7458375571646505,0.03435905205646786,12.34463009653939,0.7368172009764749,3.8625572757119357
p1g_g010_t1_b0_p0,p1g_g010,train,0.42004752004692325,0.014987651282385182,2.5024012137710088,0.5321986490858421,0.6813805944732962
