sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_03,silicon_die_lower,6.000000000000006e-06,0.225,37499.99999999996,6.811523437499981e-10,330322580.6451622,744,8,31,3,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_04,silicon_die_upper,6.000000000000001e-06,0.225,37499.99999999999,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_05,silicon_die_upper,5.9999999999999985e-06,0.225,37500.00000000001,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_06,silicon_die_upper,6.000000000000001e-06,0.225,37499.99999999999,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_07,silicon_die_upper,6.000000000000004e-06,0.225,37499.99999999997,8.325195312499998e-10,270263929.6187684,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_00,silicon_die_lower,7.999999999999998e-06,0.3125,39062.50000000001,1.0134887695312478e-09,308340861.18639034,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_01,silicon_die_lower,8.000000000000001e-06,0.3125,39062.49999999999,9.008789062499982e-10,346883468.834689,984,8,41,3,7,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_02,silicon_die_lower,8.000000000000001e-06,0.3125,39062.49999999999,1.0134887695312478e-09,308340861.18639034,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_03,silicon_die_lower,8.000000000000006e-06,0.3125,39062.49999999997,1.0134887695312474e-09,308340861.18639046,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_04,silicon_die_upper,7.999999999999998e-06,0.3125,39062.50000000001,1.2387084960937505e-09,252278886.4252278,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_05,silicon_die_upper,8.000000000000001e-06,0.3125,39062.49999999999,1.1010742187500006e-09,283813747.2283812,1312,8,41,4,7,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_06,silicon_die_upper,8.000000000000001e-06,0.3125,39062.49999999999,1.2387084960937503e-09,252278886.42522782,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_07,silicon_die_upper,8.000000000000006e-06,0.3125,39062.49999999997,1.2387084960937499e-09,252278886.4252279,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_00,silicon_die_lower,1.9999999999999995e-06,0.3125,156250.00000000003,2.416992187499995e-10,1292929292.9292955,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_01,silicon_die_lower,1.9999999999999995e-06,0.3125,156250.00000000003,2.4169921874999955e-10,1292929292.9292953,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_02,silicon_die_lower,1.9999999999999986e-06,0.3125,156250.00000000012,2.4169921874999944e-10,1292929292.929296,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_03,silicon_die_lower,2.0000000000000016e-06,0.3125,156249.99999999988,2.416992187499994e-10,1292929292.9292963,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_04,silicon_die_upper,2.000000000000001e-06,0.3125,156249.9999999999,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_05,silicon_die_upper,2.0000000000000008e-06,0.3125,156249.99999999994,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_06,silicon_die_upper,2.000000000000001e-06,0.3125,156249.9999999999,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_07,silicon_die_upper,2.000000000000003e-06,0.3125,156249.99999999977,2.6855468749999996e-10,1163636363.6363637,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_00,silicon_die_lower,3.999999999999998e-06,0.3875,96875.00000000004,4.94384765624999e-10,783802469.135804,540,9,20,3,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_01,silicon_die_lower,4e-06,0.3875,96875.0,4.394531249999991e-10,881777777.7777796,480,8,20,3,7,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_02,silicon_die_lower,4e-06,0.3875,96875.0,4.94384765624999e-10,783802469.135804,540,9,20,3,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_03,silicon_die_lower,4.000000000000002e-06,0.3875,96874.99999999994,4.943847656249988e-10,783802469.1358044,540,9,20,3,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_04,silicon_die_upper,4e-06,0.3875,96875.0,6.042480468750002e-10,641292929.292929,720,9,20,4,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_05,silicon_die_upper,4.0000000000000015e-06,0.3875,96874.99999999997,5.371093750000002e-10,721454545.4545451,640,8,20,4,7,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_06,silicon_die_upper,4.0000000000000015e-06,0.3875,96874.99999999997,6.042480468750002e-10,641292929.292929,720,9,20,4,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_07,silicon_die_upper,4.000000000000004e-06,0.3875,96874.9999999999,6.042480468749999e-10,641292929.2929294,720,9,20,4,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_00,silicon_die_lower,5.999999999999999e-06,0.3875,64583.33333333334,6.811523437499984e-10,568888888.8888903,744,8,31,3,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_01,silicon_die_lower,5.999999999999999e-06,0.3875,64583.33333333334,6.811523437499985e-10,568888888.8888901,744,8,31,3,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_02,silicon_die_lower,5.999999999999998e-06,0.3875,64583.33333333336,6.811523437499984e-10,568888888.8888903,744,8,31,3,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_03,silicon_die_lower,6.000000000000006e-06,0.3875,64583.33333333327,6.811523437499981e-10,568888888.8888905,744,8,31,3,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_04,silicon_die_upper,6.000000000000001e-06,0.3875,64583.33333333332,8.325195312500003e-10,465454545.4545453,992,8,31,4,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_05,silicon_die_upper,5.9999999999999985e-06,0.3875,64583.33333333335,8.325195312500003e-10,465454545.4545453,992,8,31,4,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_06,silicon_die_upper,6.000000000000001e-06,0.3875,64583.33333333332,8.325195312500003e-10,465454545.4545453,992,8,31,4,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q3_55_67p5_a48_l1,src_07,silicon_die_upper,6.000000000000004e-06,0.3875,64583.333333333285,8.325195312499998e-10,465454545.4545456,992,8,31,4,7,30,1.55,3.1,48.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_00,silicon_die_lower,7.999999999999998e-06,0.4625,57812.500000000015,1.0134887695312478e-09,456344474.55585766,1107,9,41,3,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_01,silicon_die_lower,8.000000000000001e-06,0.4625,57812.49999999999,9.008789062499982e-10,513387533.8753398,984,8,41,3,7,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_02,silicon_die_lower,8.000000000000001e-06,0.4625,57812.49999999999,1.0134887695312478e-09,456344474.55585766,1107,9,41,3,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_03,silicon_die_lower,8.000000000000006e-06,0.4625,57812.499999999956,1.0134887695312474e-09,456344474.5558579,1107,9,41,3,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_04,silicon_die_upper,7.999999999999998e-06,0.4625,57812.500000000015,1.2387084960937505e-09,373372751.90933716,1476,9,41,4,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_05,silicon_die_upper,8.000000000000001e-06,0.4625,57812.49999999999,1.1010742187500006e-09,420044345.89800423,1312,8,41,4,7,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_06,silicon_die_upper,8.000000000000001e-06,0.4625,57812.49999999999,1.2387084960937503e-09,373372751.9093372,1476,9,41,4,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a64_l0,src_07,silicon_die_upper,8.000000000000006e-06,0.4625,57812.499999999956,1.2387084960937499e-09,373372751.90933734,1476,9,41,4,8,40,1.85,3.7,64.0
p1d64b_f01_low_low_q4_67p5_80_a16_l1,src_00,silicon_die_lower,1.9999999999999995e-06,0.4625,231250.00000000006,2.416992187499995e-10,1913535353.5353577,264,8,11,3,7,10,1.85,3.7,16.0
p1d64b_f01_low_low_q4_67p5_80_a16_l1,src_01,silicon_die_lower,1.9999999999999995e-06,0.4625,231250.00000000006,2.4169921874999955e-10,1913535353.5353572,264,8,11,3,7,10,1.85,3.7,16.0
p1d64b_f01_low_low_q4_67p5_80_a16_l1,src_02,silicon_die_lower,1.9999999999999986e-06,0.4625,231250.00000000017,2.4169921874999944e-10,1913535353.535358,264,8,11,3,7,10,1.85,3.7,16.0
