sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.2612701675911353,0.0831806583640855
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.2037765105313838,0.005157101652912388
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.1934537428531371,0.09633320775691345
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,tim_between_dies,22,16900,-0.04747637653520087,0.1740169248488428
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,silicon_die_upper,158,16900,0.06481945813277434,0.16396793934069365
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,tim_to_spreader,22,16900,0.3687058297456929,0.3840534420611448
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,spreader,195,71825,0.3564107196446571,-0.4961625876514404
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.38038553919750484,-4.7638353897503976
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.035599086108277334,0.3419984104134528
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.39190525137291843,0.12477098753998916
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.30566476578746915,0.007735652478515931
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.2901806142726855,0.14449981163193115
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,tim_between_dies,22,16900,-0.07121456479694643,0.26102538727428737
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,silicon_die_upper,158,16900,0.09722918720467533,0.24595190900913622
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,tim_to_spreader,22,16900,0.5530587446236268,0.576080163092513
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,spreader,195,71825,0.5346160794690036,-0.7442438814835555
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.05838440306951043,-0.6505118020979239
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.04665889596623174,0.07235377928310527
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.02982031934038787,-0.008468779292059025
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.045739874106686784,-0.01996659091781794
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.0784013991633401,0.03849041502661521
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,tim_between_dies,22,16900,0.04185413187303766,0.17925201707214455
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,silicon_die_upper,158,16900,0.14162900077593576,0.13374773006358964
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,tim_to_spreader,22,16900,0.43616824430358747,0.39319871482473445
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,spreader,195,71825,0.38194080009316167,-0.5653088055012745
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.08757660460230454,-0.9757677031133767
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.0699883439492055,0.1085306689201957
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.04473047900921756,-0.012703168939196985
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.06860981115931963,-0.02994988637641427
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.11760209874466909,0.05773562253932596
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,tim_between_dies,22,16900,0.06278119780989755,0.26887802560850105
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,silicon_die_upper,158,16900,0.2124435011642163,0.20062159509535604
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,tim_to_spreader,22,16900,0.6542523664562054,0.5897980722379543
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,spreader,195,71825,0.5729112001405952,-0.8479632082535318
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.18877675355429346,-2.3321772094259927
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.03143832373564237,0.17607497722747212
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.18381822771777934,0.05251890837081419
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.15088710201246158,-0.003255866382403383
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.15494990059778502,0.07697645897866323
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,tim_between_dies,22,16900,-0.01758259609283641,0.1757618302634114
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,silicon_die_upper,158,16900,0.09051910372608063,0.15385166039277465
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,tim_to_spreader,22,16900,0.39127284135355467,0.3871060635121353
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,spreader,195,71825,0.3649434600832251,-0.5193040107462821
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.2831651303208105,-3.4982658140191347
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.04715748560340671,0.2641124658338754
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.2757273415662098,0.07877836255158854
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.22633065301130273,-0.004883799573462966
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.23242485089059528,0.11546468846529478
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,tim_between_dies,22,16900,-0.026373894134223974,0.2636427453956003
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,silicon_die_upper,158,16900,0.13577865559369684,0.23077749058734298
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,tim_to_spreader,22,16900,0.5869092620339416,0.5806590952686292
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,spreader,195,71825,0.5474151901264577,-0.7789560161236864
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.09259917491209535,-0.9064856042504061
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.023046309876121995,0.08834058243036225
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.07272044859558946,0.008020770574546532
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.07231222803460469,-0.009230397091243958
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.0875415129190742,0.048338223222231136
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,tim_between_dies,25,16900,0.02036220744861339,0.15152684612434086
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,silicon_die_upper,184,16900,0.10617901826464049,0.15144958865886338
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,tim_to_spreader,21,16900,0.41112910852893947,0.40352965789242035
p1g_v1_g002_t0_b0_p0,p1g_v1_g002,train,spreader,207,71825,0.38720611992300746,-0.5386703584208021
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.13889876236282817,-1.3597284063309871
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.03456946481446721,0.1325108736437528
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.1090806728892062,0.012031155859801856
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.10846834204869538,-0.013845595636666985
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.13131226937633755,0.07250733483169824
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,tim_between_dies,25,16900,0.03054331117465381,0.22729026918722184
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,silicon_die_upper,184,16900,0.159268527398865,0.22717438298758452
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,tim_to_spreader,21,16900,0.6166936627948303,0.6052944868385453
p1g_v1_g002_t0_b0_p1,p1g_v1_g002,train,spreader,207,71825,0.5808091798847954,-0.8080055376337327
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.3234773453224875,-3.12713061787764
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.0013458196210649476,0.2047747845624599
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.29393677105503,0.09218628264505924
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.22388476812579938,0.018038294600387417
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.19073834636793663,0.11265296030427407
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,tim_between_dies,25,16900,-0.05187897486388238,0.15025610087928953
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,silicon_die_upper,184,16900,0.04958250224984795,0.1811531805489608
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,tim_to_spreader,21,16900,0.36402217238571666,0.39408150162614675
p1g_v1_g002_t0_b1_p0,p1g_v1_g002,train,spreader,207,71825,0.36984584085320193,-0.4882077719419158
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.48521601796682035,-4.690695926659771
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.0020187294321658555,0.3071621768365276
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.4409051565675668,0.13827942396153503
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.33582715217835357,0.0270574418995011
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.28610751954460056,0.16897944045172153
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,tim_between_dies,25,16900,-0.0778184622905087,0.225384151319588
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,silicon_die_upper,184,16900,0.0743737533794615,0.27172977082142324
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,tim_to_spreader,21,16900,0.546033258582554,0.5911222524399022
p1g_v1_g002_t0_b1_p1,p1g_v1_g002,train,spreader,207,71825,0.554768761281025,-0.7323116579182738
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.06760614407028243,-0.664989384093758
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,bt_substrate_with_vias,132,33800,0.025301426465034638,0.07621078290452488
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,silicon_interposer_tsv_0p1,28,16900,-0.04854019716225366,-0.0011685855186556182
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,bump_underfill_under_interposer,23,16900,-0.055739890656354873,-0.012215278291250797
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,silicon_die_lower,137,16900,-0.07625902667558648,0.04130670596600794
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,tim_between_dies,25,16900,0.02825733637052963,0.15165911795349984
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,silicon_die_upper,184,16900,0.11236120686072582,0.148205194421962
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,tim_to_spreader,21,16900,0.4162735877460477,0.40455891290298496
p1g_v1_g002_t1_b0_p0,p1g_v1_g002,train,spreader,207,71825,0.38914184326961276,-0.5441308371937907
p1g_v1_g002_t1_b0_p1,p1g_v1_g002,train,pcb_fr4_equivalent,267,33800,0.10140921610098985,-0.9974840761066162
