sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64_f00_near_adiabatic_high_a48_l2,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.27554668952961947,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.05997814629807863,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.055216647669226404,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.00884335227971178,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.00039229769413395843,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00016353402548929807,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.13857776667043709,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03450121821759922,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2761618552438563,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a64_l3,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.06011175650257883,f00_near_adiabatic,high
p1d64_f01_low_low_low_a16_l0,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.5421936132851783,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.08758415899410465,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0038320467442076733,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.001358050291685231,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07355830051449175,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.01834876917399697,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.15171387465750286,f01_low_low,low
p1d64_f01_low_low_low_a16_l0,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.03302348954787249,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.5422363388837539,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.08758229424404362,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0037621914471515083,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0013332860517607514,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07362190195220819,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.01836342382176781,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.15169872357682834,f01_low_low,low
p1d64_f01_low_low_low_a32_l1,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.03302011077641964,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.5425358664829218,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.08765182403197969,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.003860173677594503,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.001365710565551126,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07382043677205274,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.018415561893959875,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.152315540127006,f01_low_low,low
p1d64_f01_low_low_low_a48_l2,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.033154583452073894,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.5427119156543654,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.08769528465307985,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.003942636634235441,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0013925228476523444,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07404758162380176,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.018472044542249932,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.1526670593357835,f01_low_low,low
p1d64_f01_low_low_low_a64_l3,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.03323093126175536,f01_low_low,low
p1d64_f01_low_low_high_a16_l0,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.9488388231720819,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.1532722782274618,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.006706081801439723,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0023765880101223047,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.12872702590175322,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03211034605504892,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.265499280651909,f01_low_low,high
p1d64_f01_low_low_high_a16_l0,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.05779110670908949,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.9489135929679833,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.15326901491414446,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.006583835031676699,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0023332505901407785,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.12883832841839649,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.032135991688392096,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2654727662604728,f01_low_low,high
p1d64_f01_low_low_high_a32_l1,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.05778519385899017,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.9494377662612123,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.15339069204236466,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.006755303934880885,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0023899934893165664,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1291857643530534,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.032227233314813475,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.26655219522342577,f01_low_low,high
p1d64_f01_low_low_high_a48_l2,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.058020521041328266,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.9497458523146634,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.15346674812980154,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.006899614108931473,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0024369149829226444,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.12958326784303154,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.032326077949164755,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.26716735383882906,f01_low_low,high
p1d64_f01_low_low_high_a64_l3,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.05815412970832767,f01_low_low,high
p1d64_f02_750_50_low_a16_l0,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.133507547226543,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.18314758550712895,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.008358467859807206,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.0029679988656994283,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.10711746541994671,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.02674446349254822,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2243507249953609,f02_750_50,low
p1d64_f02_750_50_low_a16_l0,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.048834389292153446,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.1335727315132544,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.1831449501358975,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.008253682694260078,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.002930851628207165,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1072128804733552,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.02676644869706024,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.22432802284794207,f02_750_50,low
p1d64_f02_750_50_low_a32_l1,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.048829326745305934,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.134023589476385,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.18324947404846625,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.008400646887935181,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.002979484954266809,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.10751071550760116,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.026844663997678708,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.22525330705826718,f02_750_50,low
p1d64_f02_750_50_low_a48_l2,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.049031049405300564,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.1342894548268418,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.1833149304408721,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0085243390622054,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.003019702443850747,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.10785145063147183,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.026929392453325818,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.22578062065230142,f02_750_50,low
p1d64_f02_750_50_low_a64_l3,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.04914557910916528,f02_750_50,low
p1d64_f02_750_50_high_a16_l0,5.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.8891792452723166,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.3052459758280861,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.013930779765360057,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,0.004946664775673071,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1785291090347414,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.04457410582142529,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.37391787499336715,f02_750_50,high
p1d64_f02_750_50_high_a16_l0,5.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.08139064882055891,f02_750_50,high
p1d64_f02_750_50_high_a32_l1,5.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.8892878857424762,f02_750_50,high
