sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g022_t0_b0_p0,train,0.5263440250529052,0.013602659112271463,2.0009451102353637,0.5113312343799521,0.7928757961993824,0.023432962246147326,-1.2018159384341587e-10
p1g_g022_t0_b0_p1,train,0.7895160375637326,0.013602659112470487,3.001417665285828,0.7669968515707524,1.189313694262296,0.03514944336257031,-8.513021537703835e-11
p1g_g022_t0_b1_p0,train,1.461942558183724,0.043204243333891834,6.744738951090255,1.6807057192968955,2.5935305940404874,0.022890305404985156,-1.1947866307426835e-10
p1g_g022_t0_b1_p1,train,2.192913837203645,0.04320424333396294,10.117108426294806,2.5210585788557864,3.8902958909304743,0.0343354581025892,-8.443719797431488e-11
p1g_g022_t1_b0_p0,train,0.4485665677107803,0.016032346393379544,1.8114624989461277,0.5142251984206041,0.5965127420640215,0.023527756340854467,-1.1853184926635674e-10
p1g_g022_t1_b0_p1,train,0.6728498515558843,0.016032346393694264,2.7171937484138198,0.7713377976307925,0.8947691130691737,0.03529163450701844,-8.268283048969612e-11
p1g_g022_t1_b1_p0,train,1.096147003139335,0.04426271033483909,4.981754799354178,1.225434356794608,1.9244013751402917,0.023130958763090348,-1.181161071728276e-10
p1g_g022_t1_b1_p1,train,1.6442205046554768,0.044262710334943486,7.472632198778797,1.8381515351233588,2.8866020626114164,0.034696438144521835,-8.230123989723855e-11
p1g_g023_t0_b0_p0,train,0.6354262115072976,0.016384854826334602,4.413846992651543,0.5302113743268819,0.8140612602592228,0.07543129666692039,-1.2011331512740142e-10
p1g_g023_t0_b0_p1,train,0.9531393172500969,0.016384854826713723,6.62077048897811,0.7953170614904934,1.221091890360924,0.11314694499878897,-8.503881164060682e-11
p1g_g023_t0_b1_p0,train,1.5000862662533958,0.04423566964849645,6.703712409643913,1.6720212856217245,2.616732473054242,0.07546250742683469,-1.1936067412232632e-10
p1g_g023_t0_b1_p1,train,2.25012939931001,0.044235669648636955,10.05556861418961,2.5080319283421204,3.9250987094512197,0.11319376113817725,-8.432493592280821e-11
p1g_g023_t1_b0_p0,train,0.5748067769678191,0.020474267812050466,4.419766044824769,0.5331022799200014,0.6177414330632587,0.07555228353334087,-1.184721556968249e-10
p1g_g023_t1_b0_p1,train,0.862210165445402,0.020474267812617453,6.629649067235391,0.7996534198795189,0.9266121495775224,0.11332842529679965,-8.263176023056336e-11
p1g_g023_t1_b1_p0,train,1.1496044867117048,0.04626641505047751,5.334687968512014,1.2168332623219271,1.947755329949814,0.07558332863118267,-1.1799908966603212e-10
p1g_g023_t1_b1_p1,train,1.7244067300169996,0.04626641505072791,8.00203195253357,1.8252498934139112,2.9216329948272346,0.11337499294472764,-8.219648110300663e-11
p1g_g024_t0_b0_p0,train,0.5276407491656991,0.01363500192434741,2.2615149097877065,0.5061976301388427,0.7749221568333269,0.042065009010570975,-1.2017131387209723e-10
p1g_g024_t0_b0_p1,train,0.7914611237349278,0.013635001924583707,3.392272364689177,0.7592964452088609,1.1623832352187264,0.06309751351597015,-8.511077490928424e-11
p1g_g024_t0_b1_p0,train,1.4521239971928335,0.04291012678798095,6.621942213571629,1.671180284567356,2.5753972727466703,0.042088108718644435,-1.1948755873625316e-10
p1g_g024_t0_b1_p1,train,2.17818599571786,0.04291012678805436,9.93291332001678,2.506770426761932,3.8630959089915677,0.06313216307819403,-8.442921362039613e-11
p1g_g024_t1_b0_p0,train,0.4537051147316964,0.016213673999503474,2.2666166588030023,0.5090893012945799,0.5785675051212138,0.04215702479439187,-1.185446255047573e-10
p1g_g024_t1_b0_p1,train,0.6805576720903878,0.016213673999903828,3.3999249882131153,0.7636339519424382,0.8678512576631192,0.06323553719113306,-8.269503600407309e-11
p1g_g024_t1_b1_p0,train,1.0881474255912833,0.043932834984083985,4.859167982872179,1.2159144965308428,1.9062805068536477,0.04217998474604201,-1.1814085820738285e-10
p1g_g024_t1_b1_p1,train,1.6322211383350145,0.04393283498422405,7.288751974053525,1.8238717447295585,2.859420760183923,0.06326997711659033,-8.231173150482125e-11
p1g_g025_t0_b0_p0,train,0.5296068398371819,0.013679472547162392,2.0764714977548806,0.5182476045411022,0.8018663603845084,0.05781444089308252,-1.2019002459950912e-10
p1g_g025_t0_b0_p1,train,0.794410259740965,0.013679472547379005,3.114707246633884,0.7773714068121649,1.2027995405431398,0.08672166133641213,-8.513061089399088e-11
p1g_g025_t0_b1_p0,train,1.4620656324085557,0.043187118357056846,6.7003526231235355,1.6750108229716716,2.6045295528856514,0.057823600744939085,-1.194555010464171e-10
p1g_g025_t0_b1_p1,train,2.193098448540439,0.043187118357116805,10.050528934345152,2.5125162343670695,3.906794329197453,0.08673540111283273,-8.442633629239064e-11
