seed,config_id,checkpoint_epoch,checkpoint_sha256,resolution,mode,point_global_pct,sample_first_pct,raw_rmse_K,shape_cv_rmse,scale_log_rmse,field_bias_K,peak_rmse_K,source_rmse_K,layer_mean_rmse_K,layer_drop_rmse_K,top_surface_rmse_K,bottom_surface_rmse_K,gate_passed,stop_reasons,test_hard_accessed,raw_payload_sha256,graph_build_seconds_valid128,first_compile_seconds_batch1,warm_inference_seconds_batch1_mean,warm_repeat_count,formal_inference_seconds_valid128,end_to_end_seconds_valid128_excluding_warm_benchmark,peak_ram_bytes,gpu_memory,observed_rss_bytes_at_termination,metric_status,seed_count,point_global_pct_mean,point_global_pct_std,sample_first_pct_mean,sample_first_pct_std,raw_rmse_K_mean,raw_rmse_K_std,shape_cv_rmse_mean,shape_cv_rmse_std,scale_log_rmse_mean,scale_log_rmse_std,field_bias_K_mean,field_bias_K_std,peak_rmse_K_mean,peak_rmse_K_std,source_rmse_K_mean,source_rmse_K_std,layer_mean_rmse_K_mean,layer_mean_rmse_K_std,layer_drop_rmse_K_mean,layer_drop_rmse_K_std,top_surface_rmse_K_mean,top_surface_rmse_K_std,bottom_surface_rmse_K_mean,bottom_surface_rmse_K_std
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,1024,upstream_like_joint_context_scale,0.9818313937892654,0.739835350399647,0.41996428150470083,0.007340995680322892,0.0011239591866864906,-0.01082236275340576,1.4367241637872905,0.7017713148221696,0.08395732049600982,0.09022784749145706,0.24929263316228234,0.2782906890429693,True,,False,777009b3e989fec8c7f45e5c06c2cb2fc0245aff984a71f57ef5be2106e2c64e,5.372619375004433,3.727998042013496,0.15473340830067173,10,24.563699084043037,29.96970562596107,1464320000,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,1024,anchor_derived_context_scale_diagnostic,0.981831339828713,0.7398352808406115,0.41996425842384916,0.007340995680322894,0.001123955370223791,-0.010822240987205172,1.4367238487070872,0.7017712152839317,0.08395719476260852,0.09022784033035762,0.24929262609116515,0.27829072683419975,True,,False,777009b3e989fec8c7f45e5c06c2cb2fc0245aff984a71f57ef5be2106e2c64e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,4096,upstream_like_joint_context_scale,3.2474890431502375,3.297441841844405,1.3872739065073623,0.013978476141719492,0.029028467588205313,1.1879907455704417,2.029886850699025,1.8124877340320615,1.2093352892427058,0.1833707580070365,1.3571519651256672,0.7709550431744454,True,,False,e57aa416c439bf2cc7bcf125948b67036f0a6e0781e901b32eb0dd06ee5b57c6,26.925752542039845,3.8900599580374546,0.2233214583073277,10,32.208454916020855,59.16189412592212,2575400960,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,4096,anchor_derived_context_scale_diagnostic,1.4886258938064976,1.3957813171454891,0.6359164978200098,0.013856334474855611,0.0015593269391167563,0.03898153195470463,1.4975280710791132,0.9531857829537975,0.20662201066794192,0.1441564758983284,0.3573384622946552,0.43170200770209616,True,,False,e57aa416c439bf2cc7bcf125948b67036f0a6e0781e901b32eb0dd06ee5b57c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,16384,upstream_like_joint_context_scale,4.130401265879308,4.219958892998621,1.76375198360605,0.018146302197316964,0.03712627465565664,1.5128938092082898,2.8916406115998985,2.727892932210181,1.5388521912455466,0.32442571401328396,1.4954043200290823,0.7541036925607797,True,,False,388c968c46618b7cec7a419bfa5ca4db943f54455c47fcb5472ebb858b5eed09,367.95707941701403,4.169210291001946,0.5441851667012088,10,76.33195633202558,444.32107833295595,5010604032,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed1,V6_03_V5best_P1h_seed1,254,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,16384,anchor_derived_context_scale_diagnostic,1.850813114896507,1.8389984678037639,0.7903288548861763,0.018271249320749368,0.001889842062286869,0.04261397433244919,1.6659430859065096,1.4009961709150747,0.3718461480994626,0.27392821179742066,0.3414307129234807,0.7932278653945861,True,,False,388c968c46618b7cec7a419bfa5ca4db943f54455c47fcb5472ebb858b5eed09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed2,V6_03_V5best_P1h_seed2,139,88b77e0c4835f4dcfa767a0f6be89d173b29b46db21530b9c38a47325b3adc4d,1024,upstream_like_joint_context_scale,0.9082108045424055,0.773100987578794,0.38847413150278887,0.007635904726178088,0.0013170219081549627,-0.027164614780649136,1.2790498523557665,0.6474051747768492,0.11034166700566674,0.10747391379798386,0.2262108474685697,0.2675924797226173,True,,False,b3664d821c5611652a7d56c683322b1d55e37a5313c8656017032b84b4bfd7c9,5.611584375030361,3.779741875012405,0.1529284916992765,10,24.503813625022303,30.147419125016313,1350844416,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed2,V6_03_V5best_P1h_seed2,139,88b77e0c4835f4dcfa767a0f6be89d173b29b46db21530b9c38a47325b3adc4d,1024,anchor_derived_context_scale_diagnostic,0.9082107379046217,0.7731008635552324,0.3884741029994336,0.0076359047261780905,0.0013170169497003844,-0.027164700761225166,1.2790498827839762,0.6474051263915873,0.11034157440465253,0.10747391064380563,0.2262108991564317,0.2675924585818434,True,,False,b3664d821c5611652a7d56c683322b1d55e37a5313c8656017032b84b4bfd7c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed2,V6_03_V5best_P1h_seed2,139,88b77e0c4835f4dcfa767a0f6be89d173b29b46db21530b9c38a47325b3adc4d,4096,upstream_like_joint_context_scale,4.14681717780419,4.223087971008647,1.7714520940288558,0.01742456388615505,0.03722871674067903,1.5506029902435141,2.5709220705432334,2.1351494541211955,1.5837564432938995,0.18354359525656389,1.8426096310867226,1.523253556827102,True,,False,c733d767eff7867b19049e3219caa23ca9688155c48ea4fb57f0e21d429cfc8b,26.208273708005436,3.844465541013051,0.21433799150399863,10,31.71321620803792,57.947874626959674,2494447616,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed2,V6_03_V5best_P1h_seed2,139,88b77e0c4835f4dcfa767a0f6be89d173b29b46db21530b9c38a47325b3adc4d,4096,anchor_derived_context_scale_diagnostic,1.7839735927302744,1.7513456055223622,0.7620841771007657,0.017445537468302734,0.0014430466786349034,0.02999886855791945,1.6336778965942476,1.0997464373497925,0.2050203718104471,0.1869483649624301,0.4286136437044126,0.5548021190361407,True,,False,c733d767eff7867b19049e3219caa23ca9688155c48ea4fb57f0e21d429cfc8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
