sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.05121319690215387,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.046617689865399825,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.007410902808089759,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0006069096948522201,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00022902251839695964,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.11814241028758943,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.029409538537379376,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.23525764670034732,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,3.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.051208129541464587,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.056284246089433054,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.008963634654435282,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0006856697667672051,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00026203609144204165,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1420207879120312,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03535567241476656,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2829424211479932,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,3.6,7,0.003175,tim_to_spreader,spreader,0.0,-0.061587772449399836,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.05665839677419626,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.009065022861250327,f00_near_adiabatic,q4_67p5_80
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,3.6,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.00039910007075150133,f00_near_adiabatic,q4_67p5_80
