sample_id,group_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_v1_g078_t1_b0_p1,p1g_v1_g078,train,0.599935816680018,0.01428939003569779,3.5703561461691606,0.6406108771069512,0.8216718778721201
p1g_v1_g078_t1_b1_p0,p1g_v1_g078,train,0.8206977770670726,0.033127434056127926,5.562109741415327,0.3935919430807644,1.7835793572942293
p1g_v1_g078_t1_b1_p1,p1g_v1_g078,train,1.231046665566601,0.03312743405637498,8.343164611860061,0.5903879146234203,2.6753690358497693
p1g_v1_g079_t0_b0_p0,p1g_v1_g079,train,0.4573491494543647,0.011815722245482684,3.0017368963611375,0.38882208953191366,0.7883384258088313
p1g_v1_g079_t0_b0_p1,p1g_v1_g079,train,0.6860237241726507,0.011815722245738812,4.502605344549863,0.5832331342996326,1.1825076386738829
p1g_v1_g079_t0_b1_p0,p1g_v1_g079,train,1.141626982195544,0.03372691922803515,6.251299909971124,0.33977463588649925,2.791003033634979
p1g_v1_g079_t0_b1_p1,p1g_v1_g079,train,1.712440473239942,0.03372691922814567,9.376949864640551,0.5096619538341542,4.186504550308996
p1g_v1_g079_t1_b0_p0,p1g_v1_g079,train,0.4043131110458396,0.014443167703572839,3.008865491240556,0.3941509798665379,0.5695881245321743
p1g_v1_g079_t1_b0_p1,p1g_v1_g079,train,0.6064696665639693,0.014443167703968519,4.513298236871094,0.5912264698004606,0.8543821867716588
p1g_v1_g079_t1_b1_p0,p1g_v1_g079,train,0.868874945751572,0.035066646205137074,4.603557726918211,0.35802564898943956,2.045658679299322
p1g_v1_g079_t1_b1_p1,p1g_v1_g079,train,1.3033124185888598,0.03506664620532417,6.905336590144998,0.5370384734867457,3.0684880188439934
p1g_v1_g080_t0_b0_p0,p1g_v1_g080,train,0.4839720670168426,0.012496899564159364,2.8087555701151814,0.4475504432865023,0.6930419856107051
p1g_v1_g080_t0_b0_p1,p1g_v1_g080,train,0.7259581005162087,0.012496899564432633,4.213133355174534,0.6713256649312598,1.039562978379763
p1g_v1_g080_t0_b1_p0,p1g_v1_g080,train,1.0967157648052155,0.03238521927221896,6.8503255050381995,0.3920820987707998,2.488100679450156
p1g_v1_g080_t0_b1_p1,p1g_v1_g080,train,1.6450736471588538,0.03238521927237,10.275488257192649,0.5881231481605482,3.7321510190466256
p1g_v1_g080_t1_b0_p0,p1g_v1_g080,train,0.4393580948629997,0.0156837349565312,2.813069712269055,0.453606410249904,0.5970129840133609
p1g_v1_g080_t1_b0_p1,p1g_v1_g080,train,0.6590371422888318,0.015683734956941132,4.219604568411626,0.6804096153767318,0.8955194760231393
p1g_v1_g080_t1_b1_p0,p1g_v1_g080,train,0.8482676738743434,0.03421340758838389,5.0046852536412985,0.41270366622990196,1.82089256202363
p1g_v1_g080_t1_b1_p1,p1g_v1_g080,train,1.2724015107766453,0.03421340758864026,7.507027880187309,0.6190554993488036,2.7313388429415113
p1g_v1_g081_t0_b0_p0,p1g_v1_g081,train,0.5620653550071427,0.014501647052049538,4.5099688025273394,0.43588950566265794,0.7200301219618837
p1g_v1_g081_t0_b0_p1,p1g_v1_g081,train,0.8430980325036525,0.014501647052427489,6.76495320378649,0.6538342584968859,1.080045182907611
p1g_v1_g081_t0_b1_p0,p1g_v1_g081,train,1.1057869564932754,0.03262712376607172,6.355763242482851,0.39890539959100124,2.521774974216612
p1g_v1_g081_t0_b1_p1,p1g_v1_g081,train,1.6586804346947286,0.032627123766303764,9.533644863380005,0.5983580993885766,3.7826624611967077
p1g_v1_g081_t1_b0_p0,p1g_v1_g081,train,0.5252266263865396,0.018725628096529286,4.516117396278901,0.4427082560567328,0.5378053121636981
p1g_v1_g081_t1_b0_p1,p1g_v1_g081,train,0.7878399395755427,0.018725628097082125,6.7741760944174985,0.6640623840872877,0.8067079682488156
p1g_v1_g081_t1_b1_p0,p1g_v1_g081,train,0.8806186364933856,0.03547394500180349,4.621974755054055,0.40643299653294207,1.8546513270594573
p1g_v1_g081_t1_b1_p1,p1g_v1_g081,train,1.320927954708475,0.035473945002189464,6.932962132317755,0.6096494948005784,2.7819769904943428
p1g_v1_g082_t0_b0_p0,p1g_v1_g082,train,0.44381930357315585,0.011451465175686988,2.3536990252274563,0.4443549884262552,0.8238498953928115
p1g_v1_g082_t0_b0_p1,p1g_v1_g082,train,0.66572895534917,0.011451465175898467,3.5305485378393655,0.6665324826412302,1.23577484304667
p1g_v1_g082_t0_b1_p0,p1g_v1_g082,train,1.1099997985786467,0.032756345816695925,7.634803869995949,0.3976436167195061,2.9375686421294063
p1g_v1_g082_t0_b1_p1,p1g_v1_g082,train,1.6649996978159873,0.03275634581680023,11.452205804610912,0.5964654250834087,4.406352963042764
p1g_v1_g082_t1_b0_p0,p1g_v1_g082,train,0.3924984682378639,0.013996752119170622,2.3590288903756687,0.44942858669952557,0.594129343044699
p1g_v1_g082_t1_b0_p1,p1g_v1_g082,train,0.588747702349758,0.013996752119489366,3.5385433355559144,0.6741428800509652,0.8911940145327435
p1g_v1_g082_t1_b1_p0,p1g_v1_g082,train,0.8453162794660817,0.034064622977971505,5.658152574453595,0.4149533668841059,2.1548407626895596
p1g_v1_g082_t1_b1_p1,p1g_v1_g082,train,1.2679744191618465,0.03406462297815638,8.487228861397398,0.6224300503296263,3.2322611439224715
p1g_v1_g083_t0_b0_p0,p1g_v1_g083,train,0.4193039839732779,0.010817771027218074,2.030742114753366,0.40820542041154795,0.6952210405692654
p1g_v1_g083_t0_b0_p1,p1g_v1_g083,train,0.6289559759516709,0.010817771027449746,3.0461131721373818,0.6123081306195104,1.0428315608186836
p1g_v1_g083_t0_b1_p0,p1g_v1_g083,train,1.0205688605545502,0.03011448138114129,5.9448101268845335,0.36239033897328454,2.4928417383767965
p1g_v1_g083_t0_b1_p1,p1g_v1_g083,train,1.5308532907846504,0.030114481381249482,8.917215190019647,0.5435855084645596,3.739262607436956
p1g_v1_g083_t1_b0_p0,p1g_v1_g083,train,0.37333844746913997,0.013311601445545307,2.0363915874113445,0.4131879895131192,0.526405818424962
p1g_v1_g083_t1_b0_p1,p1g_v1_g083,train,0.5600076711986216,0.013311601445891849,3.054587381124179,0.6197819842703325,0.789608727639461
p1g_v1_g083_t1_b1_p0,p1g_v1_g083,train,0.7805381005378057,0.03145034656826575,4.365924551610874,0.3793705790423587,1.826976743396699
p1g_v1_g083_t1_b1_p1,p1g_v1_g083,train,1.1708071507728866,0.03145034656845326,6.548886827191325,0.569055868566295,2.7404651149998926
p1g_v1_g084_t0_b0_p0,p1g_v1_g084,train,0.48380829880090237,0.01249102417792172,2.4911690757915608,0.43489051272024426,0.7555600026364004
p1g_v1_g084_t0_b0_p1,p1g_v1_g084,train,0.7257124481928687,0.012491024178207142,3.7367536135602677,0.6523357690821854,1.1333400039167145
p1g_v1_g084_t0_b1_p0,p1g_v1_g084,train,1.1184218607642953,0.03302303635152212,8.846833699198385,0.4109190542922647,2.683932489006054
p1g_v1_g084_t0_b1_p1,p1g_v1_g084,train,1.677632791095743,0.0330230363516612,13.270250548343427,0.6163785814399603,4.025898733371889
p1g_v1_g084_t1_b0_p0,p1g_v1_g084,train,0.4374963453088325,0.015614973036175045,2.4729437571704125,0.4393786355603311,0.5456437699485264
p1g_v1_g084_t1_b0_p1,p1g_v1_g084,train,0.6562445179587756,0.015614973036618301,3.7094156357568977,0.6590679533422303,0.8184656548950215
p1g_v1_g084_t1_b1_p0,p1g_v1_g084,train,0.8617196548546965,0.03475261668933312,6.484328669711715,0.41730548545820056,1.968670528792984
p1g_v1_g084_t1_b1_p1,p1g_v1_g084,train,1.2925794822458796,0.03475261668957274,9.726493004229894,0.6259582281887219,2.9530057930875273
p1g_v1_g085_t0_b0_p0,p1g_v1_g085,train,0.547613134181666,0.014131517082579943,4.331800144410977,0.41722119804819613,0.761195906483465
p1g_v1_g085_t0_b0_p1,p1g_v1_g085,train,0.8214197012643114,0.014131517082925713,6.497700216612145,0.6258317970737721,1.141793859684583
p1g_v1_g085_t0_b1_p0,p1g_v1_g085,train,1.1550816508167796,0.03408931899806138,6.88136818737587,0.3759837075410246,2.768587510611326
p1g_v1_g085_t0_b1_p1,p1g_v1_g085,train,1.732622476176705,0.03408931899829049,10.322052280699438,0.5639755613151465,4.152881265771384
p1g_v1_g085_t1_b0_p0,p1g_v1_g085,train,0.5058999004306747,0.018043141000017356,4.335742175687244,0.42170434688847536,0.5553627588768677
p1g_v1_g085_t1_b0_p1,p1g_v1_g085,train,0.7588498506412698,0.018043141000535393,6.503613263533566,0.6325565203337078,0.8330441383180869
p1g_v1_g085_t1_b1_p0,p1g_v1_g085,train,0.90433873557657,0.036444579715596344,4.963144673863042,0.39126517551676443,2.0223881994226076
p1g_v1_g085_t1_b1_p1,p1g_v1_g085,train,1.3565081033320328,0.03644457971600613,7.444717010540501,0.5868977632779888,3.0335822990252836
p1g_v1_g086_t0_b0_p0,p1g_v1_g086,train,0.49238842514105907,0.012698808503954884,3.2182675212898175,0.4537067141525313,0.8024428091313212
p1g_v1_g086_t0_b0_p1,p1g_v1_g086,train,0.7385826377030287,0.012698808504244739,4.827401281947687,0.6805600712297064,1.2036642136548608
p1g_v1_g086_t0_b1_p0,p1g_v1_g086,train,1.1191145495208907,0.033010895948464125,6.780062238343589,0.4083428071489834,2.867559847309451
p1g_v1_g086_t0_b1_p1,p1g_v1_g086,train,1.6786718242312655,0.033010895948615115,10.170093357170686,0.6125142107268289,4.3013397708162415
p1g_v1_g086_t1_b0_p0,p1g_v1_g086,train,0.4481556663009341,0.01597057851596898,3.224127085218697,0.4586380952587774,0.5831820108900843
p1g_v1_g086_t1_b0_p1,p1g_v1_g086,train,0.6722334994479946,0.01597057851644939,4.836190627849987,0.6879571428904114,0.8747730163374285
p1g_v1_g086_t1_b1_p0,p1g_v1_g086,train,0.8635193394330919,0.034775105074991694,4.984935537227614,0.4251423200406066,2.1016816541952608
p1g_v1_g086_t1_b1_p1,p1g_v1_g086,train,1.2952790091140018,0.034775105075246,7.477403305583607,0.6377134800649742,3.152522481182473
p1g_v1_g087_t0_b0_p0,p1g_v1_g087,train,0.4679708357316064,0.01207662778462707,2.7830556123792576,0.43863832311359374,0.7598467126874766
p1g_v1_g087_t0_b0_p1,p1g_v1_g087,train,0.7019562535878008,0.012076627784875952,4.174583418564282,0.6579574846716696,1.1397700689906856
p1g_v1_g087_t0_b1_p0,p1g_v1_g087,train,1.095671029324279,0.03233717676050447,6.43339926564073,0.3963333292895186,2.754583139738145
p1g_v1_g087_t0_b1_p1,p1g_v1_g087,train,1.6435065439371204,0.032337176760647075,9.650098898121598,0.594499993937518,4.131874709464455
p1g_v1_g087_t1_b0_p0,p1g_v1_g087,train,0.4205404341471237,0.014999389791184627,2.7893371058999037,0.4432321634417917,0.5679718551450605
p1g_v1_g087_t1_b0_p1,p1g_v1_g087,train,0.630810651214765,0.01499938979156415,4.1840056588440575,0.6648482451644213,0.8519577827202056
p1g_v1_g087_t1_b1_p0,p1g_v1_g087,train,0.8442117856554792,0.034023600937011636,4.685264525010723,0.4120357198000306,2.0154853278971814
p1g_v1_g087_t1_b1_p1,p1g_v1_g087,train,1.2663176784478154,0.034023600937247704,7.027896787258953,0.618053579703485,3.0232279917403275
p1g_v1_g088_t0_b0_p0,p1g_v1_g088,train,0.47567395073762836,0.012285013655498873,2.8602550979416037,0.42304897939135344,0.732159678631092
p1g_v1_g088_t0_b0_p1,p1g_v1_g088,train,0.7135109260976148,0.012285013655770087,4.290382646910302,0.6345734690885365,1.0982395179094624
p1g_v1_g088_t0_b1_p0,p1g_v1_g088,train,1.0868654249235132,0.03209939233266637,7.37181498121447,0.383289096639885,2.589029045677762
p1g_v1_g088_t0_b1_p1,p1g_v1_g088,train,1.6302981373365013,0.03209939233281242,11.057722471433749,0.5749336449633802,3.883543568383061
p1g_v1_g088_t1_b0_p0,p1g_v1_g088,train,0.4312658203999823,0.01539857062722504,2.8661707334139237,0.4273999164917086,0.5492834076601412
p1g_v1_g088_t1_b0_p1,p1g_v1_g088,train,0.6468987305949458,0.015398570627643824,4.299256100113212,0.6410998747388703,0.823925111492656
p1g_v1_g088_t1_b1_p0,p1g_v1_g088,train,0.8385481519455743,0.03382787631876097,5.338636673976396,0.39808728304393526,1.8995755829822087
p1g_v1_g088_t1_b1_p1,p1g_v1_g088,train,1.2578222278837032,0.03382787631901147,8.007955010675573,0.5971309245687735,2.849363374374718
p1g_v1_g089_t0_b0_p0,p1g_v1_g089,train,0.4977200035583882,0.0128464747403516,3.993754932538252,0.4233451257626939,0.6807498794157141
p1g_v1_g089_t0_b0_p1,p1g_v1_g089,train,0.7465800053289179,0.012846474740644879,5.990632398803598,0.6350176886457461,1.0211248190888114
p1g_v1_g089_t0_b1_p0,p1g_v1_g089,train,1.1107283147740135,0.03278408611323898,7.881253339028035,0.38787668425874244,2.4112277132803115
p1g_v1_g089_t0_b1_p1,p1g_v1_g089,train,1.6660924721122443,0.032784086113407926,11.821880008169614,0.5818150263915527,3.6168415697982823
p1g_v1_g089_t1_b0_p0,p1g_v1_g089,train,0.45407889594397377,0.016197506011313638,4.000748535268485,0.4272201762759664,0.573688465991836
p1g_v1_g089_t1_b0_p1,p1g_v1_g089,train,0.6811183439107765,0.016197506011756478,6.001122802901762,0.6408302644153423,0.860532698990653
p1g_v1_g089_t1_b1_p0,p1g_v1_g089,train,0.8613586158825142,0.034714246675983995,5.880528175540178,0.401058322737299,1.7700805694038309
p1g_v1_g089_t1_b1_p1,p1g_v1_g089,train,1.2920379237891724,0.03471424667626589,8.82079226302477,0.6015874841087907,2.6551208540141147
p1g_v1_g090_t0_b0_p0,p1g_v1_g090,train,0.4789386450485482,0.012355786263008622,2.5574467877931966,0.44162264479859914,0.829107526252642
p1g_v1_g090_t0_b0_p1,p1g_v1_g090,train,0.7184079675631937,0.01235578626326944,3.836170181695138,0.6624339671998314,1.2436612893379788
p1g_v1_g090_t0_b1_p0,p1g_v1_g090,train,1.1514929563021992,0.03397535374670674,6.818062668053244,0.41264507356470403,2.91303808716566
p1g_v1_g090_t0_b1_p1,p1g_v1_g090,train,1.727239434400265,0.03397535374683433,10.227094001739601,0.6189676103260808,4.369557130598935
p1g_v1_g090_t1_b0_p0,p1g_v1_g090,train,0.4288189662098106,0.015288073356879761,2.562312145793328,0.44596979943844417,0.6023311758644354
p1g_v1_g090_t1_b0_p1,p1g_v1_g090,train,0.6432284493087823,0.015288073357274447,3.843468218684791,0.6689546991590873,0.9034967637658156
p1g_v1_g090_t1_b1_p0,p1g_v1_g090,train,0.8815832428012615,0.035516273537995774,5.06355138857964,0.4164530259769208,2.1404317839596274
p1g_v1_g090_t1_b1_p1,p1g_v1_g090,train,1.322374864163382,0.035516273538198605,7.595327082615711,0.624679538967996,3.2106476758287386
p1g_v1_g091_t0_b0_p0,p1g_v1_g091,train,0.5002017159042407,0.012913502268827337,3.3260826157470547,0.441267185981701,0.6988465197190408
p1g_v1_g091_t0_b0_p1,p1g_v1_g091,train,0.7503025738466638,0.012913502269106415,4.9891239236363845,0.6619007789738589,1.0482697795446256
p1g_v1_g091_t0_b1_p0,p1g_v1_g091,train,1.2172396913112529,0.03593820609000054,8.686042544343024,0.5700282674844743,2.4601984612592673
p1g_v1_g091_t0_b1_p1,p1g_v1_g091,train,1.8258595369105348,0.035938206090128114,13.029063816078178,0.8550424011976929,3.6902976917622823
p1g_v1_g091_t1_b0_p0,p1g_v1_g091,train,0.44590320338852557,0.01591326039835623,3.331925048138771,0.447357180281756,0.5983617953834823
p1g_v1_g091_t1_b0_p1,p1g_v1_g091,train,0.6688548050780475,0.01591326039880435,4.997887572211937,0.6710357704242824,0.8975426930783783
