sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0599,0,Heat3D,heat3d_seed0,62612.61634289383,253081693.5084523,7.440301729616453e-08,0.0003836070708587195,87504.72291374207,240825,14181.230168534516,2409,1.3926820309281227,1.5728979988313592,0.5098942815091809,0.36335398282463227,3.9437904357910156,2.4262667854397355
v6p1if1_0599,1,Heat3D,heat3d_seed1,562912.3168182146,253081693.5084523,8.37270970923374e-07,0.0003836070708587195,269424.8347797394,240825,94483.55585191476,2409,4.6718588725823595,4.716176063428596,1.5288665934595993,1.118757748488485,5.667423248291016,6.262672693179728
v6p1if1_0599,2,Heat3D,heat3d_seed2,177643.74497866444,253081693.5084523,3.7174964264190566e-07,0.0003836070708587195,150948.98225212097,240825,35353.9301932378,2409,3.1130204811075224,2.649382077735208,0.8588635575694024,0.6267994695406248,5.414279937744141,3.8308967761181774
v6p1if1_0599,0,Therm-FM,thermfm_seed0,208436.3806513059,253081693.5084523,2.8407065966857087e-07,0.0003836070708587195,157137.12306976318,240825,8439.895190096373,2409,2.7212590604047087,2.8698314835818075,0.9303277539043163,0.6524950610184291,3.0184326171875,1.8717598476823234
v6p1if1_0599,1,Therm-FM,thermfm_seed1,574927.1052506199,253081693.5084523,7.641582672984098e-07,0.0003836070708587195,318158.3237171173,240825,11268.982325501944,2409,4.463220633472995,4.7662413064842974,1.545096495942428,1.3211183378682334,4.687992095947266,2.162837788628122
v6p1if1_0599,2,Therm-FM,thermfm_seed2,440461.2375458811,253081693.5084523,4.93890831406509e-07,0.0003836070708587195,222918.38383293152,240825,12560.601467729197,2409,3.5881631367510494,4.171800015553067,1.352393462965102,0.9256446956625414,3.894824981689453,2.2834253496467496
v6p1if1_0618,0,Heat3D,heat3d_seed0,333993.3335402808,939094467.7871208,5.397125450381222e-07,0.001482062137007844,263203.3278198242,240825,8252.400356468395,2409,1.9083061516917195,1.885880883123574,1.1776550933549832,1.0929236076811968,1.5566940307617188,1.8508522216076937
v6p1if1_0618,1,Heat3D,heat3d_seed1,821681.3985222611,939094467.7871208,1.288874878523163e-06,0.001482062137007844,427687.40435791016,240825,10841.94705577346,2409,2.948982350483829,2.9579926234681952,1.8471448066031062,1.7759261055036235,1.5421676635742188,2.121461922196137
v6p1if1_0618,2,Heat3D,heat3d_seed2,282146.0570386695,939094467.7871208,5.717754418889605e-07,0.001482062137007844,239981.65886688232,240825,6548.436435558018,2409,1.9641721232074103,1.7333343819603675,1.0823960737233809,0.996498116337101,0.8985214233398438,1.6487332943650115
v6p1if1_0618,0,Therm-FM,thermfm_seed0,233596.91800266653,939094467.7871208,4.0457649099253453e-07,0.001482062137007844,183622.73838806152,240825,2024.1572941167979,2409,1.6522171108049586,1.5771714730603819,0.9848787561107247,0.7624737398030168,3.1153488159179688,0.9166503928779518
v6p1if1_0618,1,Therm-FM,thermfm_seed1,563033.3260555747,939094467.7871208,8.644890422874548e-07,0.001482062137007844,323826.64879989624,240825,8411.994405995443,2409,2.415163520165993,2.4485693546782668,1.529030914823074,1.3446554502227603,0.01740264892578125,1.868663434862415
v6p1if1_0618,2,Therm-FM,thermfm_seed2,176196.31280466611,939094467.7871208,2.9393841355158877e-07,0.001482062137007844,154521.41981124878,240825,2039.3528833185555,2409,1.4082993109521702,1.369757751704695,0.8553574127575504,0.6416336335980433,2.69464111328125,0.9200846612458679
