model,config_id,checkpoint,epoch,checkpoint_sha256,training_commit,source_host,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,legacy_normalized_valid_base_mse,shape_cv_rmse,scale_log_rmse,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio
V43,V4P5_43_gate6q_xy_scale_features_e600,legacy_best,276,323c00b4ef6c5cbb4457166fdee380ab04b7a0356daa59f7b1e47c2670b826ec,580cf50,devbox,22.4492049922506,20.068296014129405,0.16138059338480265,0.032800648667911304,0.14397338643415533,0.15870981037812198,1.0086032001915748,0.9818385134339589,0.28823174434627286,0.44103301598181033,0.34931180939272066,0.006822787394683295,0.01945058187808195,0.436890327918379
V43,V4P5_43_gate6q_xy_scale_features_e600,final,600,310eca1de601a526552592124b4007092f9bb06e7a1733ffa0a7b09bf683b449,580cf50,devbox,22.795047295274586,19.090909868126204,0.16384589138804026,0.0338190572045798,0.13683847759733064,0.15871714980150595,0.9870803202016001,0.9834152997773982,0.2912234661525393,0.4601406179240796,0.3542768318754558,0.004893952771854891,0.016951983645021138,0.4030543485402599
V44,V4P5_44_gate6q_xy_deepsets_e600,point_global_best,329,82f2bf50f0a4525e8764c654552cb43e25e6d5a2665c68a1f8ea420642831597,580cf50,wsl2,22.06021905550541,18.90783527599047,0.15894290606777328,0.03167379797539901,0.1403774720764634,0.15325153044815895,1.0024176312501463,0.9829007837811938,0.2826821605752513,0.4593697841349666,0.35128715237484437,0.0033624435759257738,0.01693586898841702,0.36298419823797845
V44,V4P5_44_gate6q_xy_deepsets_e600,sample_first_best,477,2ad8f554c7acc3801de9e92af9285599284f6daf555faac6fa578acf5c24cb70,580cf50,wsl2,22.711029989195925,18.46560421213318,0.16398372391030294,0.03357021808653482,0.1365479717941428,0.15774859778736272,0.9808192687258575,0.9836527319459853,0.28497904020523557,0.46385237477241426,0.3562312134109371,0.0038243137952896937,0.016327606327703283,0.3798723629531139
V44,V4P5_44_gate6q_xy_deepsets_e600,legacy_best,329,cdfcef36bbe937a3a50bea712421fbed72b6ba50c61bf71e2d5c133e792aefa3,580cf50,wsl2,22.059485125491364,18.90731548734553,0.1589365910860861,0.03167169047463135,0.1403751230895692,0.1532469645824133,1.0024119050577975,0.9829015294401572,0.28266728382829576,0.4593393896383091,0.3512521731483314,0.0033622286797288597,0.01693543160647766,0.3629972673005485
V44,V4P5_44_gate6q_xy_deepsets_e600,final,600,0f12cabc4c2c34aae81b393f0bc2854ed81a2204e482f2aad59149b201143b10,580cf50,wsl2,22.543257849501323,18.65575360254833,0.16278913044912632,0.03307606663056115,0.13798235855429292,0.15545558963633244,0.9914701454161275,0.9832064588526919,0.2841558688596903,0.45949760539025497,0.35454479431265346,0.004310584940040588,0.016721899719922655,0.38587385921296746
V45,V4P5_45_gate6r_deepsets_only_e600,point_global_best,358,b6a840955be8197aab7bd00bf0b7fd2c689727c821db5eb2d2dac60079eb2425,06eb1b2,wsl2,23.125696433617946,19.993252721072142,0.1664205432492222,0.03480728441909441,0.14435497118185542,0.1670923984055111,1.004258976482003,0.9818470716550762,0.30285208056189167,0.47280079123429647,0.3797979263043475,0.005957032027523474,0.018279191299131952,0.4346404063831618
V45,V4P5_45_gate6r_deepsets_only_e600,sample_first_best,476,908e1b575cfc4a58d05be248ac6324c11a757ef84620c145af095506f3dc6ef0,06eb1b2,wsl2,24.049529105178955,19.527734416010873,0.1729115246506391,0.03764381717662721,0.14113918590534374,0.17189803780908333,0.9888586697628208,0.9824403153765066,0.30684505670611,0.48088089047292687,0.3891010487195483,0.004260514696009765,0.016945752025694344,0.40169006515196803
V45,V4P5_45_gate6r_deepsets_only_e600,legacy_best,358,8f00ec55bef3f672cfb0331270132486c6eec86a520cb578650e169ac47101bc,06eb1b2,wsl2,23.125362560824097,19.993141509180735,0.16641830428095353,0.03480627937940282,0.14435300115966934,0.16709408843678633,1.004254756998809,0.9818478936175892,0.30284727427987373,0.47278732019514025,0.3797804720918719,0.005957090208501494,0.018279047815311898,0.4345545527414892
V45,V4P5_45_gate6r_deepsets_only_e600,final,600,15eac88d89cc251e8596fbd18113e61376dc865d27d9b5dd8429e0b6276be37b,06eb1b2,wsl2,24.037041050443662,19.7119365382986,0.17281813598864668,0.03760473316838785,0.14183446579425713,0.1726176792736926,0.9931872694332023,0.9821586608456853,0.3075758544953346,0.4755213779235071,0.38818027815003275,0.00425605915149329,0.01718113541482264,0.389579341573831
V46,V4P5_46_gate6r_objective_deepsets_e600,point_global_best,484,e36041e8f1fc4ef90a570a047fc1001ff4b3ea768509610d826597a0fc7e98f9,06eb1b2,devbox,23.615428948241902,19.797010976176754,0.1697228116233201,0.03629712090083319,0.14033169310325672,0.16901502345641278,1.0071933473177206,0.9829661979410482,0.30166151796764235,0.4610158563923471,0.3733959623231712,0.005231794007430532,0.01723511517187456,0.42187535435664386
V46,V4P5_46_gate6r_objective_deepsets_e600,sample_first_best,561,6234c6fd41cf5092f82e601745bef34fa99b50199de8d0fc56c0896d5b991f26,06eb1b2,devbox,24.106271926022778,19.42924969637153,0.1730532910516766,0.037821661511055954,0.1390405827328406,0.17040628750368078,0.9910623936837035,0.9832328084338198,0.3029784592491226,0.46401392331672375,0.37751386591730063,0.00439160942182808,0.016396763820985257,0.4163395387730624
V46,V4P5_46_gate6r_objective_deepsets_e600,legacy_best,484,f60dc908f0fb63f16e36cc5092f264571a3dac9a854eb831074d30d7aa3e39f4,06eb1b2,devbox,23.61585750052446,19.79730808493781,0.1697261877942306,0.03629843829000174,0.140332841675624,0.16902151141117164,1.0071870715745108,0.9829661677950645,0.3016602763852931,0.4610199115337412,0.3733900563303461,0.005231978802155182,0.01723481472576938,0.4218276336557179
V46,V4P5_46_gate6r_objective_deepsets_e600,final,600,e0ea2615ce2aaa472b253d01478906b60b0045f39a1f8603f024e8de498a36ce,06eb1b2,devbox,24.03429479630404,19.619060688725103,0.17258260474334147,0.03759614090826341,0.139381667438242,0.16955382947593797,1.0022893296710673,0.9831284597474748,0.3027156388861475,0.46041996384870126,0.3759601946948625,0.005003034574290653,0.017022896387711425,0.4171725340687759
