comparison,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,point_true_squared_sum,baseline_point_sse_K2,candidate_point_sse_K2,delta_point_sse_K2,baseline_sample_relative_pct,candidate_sample_relative_pct,delta_sample_relative_pct
V45_minus_V38,V38,V45,sample_0857,Q2,0.19848550963653272,33.6305908954231,0.5630531718298939,0.4865865190611029,-0.076466652768791,12.522146179026251,11.946764701820543,-0.5753814772057066
V45_minus_V38,V38,V45,sample_0863,Q3,0.6187228573697245,328.5747999612682,4.041694757914956,3.5776602781597617,-0.4640344797551945,10.92555850268902,10.341799681998143,-0.5837588206908773
V45_minus_V38,V38,V45,sample_0870,Q1,0.12927367957681227,14.260616180718138,0.22782440741511018,0.1757623935550336,-0.052062013860076584,12.73015343107207,11.390077060664117,-1.3400763704079526
V45_minus_V38,V38,V45,sample_0879,Q1,0.0911675151631598,7.294709170666627,0.3681701330811807,0.24422361488962682,-0.12394651819155386,21.98047473459529,18.011964312301632,-3.9685104222936585
V45_minus_V38,V38,V45,sample_0915,Q4,0.7379869588999469,384.3766312858914,41.17762544761809,65.59600517113392,24.418379723515834,32.982849795494,41.852371412487386,8.869521616993392
V45_minus_V38,V38,V45,sample_0934,Q1,0.12722107809921532,13.583621086382323,1.0942591511386532,0.47890822670886,-0.6153509244297932,28.419858487015432,19.308836039475537,-9.111022447539895
V45_minus_V38,V38,V45,sample_0937,Q3,0.5954615653492036,262.54823598917585,8.125782426494844,10.505563566087233,2.3797811395923887,16.79257374923682,19.74348080018243,2.9509070509456086
V45_minus_V38,V38,V45,sample_0953,Q1,0.06616211508393838,4.003569163971632,0.1047093805174071,0.05467093881022269,-0.050038441707184404,14.897568479240006,10.790071847717503,-4.107496631522503
V45_minus_V38,V38,V45,sample_0969,Q4,1.4908652166666831,2008.8379699182526,26.639336529873024,30.996824634018445,4.357488104145421,10.80701220630664,11.485142510791997,0.6781303044853568
V45_minus_V38,V38,V45,sample_0971,Q4,1.0591130731985174,851.7807721447077,53.50128186421884,71.98974454291191,18.488462678693068,22.113708145153463,25.690820955386286,3.5771128102328213
V45_minus_V38,V38,V45,sample_0997,Q1,0.04704652452600687,2.010061170276014,0.08586213855003341,0.03805792174644848,-0.04780421680358493,21.610374702677785,13.130982866526534,-8.479391836151251
V45_minus_V38,V38,V45,sample_1008,Q2,0.21124609340382852,35.03975586031024,1.1723414855096865,1.2876591881109274,0.11531770260124086,18.21373787853023,18.94928938851802,0.7355515099877891
V45_minus_V38,V38,V45,sample_1049,Q4,1.9032183992054632,3235.7624359784168,195.7876197159951,386.67355292804143,190.88593321204633,24.254498619148357,34.64239737482496,10.3878987556766
V45_minus_V38,V38,V45,sample_1050,Q4,0.9807758322989045,693.1762341508098,17.365156102157517,39.022364285599465,21.65720818344195,15.557316567046106,23.552273733650836,7.994957166604729
V45_minus_V38,V38,V45,sample_1051,Q1,0.03403015720166213,0.991208553199984,0.021056361417518838,0.04161146499481703,0.02055510357729819,13.573782185249838,20.312798757936616,6.739016572686777
V45_minus_V38,V38,V45,sample_1052,Q1,0.07790402189126991,5.514314081596952,1.9489126314124663,1.4748382815998609,-0.47407434981260543,61.48104338102955,54.34383048979553,-7.137212891234023
V45_minus_V38,V38,V45,sample_1053,Q3,0.47820897125877004,193.89875970377324,2.37343278816133,4.433060460344637,2.059627672183307,10.535672028135089,15.338099634725713,4.802427606590625
V45_minus_V38,V38,V45,sample_1054,Q1,0.09720882431363774,8.06051123200917,0.1688039788942029,0.12055264236637095,-0.04825133652783195,14.66969767710781,12.183372448183851,-2.486325228923958
V45_minus_V38,V38,V45,sample_1055,Q4,2.0236222692071117,3502.250326827008,306.87807210910563,355.0735503457662,48.19547823666056,28.9249338686052,31.39203705624805,2.4671031876428495
V45_minus_V38,V38,V45,sample_1056,Q1,0.13191182232653484,15.16195624087948,0.16782882338457716,0.2618280551201122,0.09399923173553504,9.930622916995569,12.877084575249922,2.946461658254354
V45_minus_V38,V38,V45,sample_1057,Q1,0.15908654532782923,20.31308287338841,0.689773990827784,0.27824966911573173,-0.4115243217120523,16.377969770120863,10.42998636706225,-5.947983403058614
V45_minus_V38,V38,V45,sample_1058,Q1,0.05886776671670268,2.891940072125885,0.12050306036793315,0.0891238907887493,-0.03137916957918385,19.00470349761446,16.70804257393173,-2.2966609236827304
V45_minus_V38,V38,V45,sample_1059,Q4,0.7629146079337809,507.45665076609043,10.536164984461712,26.18644609162338,15.65028110716167,13.669180348037182,22.22807751069911,8.558897162661927
V45_minus_V38,V38,V45,sample_1060,Q1,0.15048065253417015,20.780006532972557,0.1540305337240871,0.48542981058984136,0.33139927686575427,8.653678900261779,15.32453450990623,6.670855609644451
V46_minus_V38,V38,V46,sample_0014,Q4,1.2896650226372384,1212.4752217344799,24.882071876417562,21.519902101605872,-3.36216977481169,13.241418338698965,13.167628664803143,-0.07378967389582158
V46_minus_V38,V38,V46,sample_0023,Q2,0.2629658707962856,51.79908573660821,1.1813021688391727,1.5785847394905077,0.397282570651335,15.253560671677032,17.6690110699618,2.4154503982847686
V46_minus_V38,V38,V46,sample_0027,Q3,0.5366140210141005,290.03830779957553,7.147118665382122,5.674703128928343,-1.472415536453779,14.453349132127851,12.923312055734293,-1.530037076393559
V46_minus_V38,V38,V46,sample_0037,Q2,0.22343163865336263,41.84965916775464,1.6994108588863912,1.8859307352631158,0.18651987637672462,20.36552580851599,22.311521980487957,1.9459961719719643
V46_minus_V38,V38,V46,sample_0053,Q3,0.4663458019698718,190.7651280653868,8.61707844850364,10.397446345653734,1.780367897150093,22.19078831371836,23.21150370551853,1.0207153918001728
V46_minus_V38,V38,V46,sample_0059,Q3,0.6962427182377497,403.6221165488994,6.748569476385459,1.8289722439828289,-4.91959723240263,12.665698359014165,6.52944138731474,-6.136256971699426
V46_minus_V38,V38,V46,sample_0061,Q1,0.08382224791294639,5.432192680931734,0.18929732483424697,0.1431811007599994,-0.046116224074247564,18.63425947292877,16.37111481359214,-2.2631446593366302
V46_minus_V38,V38,V46,sample_0075,Q2,0.1759556525077124,28.152606406487777,0.726106761325176,1.0983017681343092,0.3721950068091332,16.025012086307715,19.304811834059112,3.2797997477513996
V46_minus_V38,V38,V46,sample_0077,Q3,0.5243418484033366,242.5605229172584,7.77754354458215,6.732992317705993,-1.0445512268761563,16.961800270264416,15.721511049535733,-1.2402892207286826
V46_minus_V38,V38,V46,sample_0084,Q1,0.1663770492536331,24.385466756225213,0.43388711526132095,0.35211225353945497,-0.08177486172186599,12.99897406068095,11.776889970873155,-1.2220840898077956
V46_minus_V38,V38,V46,sample_0085,Q2,0.35151646004990067,104.68335266696718,5.092178896700292,4.782593533139593,-0.3095853635606991,21.32244020290904,20.280444128867327,-1.0419960740417122
