sample_id,role,bypass_residual_scale,bypass_residual_normalized_mean_abs,bypass_residual_normalized_rmse,bypass_residual_raw_delta_cv_rms_K,bypass_residual_raw_delta_mean_abs_K,full_sample_id,full_split,full_point_count,full_cv_volume_m3,full_point_error_squared_sum,full_point_true_abs_sum,full_point_count_for_global,full_raw_cv_error_squared_integral_K2_m3,full_raw_cv_volume_m3,full_sample_cv_relative_rmse,full_raw_cv_weighted_rmse_K,full_amplitude_ratio,full_spatial_correlation,full_hotspot_cv_weighted_rmse_K,full_top5_cv_weighted_rmse_K,full_strong_q_cv_weighted_rmse_K,full_strong_q_active,full_low_deltaT_background_bias_K,full_low_deltaT_background_rmse_K,full_low_deltaT_background_over_ratio,full_shape_cv_rmse,full_scale_log_error,full_scale_log_squared_error,full_true_scale_cv_rms_K,full_pred_scale_cv_rms_K,full_legacy_normalized_base_mse,without_bypass_sample_id,without_bypass_split,without_bypass_point_count,without_bypass_cv_volume_m3,without_bypass_point_error_squared_sum,without_bypass_point_true_abs_sum,without_bypass_point_count_for_global,without_bypass_raw_cv_error_squared_integral_K2_m3,without_bypass_raw_cv_volume_m3,without_bypass_sample_cv_relative_rmse,without_bypass_raw_cv_weighted_rmse_K,without_bypass_amplitude_ratio,without_bypass_spatial_correlation,without_bypass_hotspot_cv_weighted_rmse_K,without_bypass_top5_cv_weighted_rmse_K,without_bypass_strong_q_cv_weighted_rmse_K,without_bypass_strong_q_active,without_bypass_low_deltaT_background_bias_K,without_bypass_low_deltaT_background_rmse_K,without_bypass_low_deltaT_background_over_ratio,without_bypass_shape_cv_rmse,without_bypass_scale_log_error,without_bypass_scale_log_squared_error,without_bypass_true_scale_cv_rms_K,without_bypass_pred_scale_cv_rms_K,without_bypass_legacy_normalized_base_mse
sample_0775,train,0.5,0.3089998423747602,0.31611256699320434,0.12469035622608861,0.12307494787501899,sample_0775,train,1024,2.0000000000000004e-07,1.8099313077268024,126.69427490234375,1024,4.2093943032277946e-10,2.0000000000000004e-07,0.12854425819632,0.04587697844904236,1.0801893441720305,0.9943631122719855,0.14924123084983076,0.15989941097775032,0.031768306320623656,True,0.004462914314855509,0.00920384880600724,0.7878787878787878,0.09666439730802599,0.07713634444741095,0.005950015634709626,0.3568963646666851,0.3855156500866884,0.002785346959485083,sample_0775,train,1024,2.0000000000000004e-07,19.836935432165898,126.69427490234375,1024,3.878614101132982e-09,2.0000000000000004e-07,0.3901945183589088,0.13925900511516268,1.1909407719257354,0.9922707706943331,0.15718135389492913,0.15645128427066832,0.14158573481535044,True,0.13491876359438154,0.13521738385633947,1.0,0.3118148474688529,0.1747435594352868,0.03053531156411361,0.3568963646666851,0.42504243203363073,0.030527541340240757
sample_0778,train,0.5,0.3239268353499938,0.3241291286449402,0.12920425667065172,0.1290203841841079,sample_0778,train,1024,2.0000000000000004e-07,0.03833080063409233,9.030303955078125,1024,8.828444294924622e-12,2.0000000000000004e-07,0.3221892833897583,0.006643961278832313,0.9795048370958619,0.9351944819377545,0.016462075453842314,0.012464904231460586,0.01381337010722258,True,0.0035040819221004633,0.005386590688618723,0.7716366752356469,0.3248832547648901,-0.020708103278074187,0.0004288255413753869,0.020621298166503543,0.02019866130128625,5.898818149405183e-05,sample_0778,train,1024,2.0000000000000004e-07,17.660206773899493,9.030303955078125,1024,3.45432683896191e-09,2.0000000000000004e-07,6.373099718052893,0.1314215895308284,6.902332902432602,0.9146148778786318,0.11122953626501374,0.09463461644087905,0.09265625880223173,True,0.13388669598071926,0.13393011625037027,1.0,0.9150048024238953,1.9318594562615057,3.7320809587470003,0.020621298166503543,0.1423350648255305,0.027177720722029168
sample_0779,train,0.5,0.30777940184634645,0.31513900952965923,0.12368129377703334,0.1225888451855655,sample_0779,train,1024,2.0000000000000004e-07,2.148860709169614,426.8996276855469,1024,4.856454628930683e-10,2.0000000000000004e-07,0.03690251892881507,0.04927704652741823,1.0037836786936585,0.9992200725962207,0.10815652452535139,0.05988105343544315,0.05587527836163385,True,0.0025712078509697875,0.008308984424042477,0.5287648054145517,0.03663878364233942,0.003776538586343909,1.426224369414445e-05,1.3353301605907613,1.340382620868388,0.003306933654690337,sample_0779,train,1024,2.0000000000000004e-07,19.240066126410056,426.8996276855469,1024,3.675724591466733e-09,2.0000000000000004e-07,0.10152379084890994,0.13556777993805777,1.0241328159321894,0.9991940643197825,0.11403133428231929,0.0625136181839571,0.07996726624568498,True,0.13188298064238327,0.13206396545303808,1.0,0.09744502729806444,0.02384622126538029,0.0005686422686374752,1.3353301605907613,1.367555437564999,0.029609005653985866
sample_0780,train,0.5,0.27441248024842935,0.2905401156881898,0.10965472468688563,0.10929876676723121,sample_0780,train,1024,2.0000000000000004e-07,8.865652224222107,3014.3389282226562,1024,1.976829847688188e-09,2.0000000000000004e-07,0.020325884898477278,0.09941905872839944,0.9980617348959031,0.9996091225525955,0.1078915006749805,0.08015399906789918,0.0873517567677013,True,-0.010059833093122998,0.057219807410518804,0.3918181818181818,0.02025289516124245,-0.0019401459707088233,3.764166387657682e-06,4.891253651438687,4.881773105170817,0.013643564642207019,sample_0780,train,1024,2.0000000000000004e-07,15.705277092280873,3014.3389282226562,1024,2.785928908875309e-09,2.0000000000000004e-07,0.024129583854796473,0.11802391513746924,1.0042781312369986,0.9995944817513676,0.1009822527596429,0.08002580571975916,0.08187422261486027,True,0.11820162330838767,0.1311194444415268,0.9654545454545453,0.023696668586493465,0.004269006050132051,1.8224412656064054e-05,4.891253651438687,4.912179076472991,0.02416923856378709
sample_0781,train,0.5,0.3148196281763376,0.3163961244945453,0.12465655099729707,0.12539297441078728,sample_0781,train,1024,2.0000000000000004e-07,1.9408668769279387,456.8464050292969,1024,4.831680310157446e-10,2.0000000000000004e-07,0.04861035796682827,0.0491511968834811,0.9937659684051015,0.9983896446862353,0.1042632586577651,0.13863986151319432,0.08898998528413776,True,0.005414208298553911,0.02759213686454469,0.7332754126846219,0.048359933587113865,-0.006253544307375532,3.9106816404308924e-05,1.011126001520538,1.0048226100806357,0.002986847326518972,sample_0781,train,1024,2.0000000000000004e-07,18.496056157220792,456.8464050292969,1024,3.6977586604961256e-09,2.0000000000000004e-07,0.1344773074796637,0.13597350220716029,1.0470718922746902,0.998252089879752,0.14321607594724575,0.19031376500825625,0.13689388310494194,True,0.1346218772264898,0.13716898759029603,1.0,0.12310567926803596,0.04599759454987163,0.0021157787043743805,1.011126001520538,1.058721615740251,0.028464028544465995
sample_0782,train,0.5,0.254991517518647,0.27279327804801407,0.09630616287850542,0.10156337778683254,sample_0782,train,1024,2.0000000000000004e-07,0.5078370005380968,207.60513305664062,1024,1.1498266580720297e-10,2.0000000000000004e-07,0.08853007469507683,0.023977350333930034,1.0718373216260544,0.9957537091727078,0.03824682416541769,0.042426315129478386,0.02975524279195884,True,0.002127411320189363,0.009263619094230206,0.39350822587816814,0.049975550415843735,0.06937429891857641,0.0048127933504439925,0.2708384740046245,0.29029478457040453,0.0007815227609613072,sample_0782,train,1024,2.0000000000000004e-07,14.605848986166912,207.60513305664062,1024,2.347342975024693e-09,2.0000000000000004e-07,0.4000026964366192,0.108336119900629,1.3249505125754528,0.9690712756600993,0.09368944805351143,0.0742716206358501,0.0743907344700015,True,0.11570715229078736,0.1190217927005983,1.0,0.20264543576488175,0.281375109741036,0.07917195238178007,0.2708384740046245,0.3588475749575807,0.022477296035953925
sample_0784,train,0.5,0.3187807403446641,0.3190390176970102,0.12633708598198337,0.12697068936978917,sample_0784,train,1024,2.0000000000000004e-07,0.1191260932601832,46.887939453125,1024,2.8015301594770887e-11,2.0000000000000004e-07,0.11956029128095956,0.01183539217659704,1.0384353399902135,0.9913713056731673,0.01939037961412799,0.018376740489036612,0.026062639362769074,True,0.002033679849930802,0.00376124336391594,0.753579175704989,0.11109897034474055,0.03771509950703956,0.0014224287308258956,0.09899099483443523,0.10279574737686623,0.0001833260031971333,sample_0784,train,1024,2.0000000000000004e-07,17.563874348709696,46.887939453125,1024,3.4312351178161357e-09,2.0000000000000004e-07,1.3231666692773696,0.13098158492353296,2.038673999797753,0.9899690251002278,0.11837671889930358,0.12709758629660878,0.11889047326992913,True,0.13092406726323083,0.13096855986388178,1.0,0.5740992062177434,0.7122995964153337,0.5073707150534472,0.09899099483443523,0.2018103673830768,0.02702947228249939
sample_0785,train,0.5,0.3194606971483154,0.3209807789902097,0.12731208377502812,0.12724151684828722,sample_0785,train,1024,2.0000000000000004e-07,0.5873474440962196,63.458526611328125,1024,1.5247736597205566e-10,2.0000000000000004e-07,0.0891103352383727,0.027611353278321548,0.9997372151755984,0.9959507663815129,0.08661030288017388,0.06324762916994692,0.06593542035311266,True,0.003348544442218881,0.00511435348022872,0.8083121289228161,0.08912165844267823,-0.0002628193583836676,6.907401514120271e-08,0.30985578950477954,0.3097743641055447,0.0009038832078264063,sample_0785,train,1024,2.0000000000000004e-07,18.48359281529137,63.458526611328125,1024,3.6644276184505626e-09,2.0000000000000004e-07,0.436846098028177,0.1353592925966031,1.1344479881328067,0.996245085445432,0.12178806784496049,0.0797503612275749,0.08745289652433991,True,0.13293212348242955,0.13296079146604622,1.0,0.3902357972504615,0.1261461785568531,0.015912858364497462,0.30985578950477954,0.35151527701499957,0.028444849629241053
sample_0789,train,0.5,0.2775888400246913,0.29221677759656045,0.11015246457448782,0.11056391405951241,sample_0789,train,1024,2.0000000000000004e-07,0.579617186258554,57.762451171875,1024,1.1364246792516454e-10,2.0000000000000004e-07,0.27143342859365416,0.023837204945752817,1.140433919069541,0.9560679681196315,0.02352831179782316,0.03049474119737722,0.02324645816347788,True,0.010577786080364875,0.015437095565975108,0.8287831513260532,0.21750961187586662,0.13140882074764718,0.01726827817028727,0.0878197098613008,0.10015257588867328,0.0008919868445955964,sample_0789,train,1024,2.0000000000000004e-07,17.42605689567975,57.762451171875,1024,3.1003655067733928e-09,2.0000000000000004e-07,1.4177493356881772,0.12450633531618767,2.0921783675550323,0.6970206818634005,0.06118915330419608,0.03499724675441112,0.11150670972469956,True,0.1387973676512654,0.1390897113685728,1.0,0.6249626856097245,0.7382058043056883,0.5449478095106082,0.0878197098613008,0.1837344972167729,0.026817381900074606
sample_0790,train,0.5,0.31534346906119026,0.316399523387659,0.12483147718927935,0.1256016207618746,sample_0790,train,1024,2.0000000000000004e-07,1.449863151188021,325.4009704589844,1024,3.457397261096648e-10,2.0000000000000004e-07,0.0399821624008041,0.04157762175195118,1.0098333005513767,0.9991506648051285,0.08823912050087138,0.08290055560206604,0.08274723448788131,True,0.0024597635278311536,0.009703620195822788,0.5920716112531971,0.03856494374711163,0.009785268272056736,9.575147515612022e-05,1.0399042786919146,1.0501299700089548,0.0022312302536280667,sample_0790,train,1024,2.0000000000000004e-07,19.859678456680875,325.4009704589844,1024,3.852209184084541e-09,2.0000000000000004e-07,0.1334586010695026,0.1387841702804131,1.0300880414239761,0.9990332819256362,0.10291908470456114,0.1412602091478957,0.10895446585842614,True,0.13161125078555974,0.13189722452568048,1.0,0.12810971866925744,0.029644275699240788,0.000878783081732598,1.0399042786919146,1.0711929617061668,0.030562540140243268
sample_0791,train,0.5,0.31430795931373723,0.31540081926385044,0.1248723998091892,0.1251891761884004,sample_0791,train,1024,2.0000000000000004e-07,0.5505236725738409,59.03668212890625,1024,1.183094664693109e-10,2.0000000000000004e-07,0.11353735010539273,0.024321746079312527,1.0145471912504407,0.9937952988635335,0.06917955694410374,0.12170379685349088,0.13432309448833146,True,0.006403100873352191,0.008748260844246252,0.7777314428690577,0.11179136085063462,0.014442395959319117,0.00020858280104575717,0.21421801774249183,0.21733428821588213,0.000847214152162924,sample_0791,train,1024,2.0000000000000004e-07,18.825654355777633,59.03668212890625,1024,3.6483413717409066e-09,2.0000000000000004e-07,0.6304878763400387,0.1350618630802364,1.2512510016038396,0.9900275507592905,0.1108105600693841,0.08309048788681785,0.09275331863118842,True,0.13485454167049063,0.13488560008711895,1.0,0.5169553753725413,0.224143852129562,0.050240466447478954,0.21421801774249183,0.268040509261882,0.028971256054750597
sample_0792,train,0.5,0.29889357780848513,0.30766171181095087,0.11914207953073877,0.11904961253780248,sample_0792,train,1024,2.0000000000000004e-07,1.53643303262323,286.952880859375,1024,3.7258844406717876e-10,2.0000000000000004e-07,0.07861196674034329,0.04316181437724662,1.0049846132294278,0.9952540156683344,0.08551212906163656,0.0947185329831202,0.09051081637049202,True,-0.009569515431054547,0.021365333042839774,0.3229537366548043,0.07825897295050435,0.004972231174361623,2.4723082851293565e-05,0.5490489065082274,0.5517857029512111,0.0023644542828888645,sample_0792,train,1024,2.0000000000000004e-07,15.173705327098007,286.952880859375,1024,2.8332183157061776e-09,2.0000000000000004e-07,0.21677739424236517,0.11902139126447349,1.1012986370772828,0.9937869223554112,0.0992655491489648,0.12535010944376387,0.10303911424884434,True,0.11937220796306364,0.1212577051784415,1.0,0.1826265738716285,0.09649006262991214,0.009310332186324367,0.5490489065082274,0.6046668124262833,0.02335118333574888
sample_0793,train,0.5,0.29980638699635165,0.3057616105973028,0.11825333954514185,0.11941318535503473,sample_0793,train,1024,2.0000000000000004e-07,6.596722233949848,1456.4849548339844,1024,1.524080169829273e-09,2.0000000000000004e-07,0.03001456994856641,0.08729490734943456,0.9826529383487831,0.9995188578249193,0.13023491135410928,0.07234867260698687,0.09129461453781938,True,-0.0046377797152145185,0.025491845614358816,0.34148550724637683,0.02470920928375738,-0.017499284911351966,0.0003062249724086706,2.9084177284240593,2.857965226781595,0.010151854254272185,sample_0793,train,1024,2.0000000000000004e-07,16.0297326377879,1456.4849548339844,1024,3.1770864545881437e-09,2.0000000000000004e-07,0.04333539259679555,0.1260374240967369,0.9921074816376095,0.9994469360889139,0.13814943433055865,0.12606130526739293,0.1522847211408065,True,0.12492526396839083,0.12755940023852763,1.0,0.04277976824293088,-0.007923829141521302,6.278706826402221e-05,2.9084177284240593,2.8854629880969704,0.024668546440937526
sample_0795,train,0.5,0.26753105309035163,0.2820316089948352,0.10278538194813723,0.10655788741183342,sample_0795,train,1024,2.0000000000000004e-07,1.049532985109518,238.1417236328125,1024,2.5150864327393825e-10,2.0000000000000004e-07,0.09070051135052512,0.035461855794214875,1.0079242132585426,0.9926354466427965,0.08734733459242815,0.03159885492307429,0.045687273169646866,True,0.007524544043434187,0.016778232789479614,0.6599070553443178,0.08999781438191988,0.007892981563241286,6.229915795766685e-05,0.3909774627087542,0.39407565150254226,0.0016151518695124338,sample_0795,train,1024,2.0000000000000004e-07,16.514022772695558,238.1417236328125,1024,2.8491731880728796e-09,2.0000000000000004e-07,0.30527602821354094,0.1193560469367363,1.1561112256219754,0.9854665647077288,0.09118795063625958,0.031388172841761874,0.10057842663921177,True,0.12366212677819649,0.1265450471214863,1.0,0.2439867073168348,0.14506198155769434,0.021042978493444855,0.3909774627087542,0.45201343360278806,0.025413831231323812
sample_0796,train,0.5,0.3211470761161763,0.32135060422098527,0.12739505896096373,0.12791320328661004,sample_0796,train,1024,2.0000000000000004e-07,0.22203162165616241,30.346527099609375,1024,4.623973181391922e-11,2.0000000000000004e-07,0.21388591240737703,0.015205218152647335,1.162183113821862,0.9897482114276172,0.0424071404721077,0.04527850615912688,0.04431108771322958,True,0.003985420208370977,0.006502795234499826,0.7986520640269589,0.12934615641616473,0.1503002310591322,0.02259015945642853,0.07109032091691374,0.08261997052581425,0.0003416897989818998,sample_0796,train,1024,2.0000000000000004e-07,18.907866937468192,30.346527099609375,1024,3.6873387698983448e-09,2.0000000000000004e-07,1.9099897970563853,0.13578178762076937,2.566413420039145,0.9890589390830123,0.15199720876602016,0.1478623500702948,0.1477145189721306,True,0.13312262559675228,0.13317317759664138,1.0,0.6822026634978873,0.9425093678063526,0.8883239084027306,0.07109032091691374,0.18244715363605696,0.029097775193819845
